keying,mode,family_semantics,severity,threshold_fraction,support_width,family_size,rows,low_count,medium_count,high_count,low_high_estimable,bin_signature
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,2,3,645,0,13,632,False,high:632;medium:13
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,3,4,714,0,452,262,False,high:262;medium:452
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,4,5,660,0,630,30,False,high:30;medium:630
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,2,3,645,0,11,634,False,high:634;medium:11
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,4,7,660,0,0,660,False,high:660
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,3,1,714,429,285,0,False,low:429;medium:285
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,2,3,645,0,10,635,False,high:635;medium:10
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,3,4,714,0,442,272,False,high:272;medium:442
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,4,5,660,0,635,25,False,high:25;medium:635
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,2,3,645,0,11,634,False,high:634;medium:11
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,4,7,660,0,0,660,False,high:660
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,3,1,714,426,288,0,False,low:426;medium:288
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,2,3,645,0,361,284,False,high:284;medium:361
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,3,7,714,0,304,410,False,high:410;medium:304
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,4,15,660,0,55,605,False,high:605;medium:55
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,2,3,645,0,383,262,False,high:262;medium:383
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,4,11,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,3,1,714,429,285,0,False,low:429;medium:285
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.25,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.25,2,3,645,0,369,276,False,high:276;medium:369
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.25,3,7,714,0,293,421,False,high:421;medium:293
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.25,4,15,660,0,54,606,False,high:606;medium:54
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.5,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.5,2,3,645,0,370,275,False,high:275;medium:370
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.5,4,11,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.75,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.75,3,1,714,429,285,0,False,low:429;medium:285
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.25,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.25,2,3,645,0,382,263,False,high:263;medium:382
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.25,3,7,714,0,283,431,False,high:431;medium:283
