keying,mode,family_semantics,severity,threshold_fraction,matching_level,rows,low_count,high_count,paired_count,low_rescue,high_rescue,low_minus_high_gap,stratum_estimable,support_width,family_size
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.5,width_family_size,714,0,714,0,,0.08403361344537816,,False,3,4
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.5,width_family_size,660,0,660,0,,0.13787878787878788,,False,4,7
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.75,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.75,width_family_size,714,429,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.75,width_family_size,660,0,660,0,,0.07424242424242425,,False,4,5
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,width_family_size,645,0,632,0,,0.25949367088607594,,False,2,3
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,width_family_size,714,0,262,0,,0.2366412213740458,,False,3,4
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,width_family_size,660,0,30,0,,0.36666666666666664,,False,4,5
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,width_family_size,645,0,634,0,,0.2586750788643533,,False,2,3
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,width_family_size,714,0,714,0,,0.16946778711484595,,False,3,4
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.5,width_family_size,660,0,660,0,,0.29848484848484846,,False,4,7
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,width_family_size,714,429,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.75,width_family_size,660,0,660,0,,0.1787878787878788,,False,4,5
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,width_family_size,645,0,635,0,,0.15275590551181104,,False,2,3
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,width_family_size,714,0,272,0,,0.29044117647058826,,False,3,4
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.25,width_family_size,660,0,25,0,,0.4,,False,4,5
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,width_family_size,645,0,634,0,,0.1529968454258675,,False,2,3
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,width_family_size,714,0,714,0,,0.1722689075630252,,False,3,4
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,width_family_size,660,0,660,0,,0.35,,False,4,7
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,width_family_size,714,426,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,width_family_size,660,0,660,0,,0.1621212121212121,,False,4,5
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,width_family_size,645,0,284,0,,0.12323943661971831,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,width_family_size,714,0,410,0,,0.17073170731707318,,False,3,7
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,width_family_size,660,0,605,0,,0.17851239669421487,,False,4,15
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,width_family_size,645,0,262,0,,0.11068702290076336,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,width_family_size,714,0,714,0,,0.11624649859943978,,False,3,4
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,width_family_size,660,0,660,0,,0.10151515151515152,,False,4,11
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,width_family_size,714,429,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,width_family_size,660,0,660,0,,0.09242424242424242,,False,4,5
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.25,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.25,width_family_size,645,0,276,0,,0.17391304347826086,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.25,width_family_size,714,0,421,0,,0.3254156769596199,,False,3,7
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.25,width_family_size,660,0,606,0,,0.33663366336633666,,False,4,15
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.5,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.5,width_family_size,645,0,275,0,,0.18181818181818182,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.5,width_family_size,714,0,714,0,,0.18627450980392157,,False,3,4
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.5,width_family_size,660,0,660,0,,0.23030303030303031,,False,4,11
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.75,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.75,width_family_size,714,429,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.75,width_family_size,660,0,660,0,,0.15,,False,4,5
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.25,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.25,width_family_size,645,0,263,0,,0.17110266159695817,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.25,width_family_size,714,0,431,0,,0.3248259860788863,,False,3,7
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.25,width_family_size,660,0,594,0,,0.4090909090909091,,False,4,15
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.5,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.5,width_family_size,645,0,271,0,,0.16605166051660517,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.5,width_family_size,714,0,714,0,,0.18627450980392157,,False,3,4
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.5,width_family_size,660,0,660,0,,0.37424242424242427,,False,4,11
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.75,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.75,width_family_size,714,426,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.75,width_family_size,660,0,660,0,,0.19090909090909092,,False,4,5
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.25,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.25,width_family_size,645,0,633,0,,0.14218009478672985,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.25,width_family_size,714,0,252,0,,0.1746031746031746,,False,3,4
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.25,width_family_size,660,0,29,0,,0.10344827586206896,,False,4,5
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.5,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.5,width_family_size,645,0,640,0,,0.140625,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.5,width_family_size,714,0,714,0,,0.11624649859943978,,False,3,4
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.5,width_family_size,660,0,660,0,,0.14393939393939395,,False,4,7
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.75,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.75,width_family_size,714,429,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.75,width_family_size,660,0,660,0,,0.09242424242424242,,False,4,5
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.25,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.25,width_family_size,645,0,635,0,,0.18740157480314962,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.25,width_family_size,714,0,269,0,,0.2862453531598513,,False,3,4
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.25,width_family_size,660,0,26,0,,0.3076923076923077,,False,4,5
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,width_family_size,645,0,636,0,,0.1871069182389937,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,width_family_size,714,0,714,0,,0.18627450980392157,,False,3,4
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,width_family_size,660,0,660,0,,0.28484848484848485,,False,4,7
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,width_family_size,714,429,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,width_family_size,660,0,660,0,,0.15,,False,4,5
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.25,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.25,width_family_size,645,0,636,0,,0.17138364779874213,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.25,width_family_size,714,0,277,0,,0.35379061371841153,,False,3,4
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.25,width_family_size,660,0,26,0,,0.4230769230769231,,False,4,5
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.5,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.5,width_family_size,645,0,639,0,,0.17370892018779344,,False,2,3
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.5,width_family_size,714,0,714,0,,0.18627450980392157,,False,3,4
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.5,width_family_size,660,0,660,0,,0.3515151515151515,,False,4,7
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.75,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.75,width_family_size,714,426,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.75,width_family_size,660,0,660,0,,0.19090909090909092,,False,4,5
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,width_family_size,645,0,262,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,width_family_size,714,0,427,0,,0.0,,False,3,7
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,width_family_size,660,0,599,0,,0.0,,False,4,15
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,width_family_size,645,0,257,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,width_family_size,714,0,714,0,,0.0,,False,3,4
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,width_family_size,660,0,660,0,,0.0,,False,4,11
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,width_family_size,714,429,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,width_family_size,660,0,660,0,,0.0,,False,4,5
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,width_family_size,645,0,268,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,width_family_size,714,0,421,0,,0.0,,False,3,7
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,width_family_size,660,0,597,0,,0.0,,False,4,15
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,width_family_size,645,0,272,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,width_family_size,714,0,714,0,,0.0,,False,3,4
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,width_family_size,660,0,660,0,,0.0,,False,4,11
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,width_family_size,714,429,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,width_family_size,660,0,660,0,,0.0,,False,4,5
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,width_family_size,645,0,282,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,width_family_size,714,0,435,0,,0.0,,False,3,7
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,width_family_size,660,0,605,0,,0.0,,False,4,15
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,width_family_size,645,0,273,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,width_family_size,714,0,714,0,,0.0,,False,3,4
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,width_family_size,660,0,660,0,,0.0,,False,4,11
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,width_family_size,714,426,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,width_family_size,660,0,660,0,,0.0,,False,4,5
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,width_family_size,645,0,632,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,width_family_size,714,0,260,0,,0.0,,False,3,4
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,width_family_size,660,0,30,0,,0.0,,False,4,5
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,width_family_size,645,0,635,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,width_family_size,714,0,714,0,,0.0,,False,3,4
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,width_family_size,660,0,660,0,,0.0,,False,4,7
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,width_family_size,1581,933,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,width_family_size,714,429,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,width_family_size,660,0,660,0,,0.0,,False,4,5
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,width_family_size,645,0,637,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,width_family_size,714,0,263,0,,0.0,,False,3,4
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,width_family_size,660,0,31,0,,0.0,,False,4,5
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,width_family_size,645,0,631,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,width_family_size,714,0,714,0,,0.0,,False,3,4
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,width_family_size,660,0,660,0,,0.0,,False,4,7
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,width_family_size,1581,931,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,width_family_size,714,429,0,0,0.0,,,False,3,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,width_family_size,660,0,660,0,,0.0,,False,4,5
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,width_family_size,645,0,633,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,width_family_size,714,0,279,0,,0.0,,False,3,4
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,width_family_size,660,0,31,0,,0.0,,False,4,5
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,width_family_size,645,0,636,0,,0.0,,False,2,3
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,width_family_size,714,0,714,0,,0.0,,False,3,4
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,width_family_size,660,0,660,0,,0.0,,False,4,7
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.75,width_family_size,1581,927,0,0,0.0,,,False,1,1
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.75,width_family_size,645,381,0,0,0.0,,,False,2,1
