keying,mode,family_semantics,severity,threshold_fraction,rows,raw_low_rescue,raw_high_rescue,raw_low_count,raw_high_count,raw_paired_count,raw_low_minus_high_gap,status
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,3600,0.0,0.0,931,1646,931,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,3600,0.0,0.0,1741,660,660,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,3600,0.0,0.0,927,1322,927,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,3600,0.0,0.0,927,1647,927,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,3600,0.0,0.0,1734,660,660,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,3600,0.0,0.0,933,922,922,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,3600,0.0,0.0,933,2009,933,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,3600,0.0,0.0,1743,660,660,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,3600,0.0,0.0,931,931,931,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,3600,0.0,0.0,931,2005,931,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,3600,0.0,0.0,1741,660,660,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,3600,0.0,0.0,927,943,927,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,3600,0.0,0.0,927,2010,927,0.0,raw_gap_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.75,3600,0.0,0.0,1734,660,660,0.0,raw_gap_estimable
edge_direction_only,ledger_failure,at_least_k,0.25,0.25,3600,0.0,0.1414141414141414,933,1188,933,-0.1414141414141414,raw_gap_estimable
edge_direction_only,ledger_failure,at_least_k,0.25,0.5,3600,0.0,0.09988584474885845,933,1752,933,-0.09988584474885845,raw_gap_estimable
edge_direction_only,ledger_failure,at_least_k,0.25,0.75,3600,0.0,0.07424242424242425,1743,660,660,-0.07424242424242425,raw_gap_estimable
edge_direction_only,ledger_failure,at_least_k,0.5,0.25,3600,0.0,0.27441077441077444,931,1188,931,-0.27441077441077444,raw_gap_estimable
edge_direction_only,ledger_failure,at_least_k,0.5,0.5,3600,0.0,0.21575342465753425,931,1752,931,-0.21575342465753425,raw_gap_estimable
edge_direction_only,ledger_failure,at_least_k,0.5,0.75,3600,0.0,0.1787878787878788,1741,660,660,-0.1787878787878788,raw_gap_estimable
edge_direction_only,ledger_failure,at_least_k,0.75,0.25,3600,0.0,0.3223905723905724,927,1188,927,-0.3223905723905724,raw_gap_estimable
edge_direction_only,ledger_failure,at_least_k,0.75,0.5,3600,0.0,0.2420091324200913,927,1752,927,-0.2420091324200913,raw_gap_estimable
edge_direction_only,ledger_failure,at_least_k,0.75,0.75,3600,0.0,0.1621212121212121,1734,660,660,-0.1621212121212121,raw_gap_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.25,0.25,3600,0.0,0.15200868621064062,933,921,921,-0.15200868621064062,raw_gap_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.25,0.5,3600,0.0,0.11688954928182269,933,2019,933,-0.11688954928182269,raw_gap_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.25,0.75,3600,0.0,0.07424242424242425,1743,660,660,-0.07424242424242425,raw_gap_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.5,0.25,3600,0.0,0.2703583061889251,931,921,921,-0.2703583061889251,raw_gap_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.5,0.5,3600,0.0,0.24021792966815256,931,2019,931,-0.24021792966815256,raw_gap_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.5,0.75,3600,0.0,0.1787878787878788,1741,660,660,-0.1787878787878788,raw_gap_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.75,0.25,3600,0.0,0.19435396308360478,927,921,921,-0.19435396308360478,raw_gap_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.75,0.5,3600,0.0,0.22486379395740466,927,2019,927,-0.22486379395740466,raw_gap_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.75,0.75,3600,0.0,0.1621212121212121,1734,660,660,-0.1621212121212121,raw_gap_estimable
edge_direction_only,orientation_degradation,at_least_k,0.25,0.25,3600,0.0,0.16077441077441076,933,1188,933,-0.16077441077441076,raw_gap_estimable
edge_direction_only,orientation_degradation,at_least_k,0.25,0.5,3600,0.0,0.11358447488584475,933,1752,933,-0.11358447488584475,raw_gap_estimable
edge_direction_only,orientation_degradation,at_least_k,0.25,0.75,3600,0.0,0.09242424242424242,1743,660,660,-0.09242424242424242,raw_gap_estimable
edge_direction_only,orientation_degradation,at_least_k,0.5,0.25,3600,0.0,0.2769360269360269,931,1188,931,-0.2769360269360269,raw_gap_estimable
edge_direction_only,orientation_degradation,at_least_k,0.5,0.5,3600,0.0,0.19863013698630136,931,1752,931,-0.19863013698630136,raw_gap_estimable
edge_direction_only,orientation_degradation,at_least_k,0.5,0.75,3600,0.0,0.15,1741,660,660,-0.15,raw_gap_estimable
edge_direction_only,orientation_degradation,at_least_k,0.75,0.25,3600,0.0,0.29208754208754206,927,1188,927,-0.29208754208754206,raw_gap_estimable
edge_direction_only,orientation_degradation,at_least_k,0.75,0.5,3600,0.0,0.2522831050228311,927,1752,927,-0.2522831050228311,raw_gap_estimable
edge_direction_only,orientation_degradation,at_least_k,0.75,0.75,3600,0.0,0.19090909090909092,1734,660,660,-0.19090909090909092,raw_gap_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.25,0.25,3600,0.0,0.1498371335504886,933,921,921,-0.1498371335504886,raw_gap_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.25,0.5,3600,0.0,0.133234274393264,933,2019,933,-0.133234274393264,raw_gap_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.25,0.75,3600,0.0,0.09242424242424242,1743,660,660,-0.09242424242424242,raw_gap_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.5,0.25,3600,0.0,0.21389793702497287,931,921,921,-0.21389793702497287,raw_gap_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.5,0.5,3600,0.0,0.2199108469539376,931,2019,931,-0.2199108469539376,raw_gap_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.5,0.75,3600,0.0,0.15,1741,660,660,-0.15,raw_gap_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.75,0.25,3600,0.0,0.24538545059717698,927,921,921,-0.24538545059717698,raw_gap_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.75,0.5,3600,0.0,0.2362555720653789,927,2019,927,-0.2362555720653789,raw_gap_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.75,0.75,3600,0.0,0.19090909090909092,1734,660,660,-0.19090909090909092,raw_gap_estimable
edge_direction_only,selector_stress,at_least_k,0.25,0.25,3600,0.0,0.0,933,1188,933,0.0,raw_gap_estimable
edge_direction_only,selector_stress,at_least_k,0.25,0.5,3600,0.0,0.0,933,1752,933,0.0,raw_gap_estimable
edge_direction_only,selector_stress,at_least_k,0.25,0.75,3600,0.0,0.0,1743,660,660,0.0,raw_gap_estimable
edge_direction_only,selector_stress,at_least_k,0.5,0.25,3600,0.0,0.0,931,1188,931,0.0,raw_gap_estimable
edge_direction_only,selector_stress,at_least_k,0.5,0.5,3600,0.0,0.0,931,1752,931,0.0,raw_gap_estimable
edge_direction_only,selector_stress,at_least_k,0.5,0.75,3600,0.0,0.0,1741,660,660,0.0,raw_gap_estimable
edge_direction_only,selector_stress,at_least_k,0.75,0.25,3600,0.0,0.0,927,1188,927,0.0,raw_gap_estimable
edge_direction_only,selector_stress,at_least_k,0.75,0.5,3600,0.0,0.0,927,1752,927,0.0,raw_gap_estimable
edge_direction_only,selector_stress,at_least_k,0.75,0.75,3600,0.0,0.0,1734,660,660,0.0,raw_gap_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.25,0.25,3600,0.0,0.0,933,921,921,0.0,raw_gap_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.25,0.5,3600,0.0,0.0,933,2019,933,0.0,raw_gap_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.25,0.75,3600,0.0,0.0,1743,660,660,0.0,raw_gap_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.5,0.25,3600,0.0,0.0,931,921,921,0.0,raw_gap_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.5,0.5,3600,0.0,0.0,931,2019,931,0.0,raw_gap_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.5,0.75,3600,0.0,0.0,1741,660,660,0.0,raw_gap_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.75,0.25,3600,0.0,0.0,927,921,921,0.0,raw_gap_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.75,0.5,3600,0.0,0.0,927,2019,927,0.0,raw_gap_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.75,0.75,3600,0.0,0.0,1734,660,660,0.0,raw_gap_estimable
edge_pair_signed_no_member,ledger_failure,at_least_k,0.25,0.25,3600,0.0,0.1414141414141414,933,1188,933,-0.1414141414141414,raw_gap_estimable
edge_pair_signed_no_member,ledger_failure,at_least_k,0.25,0.5,3600,0.0,0.09988584474885845,933,1752,933,-0.09988584474885845,raw_gap_estimable
edge_pair_signed_no_member,ledger_failure,at_least_k,0.25,0.75,3600,0.0,0.07424242424242425,1743,660,660,-0.07424242424242425,raw_gap_estimable
