keying,mode,family_semantics,severity,threshold_fraction,raw_gap,width_matched_gap,joint_width_family_matched_gap,width_gap_reduction_from_raw,joint_gap_reduction_from_raw,width_status,joint_status,interpretation
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,-0.21890547263681592,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,-0.15,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.25,-0.2321618743343983,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.5,-0.23646299056135123,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.75,-0.19090909090909092,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
