keying,mode,family_semantics,severity,threshold_fraction,matching_level,raw_low_minus_high_gap,matched_low_minus_high_gap_weighted,matched_low_minus_high_gap_unweighted,matched_gap_abs_weighted,gap_reduction_from_raw,matched_strata_count,total_strata_count,estimable_strata_fraction,matched_trials_paired_low_high,matched_strata,status
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.75,width_family_size,-0.19090909090909092,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
