seed,run_seed,step_idx,v,N1,N2,N3,N4,V4,S,parent_size,mu_depth,mu_v4,mu_mle
chain2,3,20,22,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,3,21,23,1,2,1,1,5,10,4,1.8750000000,1.8312368960,1.9583417612
chain2,3,22,24,2,2,1,0,5,1,4,2.1250000000,1.8312368960,1.7456210551
chain2,3,23,25,2,2,0,1,5,25,3,2.0000000000,1.8312368960,1.8218071621
chain2,3,24,26,2,3,0,1,6,34,4,2.1250000000,2.0000000000,1.9583417612
chain2,3,25,27,4,2,1,1,8,7,4,2.2222222222,2.2824720047,2.1338144785
chain2,4,1,3,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,4,2,4,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,4,3,5,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,4,4,6,2,1,0,0,3,8,3,1.5000000000,1.4006773518,1.2220970831
chain2,4,5,7,1,2,1,0,4,2,4,1.3333333333,1.6354633478,1.6627514257
chain2,4,6,8,1,2,1,0,4,2,4,1.3333333333,1.6354633478,1.6627514257
chain2,4,7,9,1,2,1,0,4,2,3,1.3333333333,1.6354633478,1.6627514257
chain2,4,8,10,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,4,9,11,1,2,1,0,4,2,2,1.3333333333,1.6354633478,1.6627514257
chain2,4,10,12,3,1,0,1,5,15,4,1.7500000000,1.8312368960,1.7456210551
chain2,4,11,13,3,1,0,1,5,15,4,1.7500000000,1.8312368960,1.7456210551
chain2,4,12,14,2,3,0,1,6,34,3,1.8000000000,2.0000000000,1.9583417612
chain2,4,13,15,1,3,1,0,5,11,4,1.6000000000,1.8312368960,1.8218071621
chain2,4,14,16,1,3,1,0,5,11,3,1.6000000000,1.8312368960,1.8218071621
chain2,4,15,17,3,3,0,1,7,33,4,2.0000000000,2.1488813703,2.0202072359
chain2,4,16,18,2,1,0,2,5,24,3,1.5000000000,1.8312368960,1.9583417612
chain2,4,17,19,2,1,0,3,6,32,4,1.6666666667,2.0000000000,2.1863367321
chain2,4,18,20,1,2,1,0,4,2,4,1.5714285714,1.6354633478,1.6627514257
chain2,4,19,21,2,1,1,2,6,8,4,1.6666666667,2.0000000000,2.1338144785
chain2,4,20,22,2,2,1,1,6,9,4,1.7500000000,2.0000000000,2.0202072359
chain2,4,21,23,1,2,1,0,4,2,3,1.5714285714,1.6354633478,1.6627514257
chain2,4,22,24,3,3,0,1,7,33,4,2.0000000000,2.1488813703,2.0202072359
chain2,4,23,25,2,2,1,0,5,1,4,1.7142857143,1.8312368960,1.7456210551
chain2,4,24,26,3,2,0,1,6,24,4,1.8571428571,2.0000000000,1.8924299483
chain2,4,25,27,3,1,1,2,7,7,4,1.8333333333,2.1488813703,2.1863367321
chain2,5,1,3,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,5,2,4,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,5,3,5,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,5,4,6,1,2,1,0,4,2,4,1.3333333333,1.6354633478,1.6627514257
chain2,5,5,7,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,5,6,8,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,5,7,9,1,2,1,0,4,2,4,1.3333333333,1.6354633478,1.6627514257
chain2,5,8,10,3,1,0,0,4,7,3,2.0000000000,1.6354633478,1.3553983943
chain2,5,9,11,2,2,0,2,6,33,3,1.7500000000,2.0000000000,2.0785553499
chain2,5,10,12,1,2,1,0,4,2,2,1.3333333333,1.6354633478,1.6627514257
chain2,5,11,13,2,2,1,1,6,9,3,1.8000000000,2.0000000000,2.0202072359
chain2,5,12,14,2,2,1,1,6,9,4,1.8000000000,2.0000000000,2.0202072359
chain2,5,13,15,2,2,1,0,5,1,2,1.6666666667,1.8312368960,1.7456210551
chain2,5,14,16,2,1,1,2,6,8,4,1.7500000000,2.0000000000,2.1338144785
chain2,5,15,17,2,2,1,1,6,9,4,1.8000000000,2.0000000000,2.0202072359
chain2,5,16,18,2,4,2,0,8,3,4,2.1666666667,2.2824720047,2.1863367321
chain2,5,17,19,2,1,1,2,6,8,4,1.7500000000,2.0000000000,2.1338144785
chain2,5,18,20,2,2,2,4,10,17,4,2.1428571429,2.5154334638,2.6771726395
chain2,5,19,21,2,4,2,0,8,3,2,2.1666666667,2.2824720047,2.1863367321
chain2,5,20,22,2,2,2,2,8,1,4,2.1428571429,2.2824720047,2.3742806333
chain2,5,21,23,1,2,2,2,7,2,3,2.0000000000,2.1488813703,2.3301921157
chain2,5,22,24,2,2,2,2,8,1,4,2.1250000000,2.2824720047,2.3742806333
chain2,5,23,25,1,2,2,2,7,2,4,2.0000000000,2.1488813703,2.3301921157
chain2,5,24,26,2,2,2,4,10,17,4,2.1428571429,2.5154334638,2.6771726395
chain2,5,25,27,2,2,2,2,8,1,4,2.1428571429,2.2824720047,2.3742806333
chain2,6,1,3,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,6,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,6,3,5,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,6,4,6,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,6,5,7,3,1,0,1,5,15,3,2.0000000000,1.8312368960,1.7456210551
chain2,6,6,8,1,3,1,0,5,11,4,1.7500000000,1.8312368960,1.8218071621
chain2,6,7,9,1,2,1,0,4,2,4,1.3333333333,1.6354633478,1.6627514257
chain2,6,8,10,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,6,9,11,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,6,10,12,2,1,1,2,6,8,4,2.0000000000,2.0000000000,2.1338144785
chain2,6,11,13,2,1,1,2,6,8,4,2.0000000000,2.0000000000,2.1338144785
chain2,6,12,14,2,1,1,2,6,8,4,2.0000000000,2.0000000000,2.1338144785
chain2,6,13,15,1,3,1,0,5,11,1,1.7500000000,1.8312368960,1.8218071621
chain2,6,14,16,2,2,1,0,5,1,4,2.0000000000,1.8312368960,1.7456210551
chain2,6,15,17,2,1,1,2,6,8,4,2.0000000000,2.0000000000,2.1338144785
chain2,6,16,18,1,2,1,1,5,10,4,1.8333333333,1.8312368960,1.9583417612
chain2,6,17,19,1,2,1,1,5,10,3,1.8333333333,1.8312368960,1.9583417612
chain2,6,18,20,2,2,1,0,5,1,3,2.0000000000,1.8312368960,1.7456210551
chain2,6,19,21,2,2,0,1,5,25,4,2.0000000000,1.8312368960,1.8218071621
chain2,6,20,22,2,1,0,2,5,24,4,1.8571428571,1.8312368960,1.9583417612
chain2,6,21,23,2,2,0,1,5,25,4,2.0000000000,1.8312368960,1.8218071621
chain2,6,22,24,2,3,1,1,7,18,4,2.1428571429,2.1488813703,2.1338144785
chain2,6,23,25,3,1,0,0,4,7,3,2.0000000000,1.6354633478,1.3553983943
chain2,6,24,26,1,2,1,1,5,10,4,1.8333333333,1.8312368960,1.9583417612
chain2,6,25,27,3,4,0,0,7,34,4,2.4285714286,2.1488813703,1.8924299483
chain2,7,1,3,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,7,2,4,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,7,3,5,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,7,4,6,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,7,5,7,3,0,0,1,4,6,4,1.6666666667,1.6354633478,1.5716813449
chain2,7,6,8,3,0,0,1,4,6,4,1.6666666667,1.6354633478,1.5716813449
chain2,7,7,9,2,3,0,0,5,26,2,1.7500000000,1.8312368960,1.6627514257
chain2,7,8,10,1,3,0,0,4,27,3,1.5000000000,1.6354633478,1.5716813449
chain2,7,9,11,1,3,0,0,4,27,2,1.5000000000,1.6354633478,1.5716813449
chain2,7,10,12,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,7,11,13,2,2,1,2,7,17,3,1.8000000000,2.1488813703,2.2364152990
chain2,7,12,14,3,0,0,1,4,6,4,1.6666666667,1.6354633478,1.5716813449
chain2,7,13,15,2,2,1,1,6,9,4,1.8333333333,2.0000000000,2.0202072359
chain2,7,14,16,2,2,1,2,7,17,4,1.8000000000,2.1488813703,2.2364152990
chain2,7,15,17,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,7,16,18,2,2,1,2,7,17,4,1.8000000000,2.1488813703,2.2364152990
chain2,7,17,19,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,7,18,20,2,2,1,2,7,17,4,2.0000000000,2.1488813703,2.2364152990
chain2,7,19,21,2,4,1,0,7,19,4,2.1428571429,2.1488813703,2.0202072359
chain2,7,20,22,3,3,0,1,7,33,4,2.1666666667,2.1488813703,2.0202072359
chain2,7,21,23,2,3,1,2,8,26,4,2.2500000000,2.2824720047,2.3301921157
chain2,7,22,24,2,4,0,1,7,43,4,2.2857142857,2.1488813703,2.0785553499
chain2,7,23,25,2,4,1,0,7,19,4,2.3333333333,2.1488813703,2.0202072359
chain2,7,24,26,2,2,1,1,6,9,4,1.8333333333,2.0000000000,2.0202072359
chain2,7,25,27,3,4,0,3,10,58,4,2.5000000000,2.5154334638,2.4971694443
chain2,8,1,3,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,8,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,8,3,5,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,8,4,6,2,1,0,0,3,8,3,1.5000000000,1.4006773518,1.2220970831
chain2,8,5,7,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,8,6,8,1,2,1,0,4,2,3,1.3333333333,1.6354633478,1.6627514257
chain2,8,7,9,3,1,0,1,5,15,3,1.7500000000,1.8312368960,1.7456210551
chain2,8,8,10,1,3,1,0,5,11,4,1.6000000000,1.8312368960,1.8218071621
chain2,8,9,11,1,3,1,0,5,11,4,1.6000000000,1.8312368960,1.8218071621
chain2,8,10,12,2,0,1,3,6,7,4,1.6666666667,2.0000000000,2.2364152990
chain2,8,11,13,2,2,0,1,5,25,4,1.7142857143,1.8312368960,1.8218071621
chain2,8,12,14,1,2,0,1,4,26,4,1.5714285714,1.6354633478,1.7456210551
chain2,8,13,15,2,1,1,2,6,8,4,1.7500000000,2.0000000000,2.1338144785
chain2,8,14,16,1,3,1,0,5,11,3,1.6000000000,1.8312368960,1.8218071621
