seed,run_seed,step_idx,v,N1,N2,N3,N4,V4,S,parent_size,mu_depth,mu_v4,mu_mle
chain2,33,6,8,3,1,0,1,5,15,4,2.0000000000,1.8312368960,1.7456210551
chain2,33,7,9,1,3,1,0,5,11,4,1.7500000000,1.8312368960,1.8218071621
chain2,33,8,10,1,3,1,0,5,11,4,1.7500000000,1.8312368960,1.8218071621
chain2,33,9,11,2,0,1,3,6,7,4,1.8000000000,2.0000000000,2.2364152990
chain2,33,10,12,1,2,0,1,4,26,3,1.6666666667,1.6354633478,1.7456210551
chain2,33,11,13,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,33,12,14,2,2,0,1,5,25,4,1.8333333333,1.8312368960,1.8218071621
chain2,33,13,15,3,0,1,3,7,6,4,2.0000000000,2.1488813703,2.2842970862
chain2,33,14,16,1,2,0,1,4,26,4,1.6666666667,1.6354633478,1.7456210551
chain2,33,15,17,3,1,1,2,7,7,4,2.0000000000,2.1488813703,2.1863367321
chain2,33,16,18,2,3,0,2,7,42,4,2.0000000000,2.1488813703,2.1863367321
chain2,33,17,19,3,1,1,2,7,7,4,2.0000000000,2.1488813703,2.1863367321
chain2,33,18,20,2,3,1,0,6,10,4,2.0000000000,2.0000000000,1.8924299483
chain2,33,19,21,1,3,1,1,6,19,4,1.8750000000,2.0000000000,2.0785553499
chain2,33,20,22,2,3,1,1,7,18,3,2.1111111111,2.1488813703,2.1338144785
chain2,33,21,23,1,3,1,1,6,19,4,1.8750000000,2.0000000000,2.0785553499
chain2,33,22,24,2,2,1,2,7,17,4,2.0000000000,2.1488813703,2.2364152990
chain2,33,23,25,1,3,1,1,6,19,4,1.8750000000,2.0000000000,2.0785553499
chain2,33,24,26,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,33,25,27,2,2,1,2,7,17,3,2.1250000000,2.1488813703,2.2364152990
chain2,34,1,3,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,34,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,34,3,5,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,34,4,6,3,0,0,1,4,6,4,1.6666666667,1.6354633478,1.5716813449
chain2,34,5,7,1,3,0,0,4,27,4,1.5000000000,1.6354633478,1.5716813449
chain2,34,6,8,1,3,0,0,4,27,4,1.5000000000,1.6354633478,1.5716813449
chain2,34,7,9,1,3,0,0,4,27,4,1.5000000000,1.6354633478,1.5716813449
chain2,34,8,10,3,0,0,1,4,6,4,1.8000000000,1.6354633478,1.5716813449
chain2,34,9,11,1,3,0,0,4,27,2,1.5000000000,1.6354633478,1.5716813449
chain2,34,10,12,3,0,0,1,4,6,4,1.8000000000,1.6354633478,1.5716813449
chain2,34,11,13,1,3,0,0,4,27,4,1.6666666667,1.6354633478,1.5716813449
chain2,34,12,14,1,3,0,0,4,27,2,1.6666666667,1.6354633478,1.5716813449
chain2,34,13,15,1,3,0,0,4,27,3,1.6666666667,1.6354633478,1.5716813449
chain2,34,14,16,2,0,1,3,6,7,3,1.6000000000,2.0000000000,2.2364152990
chain2,34,15,17,2,1,1,2,6,8,4,1.7142857143,2.0000000000,2.1338144785
chain2,34,16,18,1,3,0,0,4,27,3,1.6666666667,1.6354633478,1.5716813449
chain2,34,17,19,2,3,2,1,8,2,4,2.0000000000,2.2824720047,2.2842970862
chain2,34,18,20,1,3,0,0,4,27,4,1.5000000000,1.6354633478,1.5716813449
chain2,34,19,21,1,2,0,1,4,26,4,1.5000000000,1.6354633478,1.7456210551
chain2,34,20,22,1,2,0,1,4,26,2,1.5000000000,1.6354633478,1.7456210551
chain2,34,21,23,1,2,0,1,4,26,4,1.5000000000,1.6354633478,1.7456210551
chain2,34,22,24,1,3,0,0,4,27,4,1.6666666667,1.6354633478,1.5716813449
chain2,34,23,25,2,0,1,3,6,7,4,1.6000000000,2.0000000000,2.2364152990
chain2,34,24,26,2,3,1,0,6,10,4,2.0000000000,2.0000000000,1.8924299483
chain2,34,25,27,2,2,2,3,9,9,4,2.0000000000,2.4039086666,2.5354066668
chain2,35,1,3,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,35,2,4,2,1,0,0,3,8,3,1.5000000000,1.4006773518,1.2220970831
chain2,35,3,5,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,35,4,6,1,2,1,0,4,2,3,1.3333333333,1.6354633478,1.6627514257
chain2,35,5,7,2,1,0,2,5,24,2,1.5000000000,1.8312368960,1.9583417612
chain2,35,6,8,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,35,7,9,2,1,0,2,5,24,3,1.5000000000,1.8312368960,1.9583417612
chain2,35,8,10,1,2,1,0,4,2,4,1.4000000000,1.6354633478,1.6627514257
chain2,35,9,11,3,1,0,2,6,23,3,1.6666666667,2.0000000000,2.0202072359
chain2,35,10,12,1,3,1,0,5,11,2,1.5714285714,1.8312368960,1.8218071621
chain2,35,11,13,1,3,1,0,5,11,4,1.5714285714,1.8312368960,1.8218071621
chain2,35,12,14,2,0,1,3,6,7,4,1.6250000000,2.0000000000,2.2364152990
chain2,35,13,15,1,3,1,0,5,11,4,1.5714285714,1.8312368960,1.8218071621
chain2,35,14,16,2,1,0,2,5,24,3,1.5000000000,1.8312368960,1.9583417612
chain2,35,15,17,2,0,1,3,6,7,4,1.6250000000,2.0000000000,2.2364152990
chain2,35,16,18,1,2,0,1,4,26,4,1.5555555556,1.6354633478,1.7456210551
chain2,35,17,19,2,1,0,2,5,24,4,1.6000000000,1.8312368960,1.9583417612
chain2,35,18,20,2,0,1,3,6,7,4,1.6250000000,2.0000000000,2.2364152990
chain2,35,19,21,4,0,0,2,6,13,4,2.0000000000,2.0000000000,1.9583417612
chain2,35,20,22,2,2,1,0,5,1,4,1.6363636364,1.8312368960,1.7456210551
chain2,35,21,23,2,3,0,1,6,34,4,1.7777777778,2.0000000000,1.9583417612
chain2,35,22,24,1,2,0,1,4,26,4,1.5555555556,1.6354633478,1.7456210551
chain2,35,23,25,2,2,1,2,7,17,4,1.7500000000,2.1488813703,2.2364152990
chain2,35,24,26,1,2,0,1,4,26,3,1.5555555556,1.6354633478,1.7456210551
chain2,35,25,27,2,3,1,0,6,10,4,1.9000000000,2.0000000000,1.8924299483
chain2,36,1,3,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,36,2,4,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,36,3,5,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,36,4,6,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,36,5,7,2,1,0,0,3,8,3,1.5000000000,1.4006773518,1.2220970831
chain2,36,6,8,1,2,1,0,4,2,3,1.3333333333,1.6354633478,1.6627514257
chain2,36,7,9,1,2,1,0,4,2,1,1.3333333333,1.6354633478,1.6627514257
chain2,36,8,10,1,2,1,0,4,2,1,1.3333333333,1.6354633478,1.6627514257
chain2,36,9,11,3,1,0,1,5,15,3,2.0000000000,1.8312368960,1.7456210551
chain2,36,10,12,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,36,11,13,4,2,0,1,7,23,4,2.5000000000,2.1488813703,1.9583417612
chain2,36,12,14,1,3,1,0,5,11,3,1.7500000000,1.8312368960,1.8218071621
chain2,36,13,15,1,4,2,0,7,4,3,2.2000000000,2.1488813703,2.1338144785
chain2,36,14,16,1,2,1,0,4,2,1,1.3333333333,1.6354633478,1.6627514257
chain2,36,15,17,1,4,2,0,7,4,2,2.2000000000,2.1488813703,2.1338144785
chain2,36,16,18,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,36,17,19,3,1,1,2,7,7,4,2.2000000000,2.1488813703,2.1863367321
chain2,36,18,20,2,4,2,0,8,3,3,2.4000000000,2.2824720047,2.1863367321
chain2,36,19,21,2,4,2,0,8,3,4,2.5000000000,2.2824720047,2.1863367321
chain2,36,20,22,3,3,1,2,9,25,4,2.6000000000,2.4039086666,2.3742806333
chain2,36,21,23,1,3,1,1,6,19,3,2.0000000000,2.0000000000,2.0785553499
chain2,36,22,24,2,4,2,0,8,3,4,2.4000000000,2.2824720047,2.1863367321
chain2,36,23,25,2,1,1,4,8,24,4,2.3333333333,2.2824720047,2.4971694443
chain2,36,24,26,3,3,1,1,8,17,4,2.3333333333,2.2824720047,2.1863367321
chain2,36,25,27,2,2,2,3,9,9,4,2.5714285714,2.4039086666,2.5354066668
chain2,37,1,3,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,37,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,37,3,5,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,37,4,6,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,37,5,7,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,37,6,8,1,2,1,0,4,2,3,1.3333333333,1.6354633478,1.6627514257
chain2,37,7,9,3,1,0,1,5,15,4,2.0000000000,1.8312368960,1.7456210551
chain2,37,8,10,1,3,1,0,5,11,3,1.7500000000,1.8312368960,1.8218071621
chain2,37,9,11,1,3,1,0,5,11,2,1.7500000000,1.8312368960,1.8218071621
chain2,37,10,12,2,0,1,3,6,7,4,1.8000000000,2.0000000000,2.2364152990
chain2,37,11,13,1,2,0,1,4,26,4,1.6666666667,1.6354633478,1.7456210551
chain2,37,12,14,1,2,0,1,4,26,4,1.6666666667,1.6354633478,1.7456210551
chain2,37,13,15,2,2,0,1,5,25,4,1.8333333333,1.8312368960,1.8218071621
chain2,37,14,16,2,2,0,1,5,25,3,1.8333333333,1.8312368960,1.8218071621
chain2,37,15,17,2,1,1,2,6,8,3,1.8571428571,2.0000000000,2.1338144785
chain2,37,16,18,1,2,1,1,5,10,4,1.7500000000,1.8312368960,1.9583417612
chain2,37,17,19,2,1,1,2,6,8,4,1.8571428571,2.0000000000,2.1338144785
chain2,37,18,20,1,2,1,1,5,10,4,1.7500000000,1.8312368960,1.9583417612
chain2,37,19,21,2,2,0,1,5,25,3,1.8333333333,1.8312368960,1.8218071621
chain2,37,20,22,2,2,0,1,5,25,4,1.8750000000,1.8312368960,1.8218071621
chain2,37,21,23,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,37,22,24,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,37,23,25,2,1,1,2,6,8,4,1.8571428571,2.0000000000,2.1338144785
chain2,37,24,26,1,2,1,1,5,10,4,1.7500000000,1.8312368960,1.9583417612
chain2,37,25,27,3,1,1,2,7,7,4,2.0000000000,2.1488813703,2.1863367321
chain2,38,1,3,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,38,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,38,3,5,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,38,4,6,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,38,5,7,1,2,1,0,4,2,3,1.3333333333,1.6354633478,1.6627514257
chain2,38,6,8,1,2,1,0,4,2,3,1.3333333333,1.6354633478,1.6627514257
chain2,38,7,9,1,2,1,0,4,2,1,1.3333333333,1.6354633478,1.6627514257
chain2,38,8,10,3,1,0,0,4,7,4,2.0000000000,1.6354633478,1.3553983943
chain2,38,9,11,2,2,0,2,6,33,4,1.7500000000,2.0000000000,2.0785553499
chain2,38,10,12,3,1,0,0,4,7,3,2.0000000000,1.6354633478,1.3553983943
chain2,38,11,13,3,2,1,1,7,8,4,2.0000000000,2.1488813703,2.0785553499
chain2,38,12,14,1,3,2,1,7,3,4,1.8333333333,2.1488813703,2.2364152990
chain2,38,13,15,1,3,2,1,7,3,4,1.8333333333,2.1488813703,2.2364152990
chain2,38,14,16,2,1,0,0,3,8,3,1.5000000000,1.4006773518,1.2220970831
chain2,38,15,17,2,2,0,2,6,33,4,1.7500000000,2.0000000000,2.0785553499
chain2,38,16,18,2,0,1,3,6,7,4,1.8571428571,2.0000000000,2.2364152990
chain2,38,17,19,2,2,0,1,5,25,4,1.8750000000,1.8312368960,1.8218071621
chain2,38,18,20,4,2,0,1,7,23,4,2.1250000000,2.1488813703,1.9583417612
chain2,38,19,21,3,0,1,3,7,6,4,2.0000000000,2.1488813703,2.2842970862
chain2,38,20,22,2,2,0,1,5,25,4,1.8750000000,1.8312368960,1.8218071621
chain2,38,21,23,1,3,0,1,5,35,4,1.8750000000,1.8312368960,1.8924299483
chain2,38,22,24,3,2,0,1,6,24,4,2.0000000000,2.0000000000,1.8924299483
chain2,38,23,25,2,4,1,0,7,19,3,2.2222222222,2.1488813703,2.0202072359
chain2,38,24,26,2,3,0,1,6,34,4,2.0000000000,2.0000000000,1.9583417612
chain2,38,25,27,2,4,1,0,7,19,4,2.2222222222,2.1488813703,2.0202072359
chain2,39,1,3,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,39,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,39,3,5,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,39,4,6,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,39,5,7,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,39,6,8,3,1,0,1,5,15,4,2.0000000000,1.8312368960,1.7456210551
chain2,39,7,9,2,3,1,0,6,10,4,2.0000000000,2.0000000000,1.8924299483
chain2,39,8,10,2,3,1,0,6,10,4,2.0000000000,2.0000000000,1.8924299483
chain2,39,9,11,1,3,1,0,5,11,4,1.7500000000,1.8312368960,1.8218071621
chain2,39,10,12,3,1,0,1,5,15,4,2.0000000000,1.8312368960,1.7456210551
chain2,39,11,13,2,1,1,3,7,16,3,2.0000000000,2.1488813703,2.3301921157
chain2,39,12,14,1,2,1,1,5,10,4,1.8333333333,1.8312368960,1.9583417612
chain2,39,13,15,2,3,1,0,6,10,4,2.0000000000,2.0000000000,1.8924299483
chain2,39,14,16,1,3,1,0,5,11,4,1.7500000000,1.8312368960,1.8218071621
chain2,39,15,17,1,2,1,1,5,10,4,1.8333333333,1.8312368960,1.9583417612
chain2,39,16,18,2,2,0,1,5,25,4,2.0000000000,1.8312368960,1.8218071621
chain2,39,17,19,1,2,1,1,5,10,4,1.8333333333,1.8312368960,1.9583417612
chain2,39,18,20,2,2,0,1,5,25,4,2.0000000000,1.8312368960,1.8218071621
chain2,39,19,21,1,3,1,0,5,11,4,1.7500000000,1.8312368960,1.8218071621
chain2,39,20,22,1,2,1,1,5,10,4,1.8333333333,1.8312368960,1.9583417612
chain2,39,21,23,3,2,1,2,8,16,4,2.2857142857,2.2824720047,2.2842970862
chain2,39,22,24,1,3,2,1,7,3,3,2.1250000000,2.1488813703,2.2364152990
chain2,39,23,25,2,2,1,1,6,9,4,2.2000000000,2.0000000000,2.0202072359
chain2,39,24,26,2,3,1,2,8,26,4,2.2500000000,2.2824720047,2.3301921157
chain2,39,25,27,1,2,1,1,5,10,4,1.8333333333,1.8312368960,1.9583417612
chain2,40,1,3,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,40,2,4,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,40,3,5,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,40,4,6,3,0,0,1,4,6,4,1.6666666667,1.6354633478,1.5716813449
chain2,40,5,7,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,40,6,8,1,3,0,0,4,27,3,1.5000000000,1.6354633478,1.5716813449
chain2,40,7,9,2,3,0,0,5,26,4,1.7500000000,1.8312368960,1.6627514257
chain2,40,8,10,2,3,0,0,5,26,4,1.7500000000,1.8312368960,1.6627514257
chain2,40,9,11,1,3,0,0,4,27,3,1.5000000000,1.6354633478,1.5716813449
chain2,40,10,12,2,1,1,3,7,16,4,1.8000000000,2.1488813703,2.3301921157
chain2,40,11,13,2,2,1,0,5,1,4,1.8333333333,1.8312368960,1.7456210551
chain2,40,12,14,1,2,1,1,5,10,4,1.6666666667,1.8312368960,1.9583417612
chain2,40,13,15,2,1,1,2,6,8,4,1.8571428571,2.0000000000,2.1338144785
chain2,40,14,16,1,2,1,1,5,10,4,1.7500000000,1.8312368960,1.9583417612
chain2,40,15,17,1,2,1,1,5,10,3,1.7500000000,1.8312368960,1.9583417612
chain2,40,16,18,2,2,1,0,5,1,4,1.8333333333,1.8312368960,1.7456210551
chain2,40,17,19,1,2,1,1,5,10,4,1.7500000000,1.8312368960,1.9583417612
chain2,40,18,20,2,1,1,2,6,8,2,1.8571428571,2.0000000000,2.1338144785
chain2,40,19,21,2,1,0,2,5,24,4,1.7777777778,1.8312368960,1.9583417612
chain2,40,20,22,2,2,1,0,5,1,4,1.8000000000,1.8312368960,1.7456210551
chain2,40,21,23,2,2,0,1,5,25,4,1.8750000000,1.8312368960,1.8218071621
chain2,40,22,24,2,2,0,1,5,25,4,1.8000000000,1.8312368960,1.8218071621
chain2,40,23,25,2,2,0,1,5,25,4,1.8750000000,1.8312368960,1.8218071621
chain2,40,24,26,2,2,0,2,6,33,4,1.8888888889,2.0000000000,2.0785553499
chain2,40,25,27,2,2,1,2,7,17,4,1.9090909091,2.1488813703,2.2364152990
chain2,41,1,3,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,41,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,41,3,5,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,41,4,6,3,0,0,1,4,6,3,1.6666666667,1.6354633478,1.5716813449
chain2,41,5,7,3,0,0,1,4,6,3,1.6666666667,1.6354633478,1.5716813449
chain2,41,6,8,1,3,0,0,4,27,4,1.5000000000,1.6354633478,1.5716813449
chain2,41,7,9,1,3,0,0,4,27,3,1.5000000000,1.6354633478,1.5716813449
chain2,41,8,10,1,3,0,0,4,27,4,1.5000000000,1.6354633478,1.5716813449
chain2,41,9,11,2,1,0,3,6,32,3,1.6000000000,2.0000000000,2.1863367321
chain2,41,10,12,1,2,1,0,4,2,4,1.5000000000,1.6354633478,1.6627514257
chain2,41,11,13,1,3,0,0,4,27,4,1.5000000000,1.6354633478,1.5716813449
chain2,41,12,14,2,1,0,3,6,32,4,1.6000000000,2.0000000000,2.1863367321
chain2,41,13,15,1,3,0,0,4,27,2,1.5000000000,1.6354633478,1.5716813449
chain2,41,14,16,1,3,0,0,4,27,4,1.5000000000,1.6354633478,1.5716813449
chain2,41,15,17,2,2,0,0,4,17,3,1.8000000000,1.6354633478,1.4702785181
chain2,41,16,18,2,2,0,1,5,25,4,1.6666666667,1.8312368960,1.8218071621
chain2,41,17,19,3,3,1,1,8,17,4,2.0000000000,2.2824720047,2.1863367321
chain2,41,18,20,3,0,0,1,4,6,3,1.8000000000,1.6354633478,1.5716813449
chain2,41,19,21,3,3,0,0,6,25,4,2.0000000000,2.0000000000,1.7456210551
chain2,41,20,22,1,2,1,0,4,2,4,1.5000000000,1.6354633478,1.6627514257
chain2,41,21,23,2,2,1,1,6,9,4,1.7142857143,2.0000000000,2.0202072359
chain2,41,22,24,2,4,0,0,6,35,4,2.0000000000,2.0000000000,1.8218071621
chain2,41,23,25,2,4,3,2,11,3,4,2.3750000000,2.6187070833,2.6432589978
chain2,41,24,26,2,2,0,0,4,17,4,1.8000000000,1.6354633478,1.4702785181
chain2,41,25,27,3,5,2,1,11,19,4,2.2500000000,2.6187070833,2.4971694443
chain2,42,1,3,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,42,2,4,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,42,3,5,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,42,4,6,1,2,1,0,4,2,1,1.3333333333,1.6354633478,1.6627514257
chain2,42,5,7,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,42,6,8,3,1,0,1,5,15,4,2.0000000000,1.8312368960,1.7456210551
chain2,42,7,9,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,42,8,10,3,2,1,1,7,8,4,2.2500000000,2.1488813703,2.0785553499
chain2,42,9,11,1,3,2,1,7,3,4,2.0000000000,2.1488813703,2.2364152990
chain2,42,10,12,2,2,1,1,6,9,3,2.0000000000,2.0000000000,2.0202072359
chain2,42,11,13,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,42,12,14,2,1,1,2,6,8,3,2.0000000000,2.0000000000,2.1338144785
chain2,42,13,15,1,3,2,1,7,3,3,2.0000000000,2.1488813703,2.2364152990
chain2,42,14,16,2,2,1,1,6,9,4,2.0000000000,2.0000000000,2.0202072359
chain2,42,15,17,2,1,1,2,6,8,4,2.0000000000,2.0000000000,2.1338144785
chain2,42,16,18,2,2,1,1,6,9,3,2.0000000000,2.0000000000,2.0202072359
chain2,42,17,19,2,2,0,1,5,25,4,2.0000000000,1.8312368960,1.8218071621
chain2,42,18,20,1,2,1,1,5,10,4,1.8571428571,1.8312368960,1.9583417612
chain2,42,19,21,2,2,0,2,6,33,4,2.1250000000,2.0000000000,2.0785553499
chain2,42,20,22,1,2,1,1,5,10,3,1.8571428571,1.8312368960,1.9583417612
chain2,42,21,23,2,2,1,1,6,9,4,2.1111111111,2.0000000000,2.0202072359
chain2,42,22,24,2,1,1,2,6,8,4,2.0000000000,2.0000000000,2.1338144785
chain2,42,23,25,2,3,1,0,6,10,4,2.0000000000,2.0000000000,1.8924299483
chain2,42,24,26,3,2,0,1,6,24,4,2.2500000000,2.0000000000,1.8924299483
chain2,42,25,27,1,2,1,1,5,10,3,1.8888888889,1.8312368960,1.9583417612
chain2,43,1,3,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,43,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,43,3,5,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,43,4,6,2,1,0,0,3,8,3,1.5000000000,1.4006773518,1.2220970831
chain2,43,5,7,1,2,1,0,4,2,3,1.3333333333,1.6354633478,1.6627514257
chain2,43,6,8,1,2,1,0,4,2,2,1.3333333333,1.6354633478,1.6627514257
chain2,43,7,9,1,2,1,0,4,2,4,1.3333333333,1.6354633478,1.6627514257
chain2,43,8,10,3,1,0,0,4,7,4,2.0000000000,1.6354633478,1.3553983943
chain2,43,9,11,2,2,0,2,6,33,4,1.7500000000,2.0000000000,2.0785553499
chain2,43,10,12,2,1,0,0,3,8,3,1.5000000000,1.4006773518,1.2220970831
chain2,43,11,13,2,2,1,1,6,9,4,1.8000000000,2.0000000000,2.0202072359
chain2,43,12,14,1,2,1,0,4,2,2,1.3333333333,1.6354633478,1.6627514257
chain2,43,13,15,1,3,1,0,5,11,1,1.6666666667,1.8312368960,1.8218071621
chain2,43,14,16,2,3,2,1,8,2,4,2.0000000000,2.2824720047,2.2842970862
chain2,43,15,17,2,2,0,2,6,33,3,1.7500000000,2.0000000000,2.0785553499
chain2,43,16,18,3,2,1,1,7,8,4,2.0000000000,2.1488813703,2.0785553499
chain2,43,17,19,3,3,1,0,7,9,4,2.5000000000,2.1488813703,1.9583417612
chain2,43,18,20,2,2,1,0,5,1,4,2.0000000000,1.8312368960,1.7456210551
chain2,43,19,21,2,3,1,1,7,18,3,2.0000000000,2.1488813703,2.1338144785
chain2,43,20,22,3,2,0,1,6,24,4,2.0000000000,2.0000000000,1.8924299483
chain2,43,21,23,2,3,1,1,7,18,4,2.0000000000,2.1488813703,2.1338144785
chain2,43,22,24,2,1,0,2,5,24,3,1.5000000000,1.8312368960,1.9583417612
chain2,43,23,25,3,1,1,2,7,7,4,2.0000000000,2.1488813703,2.1863367321
chain2,43,24,26,3,4,1,1,9,26,4,2.4285714286,2.4039086666,2.2842970862
chain2,43,25,27,2,3,1,1,7,18,4,2.0000000000,2.1488813703,2.1338144785
chain2,44,1,3,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,44,2,4,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,44,3,5,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,44,4,6,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,44,5,7,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,44,6,8,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,44,7,9,3,1,0,1,5,15,4,2.0000000000,1.8312368960,1.7456210551
chain2,44,8,10,1,3,1,0,5,11,4,1.7500000000,1.8312368960,1.8218071621
chain2,44,9,11,3,0,0,1,4,6,3,1.6666666667,1.6354633478,1.5716813449
chain2,44,10,12,1,2,1,0,4,2,2,1.3333333333,1.6354633478,1.6627514257
chain2,44,11,13,1,3,0,0,4,27,3,1.5000000000,1.6354633478,1.5716813449
chain2,44,12,14,2,2,1,3,8,25,4,2.0000000000,2.2824720047,2.4167185680
chain2,44,13,15,4,0,0,1,5,5,4,2.0000000000,1.8312368960,1.6627514257
chain2,44,14,16,2,5,1,0,8,28,3,2.5000000000,2.2824720047,2.1338144785
chain2,44,15,17,2,2,1,3,8,25,4,2.0000000000,2.2824720047,2.4167185680
chain2,44,16,18,2,4,2,0,8,3,4,2.5000000000,2.2824720047,2.1863367321
chain2,44,17,19,2,3,1,2,8,26,4,2.1666666667,2.2824720047,2.3301921157
chain2,44,18,20,2,5,1,0,8,28,4,2.5000000000,2.2824720047,2.1338144785
chain2,44,19,21,2,4,2,0,8,3,4,2.5000000000,2.2824720047,2.1863367321
chain2,44,20,22,2,4,2,0,8,3,3,2.5000000000,2.2824720047,2.1863367321
chain2,44,21,23,2,2,2,3,9,9,4,2.4285714286,2.4039086666,2.5354066668
chain2,44,22,24,3,2,0,4,9,48,3,2.5714285714,2.4039086666,2.4971694443
chain2,44,23,25,1,4,0,0,5,36,2,1.7500000000,1.8312368960,1.7456210551
chain2,44,24,26,2,1,2,5,10,16,4,2.4000000000,2.5154334638,2.7423179113
chain2,44,25,27,2,3,2,1,8,2,4,2.3333333333,2.2824720047,2.2842970862
chain2,45,1,3,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,45,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,45,3,5,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,45,4,6,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,45,5,7,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,45,6,8,1,2,1,0,4,2,1,1.3333333333,1.6354633478,1.6627514257
chain2,45,7,9,3,1,0,1,5,15,4,2.0000000000,1.8312368960,1.7456210551
chain2,45,8,10,3,1,0,1,5,15,4,2.0000000000,1.8312368960,1.7456210551
chain2,45,9,11,1,2,1,0,4,2,3,1.3333333333,1.6354633478,1.6627514257
chain2,45,10,12,3,2,1,1,7,8,4,2.5000000000,2.1488813703,2.0785553499
chain2,45,11,13,3,2,1,1,7,8,4,2.5000000000,2.1488813703,2.0785553499
chain2,45,12,14,2,3,2,1,8,2,4,2.4000000000,2.2824720047,2.2842970862
chain2,45,13,15,1,3,2,1,7,3,4,2.2000000000,2.1488813703,2.2364152990
chain2,45,14,16,2,2,0,3,7,41,4,2.3333333333,2.1488813703,2.2842970862
