seed,run_seed,step_idx,n_vertices,total_parent_subsets,admitted_parent_subsets,unique_closures,admitted_unique_closures,unique_profiles,admitted_unique_profiles,mean_closure_multiplicity,max_closure_multiplicity,mean_adm_closure_multiplicity,max_adm_closure_multiplicity
sym_branch,19,16,19,5036,1520,171,73,70,30,29.4502923977,697,20.8219178082,106
sym_branch,19,17,20,6196,1520,179,73,71,30,34.6145251397,697,20.8219178082,106
sym_branch,19,18,21,7547,1693,209,80,78,32,36.1100478469,697,21.1625000000,121
sym_branch,19,19,22,9109,1884,260,90,82,33,35.0346153846,697,20.9333333333,121
sym_branch,19,20,23,10903,2327,286,108,87,36,38.1223776224,834,21.5462962963,154
sym_branch,19,21,24,12951,4312,301,117,89,38,43.0265780731,1160,36.8547008547,1160
sym_branch,19,22,25,15276,5341,419,168,99,43,36.4582338902,1160,31.7916666667,1160
sym_branch,19,23,26,17902,5341,434,168,99,43,41.2488479263,1562,31.7916666667,1160
sym_branch,19,24,27,20854,5667,456,175,99,43,45.7324561404,1562,32.3828571429,1160
sym_branch,19,25,28,24158,6345,508,201,101,44,47.5551181102,1562,31.5671641791,1160
sym_branch,20,1,4,16,5,6,2,5,2,2.6666666667,8,2.5000000000,4
sym_branch,20,2,5,31,5,8,2,6,2,3.8750000000,8,2.5000000000,4
sym_branch,20,3,6,57,9,16,3,10,3,3.5625000000,8,3.0000000000,4
sym_branch,20,4,7,99,16,32,5,14,4,3.0937500000,8,3.2000000000,4
sym_branch,20,5,8,163,22,47,8,16,6,3.4680851064,8,2.7500000000,4
sym_branch,20,6,9,256,89,62,21,23,11,4.1290322581,15,4.2380952381,11
sym_branch,20,7,10,386,197,70,25,28,14,5.5142857143,42,7.8800000000,42
sym_branch,20,8,11,562,373,76,31,33,19,7.3947368421,64,12.0322580645,64
sym_branch,20,9,12,794,429,79,32,36,20,10.0506329114,130,13.4062500000,64
sym_branch,20,10,13,1093,429,80,32,37,20,13.6625000000,299,13.4062500000,64
sym_branch,20,11,14,1471,564,87,34,41,21,16.9080459770,299,16.5882352941,79
sym_branch,20,12,15,1941,711,104,41,53,25,18.6634615385,299,17.3414634146,79
sym_branch,20,13,16,2517,1287,111,48,57,29,22.6756756757,299,26.8125000000,232
sym_branch,20,14,17,3214,1863,113,49,59,30,28.4424778761,576,38.0204081633,576
sym_branch,20,15,18,4048,2121,119,51,62,31,34.0168067227,576,41.5882352941,576
sym_branch,20,16,19,5036,2634,146,61,67,33,34.4931506849,576,43.1803278689,576
sym_branch,20,17,20,6196,2788,150,62,70,34,41.3066666667,834,44.9677419355,576
sym_branch,20,18,21,7547,3305,158,68,72,35,47.7658227848,834,48.6029411765,576
sym_branch,20,19,22,9109,4064,254,118,98,45,35.8622047244,834,34.4406779661,576
sym_branch,20,20,23,10903,4810,283,134,102,48,38.5265017668,834,35.8955223881,576
sym_branch,20,21,24,12951,5810,319,155,108,53,40.5987460815,834,37.4838709677,576
sym_branch,20,22,25,15276,7692,351,178,111,56,43.5213675214,988,43.2134831461,988
sym_branch,20,23,26,17902,9721,377,187,112,56,47.4854111406,1160,51.9839572193,1160
sym_branch,20,24,27,20854,11668,444,216,116,59,46.9684684685,1160,54.0185185185,1160
sym_branch,20,25,28,24158,12273,485,234,117,59,49.8103092784,1351,52.4487179487,1160
asym_branch,1,1,4,16,13,7,4,6,4,2.2857142857,8,3.2500000000,8
asym_branch,1,2,5,31,21,9,5,7,4,3.4444444444,8,4.2000000000,8
asym_branch,1,3,6,57,32,11,6,9,5,5.1818181818,15,5.3333333333,11
asym_branch,1,4,7,99,59,14,8,10,6,7.0714285714,16,7.3750000000,16
asym_branch,1,5,8,163,75,24,11,16,8,6.7916666667,16,6.8181818182,16
asym_branch,1,6,9,256,113,36,15,21,8,7.1111111111,16,7.5333333333,16
asym_branch,1,7,10,386,150,38,16,23,9,10.1578947368,93,9.3750000000,37
asym_branch,1,8,11,562,150,39,16,24,9,14.4102564103,176,9.3750000000,37
asym_branch,1,9,12,794,256,61,24,27,10,13.0163934426,176,10.6666666667,37
asym_branch,1,10,13,1093,256,65,24,29,10,16.8153846154,176,10.6666666667,37
asym_branch,1,11,14,1471,405,90,32,44,16,16.3444444444,176,12.6562500000,42
asym_branch,1,12,15,1941,638,122,49,55,23,15.9098360656,176,13.0204081633,46
asym_branch,1,13,16,2517,664,144,54,57,25,17.4791666667,176,12.2962962963,46
asym_branch,1,14,17,3214,958,192,76,79,39,16.7395833333,176,12.6052631579,56
asym_branch,1,15,18,4048,1451,214,91,89,47,18.9158878505,176,15.9450549451,92
asym_branch,1,16,19,5036,1890,275,123,108,55,18.3127272727,176,15.3658536585,92
asym_branch,1,17,20,6196,2353,283,130,114,60,21.8939929329,697,18.1000000000,137
asym_branch,1,18,21,7547,3098,418,193,131,67,18.0550239234,697,16.0518134715,137
asym_branch,1,19,22,9109,4660,455,230,144,80,20.0197802198,697,20.2608695652,378
asym_branch,1,20,23,10903,4892,473,232,154,82,23.0507399577,697,21.0862068966,378
asym_branch,1,21,24,12951,5124,484,234,157,84,26.7582644628,988,21.8974358974,378
asym_branch,1,22,25,15276,5356,505,236,159,84,30.2495049505,988,22.6949152542,378
asym_branch,1,23,26,17902,6647,619,299,187,101,28.9208400646,988,22.2307692308,378
asym_branch,1,24,27,20854,7227,629,304,195,105,33.1542130366,1794,23.7730263158,378
asym_branch,1,25,28,24158,7448,721,328,227,114,33.5062413315,1794,22.7073170732,378
asym_branch,2,1,4,16,13,7,4,6,4,2.2857142857,8,3.2500000000,8
asym_branch,2,2,5,31,24,14,7,9,6,2.2142857143,8,3.4285714286,8
asym_branch,2,3,6,57,24,15,7,10,6,3.8000000000,26,3.4285714286,8
asym_branch,2,4,7,99,24,17,7,11,6,5.8235294118,26,3.4285714286,8
asym_branch,2,5,8,163,56,22,9,15,7,7.4090909091,26,6.2222222222,16
asym_branch,2,6,9,256,149,24,11,17,9,10.6666666667,64,13.5454545455,64
asym_branch,2,7,10,386,242,28,13,19,9,13.7857142857,64,18.6153846154,64
asym_branch,2,8,11,562,360,44,21,26,11,12.7727272727,64,17.1428571429,64
asym_branch,2,9,12,794,416,48,23,29,13,16.5416666667,130,18.0869565217,64
asym_branch,2,10,13,1093,528,60,29,37,17,18.2166666667,130,18.2068965517,64
asym_branch,2,11,14,1471,906,64,33,41,21,22.9843750000,232,27.4545454545,232
asym_branch,2,12,15,1941,1077,70,37,42,21,27.7285714286,232,29.1081081081,232
asym_branch,2,13,16,2517,1281,96,49,55,27,26.2187500000,232,26.1428571429,232
asym_branch,2,14,17,3214,1714,110,57,61,31,29.2181818182,232,30.0701754386,232
asym_branch,2,15,18,4048,2378,139,78,72,40,29.1223021583,232,30.4871794872,232
asym_branch,2,16,19,5036,3015,195,111,83,45,25.8256410256,232,27.1621621622,232
asym_branch,2,17,20,6196,3033,199,112,87,46,31.1356783920,834,27.0803571429,232
asym_branch,2,18,21,7547,3576,264,147,96,50,28.5871212121,834,24.3265306122,232
asym_branch,2,19,22,9109,3904,308,159,112,57,29.5746753247,834,24.5534591195,232
asym_branch,2,20,23,10903,4867,445,235,129,66,24.5011235955,834,20.7106382979,232
asym_branch,2,21,24,12951,5786,569,317,143,74,22.7609841828,834,18.2523659306,232
asym_branch,2,22,25,15276,7226,710,412,155,84,21.5154929577,834,17.5388349515,232
asym_branch,2,23,26,17902,8450,857,500,171,89,20.8891481914,834,16.9000000000,232
asym_branch,2,24,27,20854,9652,1009,569,177,93,20.6679881070,834,16.9630931459,232
asym_branch,2,25,28,24158,10836,1155,635,194,98,20.9160173160,834,17.0645669291,232
asym_branch,3,1,4,16,13,7,4,6,4,2.2857142857,8,3.2500000000,8
asym_branch,3,2,5,31,13,8,4,7,4,3.8750000000,15,3.2500000000,8
asym_branch,3,3,6,57,13,12,4,10,4,4.7500000000,15,3.2500000000,8
asym_branch,3,4,7,99,13,16,4,12,4,6.1875000000,15,3.2500000000,8
asym_branch,3,5,8,163,17,28,5,16,5,5.8214285714,15,3.4000000000,8
