seed,profile,candidate_count,admitted_candidate_count,unique_closure_count,admitted_unique_closure_count
asym_branch,3|0|1|3,2117,2117,199,199
asym_branch,3|0|2|0,1396,0,166,0
asym_branch,3|0|2|1,6866,0,659,0
asym_branch,3|0|2|2,3967,0,338,0
asym_branch,3|0|2|3,1295,0,104,0
asym_branch,3|0|2|4,166,0,8,0
asym_branch,3|0|3|0,201,0,15,0
asym_branch,3|0|3|2,969,0,77,0
asym_branch,3|0|3|3,222,0,17,0
asym_branch,3|1|0|0,482,482,241,241
asym_branch,3|1|0|1,8120,8120,1061,1061
asym_branch,3|1|0|2,4709,4709,481,481
asym_branch,3|1|0|3,208,208,14,14
asym_branch,3|1|1|0,4659,0,649,0
asym_branch,3|1|1|1,12755,0,1347,0
asym_branch,3|1|1|2,15818,15818,1341,1341
asym_branch,3|1|1|3,2774,2774,177,177
asym_branch,3|1|1|4,552,552,43,43
asym_branch,3|1|2|0,13425,0,1225,0
asym_branch,3|1|2|1,13989,0,1113,0
asym_branch,3|1|2|2,7494,0,478,0
asym_branch,3|1|2|3,3358,0,229,0
asym_branch,3|1|2|4,18,18,1,1
asym_branch,3|1|3|0,3553,0,267,0
asym_branch,3|1|3|1,7090,0,468,0
asym_branch,3|1|3|2,3385,0,213,0
asym_branch,3|1|3|3,267,0,14,0
asym_branch,3|1|3|4,23,0,1,0
asym_branch,3|1|4|0,246,0,16,0
asym_branch,3|1|4|1,374,0,19,0
asym_branch,3|1|4|2,22,0,1,0
asym_branch,3|1|4|3,120,0,6,0
asym_branch,3|1|4|4,48,0,2,0
asym_branch,3|1|5|0,492,0,39,0
asym_branch,3|2|0|0,4496,4496,474,474
asym_branch,3|2|0|1,13984,13984,1280,1280
asym_branch,3|2|0|2,7111,7111,562,562
asym_branch,3|2|0|3,2456,2456,161,161
asym_branch,3|2|0|4,296,296,18,18
asym_branch,3|2|1|0,13897,0,1166,0
asym_branch,3|2|1|1,30807,30807,2326,2326
asym_branch,3|2|1|2,18685,18685,1257,1257
asym_branch,3|2|1|3,3299,3299,207,207
asym_branch,3|2|1|4,171,171,8,8
asym_branch,3|2|2|0,18966,0,1393,0
asym_branch,3|2|2|1,27262,0,1778,0
asym_branch,3|2|2|2,10446,0,664,0
asym_branch,3|2|2|3,893,893,49,49
asym_branch,3|2|2|4,18,18,1,1
asym_branch,3|2|3|0,8266,0,545,0
asym_branch,3|2|3|1,10776,0,661,0
asym_branch,3|2|3|2,2100,0,129,0
asym_branch,3|2|3|3,262,0,13,0
asym_branch,3|2|3|4,24,0,1,0
asym_branch,3|2|4|0,1090,0,61,0
asym_branch,3|2|4|1,678,0,34,0
asym_branch,3|2|4|2,186,0,9,0
asym_branch,3|2|5|0,343,0,17,0
asym_branch,3|2|6|0,44,0,2,0
asym_branch,3|3|0|0,4642,4642,418,418
asym_branch,3|3|0|1,8481,8481,616,616
asym_branch,3|3|0|2,6464,6464,418,418
asym_branch,3|3|0|3,760,760,47,47
asym_branch,3|3|0|4,171,171,9,9
asym_branch,3|3|1|0,12860,12860,930,930
asym_branch,3|3|1|1,22524,22524,1437,1437
asym_branch,3|3|1|2,9107,9107,574,574
asym_branch,3|3|1|3,1284,1284,83,83
asym_branch,3|3|2|0,10488,0,683,0
asym_branch,3|3|2|1,14074,14074,885,885
asym_branch,3|3|2|2,4778,4778,280,280
asym_branch,3|3|2|3,299,299,15,15
asym_branch,3|3|3|0,4077,0,239,0
asym_branch,3|3|3|1,2927,0,160,0
asym_branch,3|3|3|2,655,0,33,0
asym_branch,3|3|3|3,109,109,5,5
asym_branch,3|3|4|0,816,0,44,0
asym_branch,3|3|4|1,579,0,28,0
asym_branch,3|3|4|2,54,0,3,0
asym_branch,3|3|5|0,138,0,6,0
asym_branch,3|3|5|1,22,0,1,0
asym_branch,3|4|0|0,1371,1371,102,102
asym_branch,3|4|0|1,2333,2333,152,152
asym_branch,3|4|0|2,1596,1596,91,91
asym_branch,3|4|0|3,455,455,26,26
asym_branch,3|4|1|0,2960,2960,186,186
asym_branch,3|4|1|1,5140,5140,311,311
asym_branch,3|4|1|2,1719,1719,102,102
asym_branch,3|4|1|3,84,84,4,4
asym_branch,3|4|2|0,3321,3321,190,190
asym_branch,3|4|2|1,2046,2046,109,109
asym_branch,3|4|2|2,732,732,36,36
asym_branch,3|4|2|3,21,21,1,1
asym_branch,3|4|3|0,979,0,53,0
asym_branch,3|4|3|1,245,0,13,0
asym_branch,3|4|3|2,126,126,6,6
asym_branch,3|4|4|0,216,0,10,0
asym_branch,3|5|0|0,452,452,28,28
asym_branch,3|5|0|1,181,181,9,9
asym_branch,3|5|0|2,656,656,35,35
asym_branch,3|5|1|0,1039,1039,56,56
asym_branch,3|5|1|1,195,195,10,10
asym_branch,3|5|1|2,102,102,5,5
asym_branch,3|5|2|0,220,220,11,11
asym_branch,3|5|2|1,176,176,8,8
asym_branch,3|5|2|2,68,68,3,3
asym_branch,3|5|3|0,176,0,8,0
asym_branch,3|5|3|1,22,22,1,1
asym_branch,3|5|4|0,22,0,1,0
asym_branch,3|6|0|0,36,36,2,2
asym_branch,3|6|0|1,154,154,8,8
asym_branch,3|6|1|0,80,80,4,4
asym_branch,3|6|1|2,69,69,3,3
asym_branch,3|6|3|0,25,25,1,1
asym_branch,3|6|3|1,23,23,1,1
asym_branch,3|7|0|1,42,42,2,2
asym_branch,3|7|2|0,25,25,1,1
asym_branch,4|0|0|0,187,0,187,0
asym_branch,4|0|0|1,517,517,517,517
asym_branch,4|0|0|2,155,155,155,155
asym_branch,4|0|0|3,9,9,9,9
asym_branch,4|0|1|0,517,0,517,0
asym_branch,4|0|1|1,808,0,808,0
asym_branch,4|0|1|2,566,0,566,0
asym_branch,4|0|1|3,83,83,83,83
asym_branch,4|0|1|5,3,3,3,3
asym_branch,4|0|2|0,287,0,287,0
asym_branch,4|0|2|1,704,0,704,0
asym_branch,4|0|2|2,178,0,178,0
asym_branch,4|0|2|3,58,0,58,0
asym_branch,4|0|2|4,37,0,37,0
asym_branch,4|0|3|0,79,0,79,0
asym_branch,4|0|3|1,108,0,108,0
asym_branch,4|0|3|2,92,0,92,0
asym_branch,4|0|3|3,5,0,5,0
asym_branch,4|0|4|0,22,0,22,0
