mode,family_semantics,severity,threshold_fraction,support_width,samples,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,primary_signal_semantics,guardrail_semantics,anchoring_status,support_overlap,frontier_overlap,orientation_overlap,ledger_overlap,causal_past_overlap,bdg_kernel_overlap,firewall_overlap,concrete_support_overlap_v1_5,concrete_frontier_overlap_v1_5,concrete_orientation_link_overlap_v1_5,concrete_ledger_overlap_v1_5,concrete_causal_past_overlap_v1_5,concrete_bdg_kernel_overlap_v1_5,concrete_firewall_overlap_v1_5,graphs_sampled
ledger_failure,at_least_k,0.0,1.0,4,440,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6555555555555556,0.11111111111111112,0.18105820105820106,0.812063492063492,0.6555555555555556,0.7961904761904762,0.24296296296296296,5
ledger_failure,at_least_k,0.25,0.25,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5666666666666667,0.06666666666666667,0.13203703703703704,0.6998941798941798,0.5666666666666667,0.7291005291005291,0.16370370370370368,5
ledger_failure,at_least_k,0.25,0.25,2,430,0.435563,0.435563,0.134884,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.7388888888888889,0.15555555555555553,0.20174122174122172,0.8705467372134038,0.7388888888888889,0.8467724867724866,0.3122222222222223,5
ledger_failure,at_least_k,0.25,0.25,3,476,0.423733,0.423733,0.136555,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298,0.6603703703703704,0.07777777777777777,0.17826038159371493,0.7961111111111111,0.6603703703703704,0.7715167548500881,0.18666666666666668,5
ledger_failure,at_least_k,0.25,0.25,4,440,0.420024,0.420024,0.168182,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683,0.6596296296296297,0.17407407407407408,0.16109988776655443,0.8214814814814815,0.6596296296296297,0.7754769921436588,0.2546031746031746,5
ledger_failure,at_least_k,0.25,0.5,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7518518518518519,0.26296296296296295,0.21471941638608305,0.8392592592592593,0.7518518518518519,0.8838189588189588,0.3066137566137566,5
ledger_failure,at_least_k,0.25,0.5,2,430,0.435563,0.435563,0.134884,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.7518518518518519,0.34074074074074073,0.2080415263748597,0.831111111111111,0.7518518518518519,0.8827172827172827,0.36878306878306877,5
ledger_failure,at_least_k,0.25,0.5,3,476,0.565849,0.565849,0.086134,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274,0.6274074074074074,0.0,0.16352413019079687,0.7054320987654321,0.6274074074074074,0.7444973544973544,0.16666666666666666,5
ledger_failure,at_least_k,0.25,0.5,4,440,0.508639,0.508639,0.104545,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466,0.8200000000000001,0.28888888888888886,0.23774151774151778,0.9070987654320988,0.8200000000000001,0.889992414992415,0.34656084656084657,5
ledger_failure,at_least_k,0.25,0.75,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7822222222222223,0.22592592592592592,0.2300304633637967,0.8914021164021164,0.7822222222222223,0.8776879910213242,0.2768253968253968,5
ledger_failure,at_least_k,0.25,0.75,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5637037037037037,0.0,0.12475869809203144,0.6688888888888889,0.5637037037037037,0.6626455026455027,0.15,5
ledger_failure,at_least_k,0.25,0.75,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8103703703703704,0.37037037037037035,0.25589786756453425,0.924074074074074,0.8103703703703704,0.9396825396825396,0.25925925925925924,5
ledger_failure,at_least_k,0.25,0.75,4,440,0.649869,0.649869,0.075,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005,0.6496296296296297,0.03333333333333333,0.16581369248035915,0.7749206349206349,0.6496296296296297,0.7486243386243385,0.11666666666666665,5
ledger_failure,at_least_k,0.25,1.0,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8097354497354499,0.2,0.23153522403522403,0.946058201058201,0.8097354497354499,0.891494308160975,0.32587301587301587,5
ledger_failure,at_least_k,0.25,1.0,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6288888888888889,0.22222222222222224,0.14356440219185318,0.7050793650793651,0.6288888888888889,0.7872960372960373,0.34285714285714286,5
