seed,steps,nodes,edges,motifs,conflict_rate,defect_rate,orientation_defect_rate,conflict_witness_defect_rate,use_orientation_conflicts,selector_mode,selector_tie_policy,max_support_width,max_depth_span,sites,total_strict_committed,total_strict_blocked,total_selector_committed,total_selector_rejected,total_selector_stalemates,total_unsupported,total_orientation_failures,mean_support_width,last_site
11,24,25,31,25,0.0,0.1,0.12,0.25,True,greedy,stalemate,,,24,285,0,285,0,0,39,39,1.0,24
17,24,25,32,25,0.0,0.1,0.12,0.25,True,greedy,stalemate,,,24,321,0,321,0,0,3,3,1.0,24
11,24,25,34,45,0.3,0.0,0.0,0.0,True,greedy,stalemate,,,24,324,232,324,0,232,0,0,1.0,24
17,24,25,31,35,0.3,0.0,0.0,0.0,True,greedy,stalemate,,,24,324,128,324,0,128,0,0,1.0,24
11,24,25,34,45,0.3,0.0,0.0,0.25,True,greedy,stalemate,,,24,414,124,414,0,124,0,0,1.0,24
17,24,25,31,41,0.3,0.0,0.0,0.25,True,greedy,stalemate,,,24,498,30,498,0,30,0,0,1.0,24
11,24,25,31,37,0.3,0.0,0.12,0.0,True,greedy,stalemate,,,24,293,116,293,0,116,61,61,1.0,24
17,24,25,28,37,0.3,0.0,0.12,0.0,True,greedy,stalemate,,,24,358,54,358,0,54,34,34,1.0,24
11,24,25,31,37,0.3,0.0,0.12,0.25,True,greedy,stalemate,,,24,411,108,411,0,108,13,13,1.0,24
17,24,25,28,41,0.3,0.0,0.12,0.25,True,greedy,stalemate,,,24,409,32,409,0,32,37,37,1.0,24
11,24,25,32,35,0.3,0.1,0.0,0.0,True,greedy,stalemate,,,24,267,108,267,0,108,57,0,1.0,24
17,24,25,28,37,0.3,0.1,0.0,0.0,True,greedy,stalemate,,,24,358,54,358,0,54,34,0,1.0,24
11,24,25,31,37,0.3,0.1,0.0,0.25,True,greedy,stalemate,,,24,411,108,411,0,108,13,0,1.0,24
17,24,25,28,41,0.3,0.1,0.0,0.25,True,greedy,stalemate,,,24,409,32,409,0,32,37,0,1.0,24
11,24,25,29,43,0.3,0.1,0.12,0.0,True,greedy,stalemate,,,24,321,164,321,0,164,107,45,1.0,24
17,24,25,28,47,0.3,0.1,0.12,0.0,True,greedy,stalemate,,,24,351,74,351,0,74,165,86,1.0,24
11,24,25,28,51,0.3,0.1,0.12,0.25,True,greedy,stalemate,,,24,456,148,456,0,148,140,97,1.0,24
17,24,25,33,41,0.3,0.1,0.12,0.25,True,greedy,stalemate,,,24,358,40,358,0,40,140,68,1.0,24
