model,t_s,delta_phi_rad,negativity,concurrence
semiclassical,1.150000e+00,0.000000e+00,1.016833e-16,4.918317e-22
semiclassical,1.200000e+00,0.000000e+00,1.014866e-16,3.760333e-23
semiclassical,1.250000e+00,0.000000e+00,1.015847e-16,2.708736e-26
semiclassical,1.300000e+00,0.000000e+00,1.015487e-16,2.726074e-22
semiclassical,1.350000e+00,0.000000e+00,1.017100e-16,1.424805e-33
semiclassical,1.400000e+00,0.000000e+00,1.014943e-16,9.546849e-23
semiclassical,1.450000e+00,0.000000e+00,1.015171e-16,2.251177e-26
semiclassical,1.500000e+00,0.000000e+00,1.016221e-16,3.841010e-24
semiclassical,1.550000e+00,0.000000e+00,1.022501e-16,3.900504e-26
semiclassical,1.600000e+00,0.000000e+00,1.017442e-16,0.000000e+00
semiclassical,1.650000e+00,0.000000e+00,1.018938e-16,0.000000e+00
semiclassical,1.700000e+00,0.000000e+00,1.016407e-16,1.119872e-34
semiclassical,1.750000e+00,0.000000e+00,1.016716e-16,5.492713e-22
semiclassical,1.800000e+00,0.000000e+00,8.032966e-19,4.927077e-21
semiclassical,1.850000e+00,0.000000e+00,1.023048e-16,8.815767e-22
semiclassical,1.900000e+00,0.000000e+00,6.282787e-19,7.466198e-22
semiclassical,1.950000e+00,0.000000e+00,3.488998e-21,3.284093e-21
semiclassical,2.000000e+00,0.000000e+00,1.017367e-16,4.702297e-22
semiclassical,2.050000e+00,0.000000e+00,6.356223e-20,1.311661e-21
semiclassical,2.100000e+00,0.000000e+00,1.018689e-16,4.978529e-22
semiclassical,2.150000e+00,0.000000e+00,1.014841e-16,1.440527e-23
semiclassical,2.200000e+00,0.000000e+00,6.156682e-21,3.684059e-21
semiclassical,2.250000e+00,0.000000e+00,8.843024e-19,3.678298e-21
semiclassical,2.300000e+00,0.000000e+00,6.787167e-19,3.414523e-22
semiclassical,2.350000e+00,0.000000e+00,1.020950e-16,6.491419e-26
semiclassical,2.400000e+00,0.000000e+00,1.015130e-16,6.974863e-27
semiclassical,2.450000e+00,0.000000e+00,1.015038e-16,1.231921e-22
semiclassical,2.500000e+00,0.000000e+00,1.014917e-16,1.055900e-22
RA,0.000000e+00,0.000000e+00,1.014840e-16,0.000000e+00
RA,5.000000e-02,0.000000e+00,1.014840e-16,0.000000e+00
RA,1.000000e-01,0.000000e+00,1.014841e-16,8.271355e-24
RA,1.500000e-01,0.000000e+00,3.311595e-24,3.267528e-23
RA,2.000000e-01,0.000000e+00,1.014867e-16,0.000000e+00
RA,2.500000e-01,0.000000e+00,1.355690e-20,1.232729e-22
RA,3.000000e-01,0.000000e+00,5.008298e-21,4.277378e-21
RA,3.500000e-01,0.000000e+00,1.014904e-16,8.200302e-23
RA,4.000000e-01,0.000000e+00,1.280449e-20,4.363374e-21
RA,4.500000e-01,0.000000e+00,1.015389e-16,8.586190e-27
RA,5.000000e-01,0.000000e+00,1.015241e-16,8.804950e-27
RA,5.500000e-01,0.000000e+00,1.014841e-16,9.138230e-24
RA,6.000000e-01,0.000000e+00,1.015264e-16,1.343194e-22
RA,6.500000e-01,0.000000e+00,1.015219e-16,0.000000e+00
RA,7.000000e-01,0.000000e+00,1.015168e-16,1.946250e-22
RA,7.500000e-01,0.000000e+00,1.015306e-16,1.524485e-22
RA,8.000000e-01,0.000000e+00,1.015157e-16,1.999438e-22
RA,8.500000e-01,0.000000e+00,2.526764e-21,4.487471e-21
RA,9.000000e-01,0.000000e+00,1.014948e-16,8.473259e-23
RA,9.500000e-01,0.000000e+00,1.016065e-16,2.302434e-26
RA,1.000000e+00,0.000000e+00,2.831703e-21,1.787171e-22
RA,1.050000e+00,0.000000e+00,1.014971e-16,9.340076e-23
RA,1.100000e+00,0.000000e+00,1.016872e-16,2.018759e-26
RA,1.150000e+00,0.000000e+00,1.016783e-16,5.796058e-22
RA,1.200000e+00,0.000000e+00,1.015032e-16,1.458406e-22
RA,1.250000e+00,0.000000e+00,6.439060e-20,5.402201e-21
RA,1.300000e+00,0.000000e+00,1.888384e-20,5.365351e-22
RA,1.350000e+00,0.000000e+00,8.062947e-20,9.332204e-22
RA,1.400000e+00,0.000000e+00,1.014870e-16,4.578014e-23
RA,1.450000e+00,0.000000e+00,1.016385e-16,3.742936e-22
RA,1.500000e+00,0.000000e+00,1.015609e-16,1.245208e-26
RA,1.550000e+00,0.000000e+00,1.014855e-16,8.057088e-28
RA,1.600000e+00,0.000000e+00,1.554127e-19,2.860884e-22
RA,1.650000e+00,0.000000e+00,1.016005e-16,1.628122e-26
RA,1.700000e+00,0.000000e+00,1.015162e-16,9.260664e-35
RA,1.750000e+00,0.000000e+00,1.357370e-19,1.464001e-22
RA,1.800000e+00,0.000000e+00,4.065113e-20,3.757287e-21
RA,1.850000e+00,0.000000e+00,1.014840e-16,1.159861e-29
RA,1.900000e+00,0.000000e+00,4.548591e-19,3.546552e-21
RA,1.950000e+00,0.000000e+00,1.015060e-16,1.348345e-22
RA,2.000000e+00,0.000000e+00,1.018277e-16,6.117627e-22
RA,2.050000e+00,0.000000e+00,1.020374e-16,8.592618e-22
RA,2.100000e+00,0.000000e+00,1.020860e-16,5.838792e-22
RA,2.150000e+00,0.000000e+00,1.022655e-16,5.487853e-22
RA,2.200000e+00,0.000000e+00,1.022050e-16,8.243941e-22
RA,2.250000e+00,0.000000e+00,1.017436e-16,3.232063e-22
RA,2.300000e+00,0.000000e+00,8.157169e-20,6.685852e-22
RA,2.350000e+00,0.000000e+00,1.015116e-16,1.094516e-22
RA,2.400000e+00,0.000000e+00,7.462803e-19,2.483926e-21
RA,2.450000e+00,0.000000e+00,9.924824e-23,1.906851e-22
RA,2.500000e+00,0.000000e+00,3.223143e-19,1.740032e-21
