mode,family_semantics,severity,threshold_fraction,support_width,samples,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,primary_signal_semantics,guardrail_semantics,anchoring_status,support_overlap,frontier_overlap,orientation_overlap,ledger_overlap,causal_past_overlap,bdg_kernel_overlap,firewall_overlap,native_orientation_link_overlap,native_orientation_link_bin,native_orientation_link_count,native_orientation_link_tokens,support_frontier_overlap,support_frontier_bin,legacy_orientation_triplet_diff,native_orientation_support_abs_diff,orientation_surface_origin,native_orientation_adjusted_rescue_rate,native_orientation_specific_sensitivity_proxy,native_ledger_specific_sensitivity_proxy
ledger_failure,at_least_k,0.0,0.75,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47257461750094476,medium,7,RA_CausalOrientation_Core::asymmetric_branch_replica_depth2_profile;RA_CausalOrientation_Core::chain_escape_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_D1_NativeLedgerOrientation::depth2_ledger_preserved_symmetric,1.0,high,0.0,0.5274253824990552,native_lean_theorem_catalog_surface,0.0,0.07911380737485828,0.0
ledger_failure,at_least_k,0.0,0.75,4,440,0.649869,0.649869,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005,0.49198079565915287,medium,7,RA_CausalOrientation_Core::asymmetric_branch_extensions_classified;RA_CausalOrientation_Core::asymmetric_branch_replica_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_D1_NativeLedgerOrientation::unique_symmetric_stable_endpoint,0.6,medium,0.0,0.10801920434084711,native_lean_theorem_catalog_surface,0.004480440000000001,0.07620288065112707,0.22402200000000005
ledger_failure,at_least_k,0.0,1.0,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29231505091466803,low,5,RA_CausalOrientation_Core::chain_escape_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered,1.0,high,0.0,0.707684949085332,native_lean_theorem_catalog_surface,0.0,0.1061527423627998,0.0
ledger_failure,at_least_k,0.0,1.0,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5611476684271874,medium,6,RA_CausalOrientation_Core::asymmetric_branch_replica_depth2_profile;RA_CausalOrientation_Core::chain_escape_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered,1.0,high,0.0,0.43885233157281256,native_lean_theorem_catalog_surface,0.0,0.06582784973592189,0.0
ledger_failure,at_least_k,0.0,1.0,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3789658065763102,medium,6,RA_CausalOrientation_Core::asymmetric_branch_extensions_classified;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_D1_NativeLedgerOrientation::unique_symmetric_stable_endpoint,1.0,high,0.0,0.6210341934236898,native_lean_theorem_catalog_surface,0.0,0.09315512901355347,0.0
ledger_failure,at_least_k,0.0,1.0,4,440,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6669206611709446,high,8,RA_CausalOrientation_Core::asymmetric_branch_extensions_classified;RA_CausalOrientation_Core::asymmetric_branch_replica_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_D1_NativeLedgerOrientation::depth2_ledger_values;RA_D1_NativeLedgerOrientation::orientation_asymmetry,1.0,high,0.0,0.3330793388290554,native_lean_theorem_catalog_surface,0.0,0.04996190082435831,0.0
ledger_failure,at_least_k,0.25,0.25,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5660685184550314,medium,6,RA_CausalOrientation_Core::asymmetric_branch_replica_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_D1_NativeLedgerOrientation::depth2_ledger_preserved_symmetric,1.0,high,0.0,0.43393148154496863,native_lean_theorem_catalog_surface,0.0,0.06508972223174529,0.0
ledger_failure,at_least_k,0.25,0.25,2,430,0.435563,0.435563,0.134884,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.3820636589372289,medium,5,RA_CausalOrientation_Core::asymmetric_branch_extensions_classified;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered,0.333333,low,0.0,0.04873065893722889,native_lean_theorem_catalog_surface,0.04202172,0.09269045115941567,0.35018099999999996
ledger_failure,at_least_k,0.25,0.25,3,476,0.423733,0.423733,0.136555,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298,0.5892815376737751,medium,6,RA_CausalOrientation_Core::asymmetric_branch_extensions_classified;RA_CausalOrientation_Core::asymmetric_branch_replica_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered,0.333333,low,0.0,0.2559485376737751,native_lean_theorem_catalog_surface,0.04571652,0.06160776934893373,0.38097099999999995
ledger_failure,at_least_k,0.25,0.25,4,440,0.420024,0.420024,0.168182,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683,0.6079733053699412,medium,7,RA_CausalOrientation_Core::asymmetric_branch_replica_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_D1_NativeLedgerOrientation::depth2_ledger_preserved_symmetric;RA_D1_NativeLedgerOrientation::depth2_ledger_values,0.333333,low,0.0,0.2746403053699412,native_lean_theorem_catalog_surface,0.04628184,0.05880400419450882,0.38568199999999997
