config_id,source,keying,mode,family_semantics,orientation_bin,support_width,family_size,rows,bin_rows,fraction
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,medium,2,1,792,10800,0.07333333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,medium,2,3,66,10800,0.006111111111111111
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,medium,3,1,858,10800,0.07944444444444444
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,medium,3,4,1337,10800,0.1237962962962963
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,medium,4,5,1891,10800,0.1750925925925926
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,high,2,3,1631,10800,0.15101851851851852
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,high,3,4,2142,10800,0.19833333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,high,3,7,1262,10800,0.11685185185185185
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,high,4,5,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,high,4,11,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,high,4,15,1805,10800,0.16712962962962963
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,low,1,1,8373,10800,0.7752777777777777
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,low,2,1,1143,10800,0.10583333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,low,3,1,1284,10800,0.11888888888888889
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,medium,1,1,5856,10800,0.5422222222222223
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,medium,2,1,792,10800,0.07333333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,medium,2,3,2239,10800,0.2073148148148148
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,medium,3,1,858,10800,0.07944444444444444
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,medium,3,7,880,10800,0.08148148148148149
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,at_least_k,medium,4,15,175,10800,0.016203703703703703
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,high,2,3,3819,10800,0.3536111111111111
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,high,3,4,2940,10800,0.2722222222222222
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,high,4,5,2061,10800,0.19083333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,high,4,7,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,low,1,1,8373,10800,0.7752777777777777
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,low,2,1,1143,10800,0.10583333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,low,3,1,1284,10800,0.11888888888888889
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,medium,1,1,5856,10800,0.5422222222222223
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,medium,2,1,792,10800,0.07333333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,medium,2,3,51,10800,0.004722222222222222
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,medium,3,1,858,10800,0.07944444444444444
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,medium,3,4,1344,10800,0.12444444444444444
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,medium,4,5,1899,10800,0.17583333333333334
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,high,2,3,1614,10800,0.14944444444444444
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,high,3,4,2142,10800,0.19833333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,high,3,7,1283,10800,0.1187962962962963
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,high,4,5,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,high,4,11,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,high,4,15,1801,10800,0.16675925925925925
