config_id,source,keying,surface,mode,family_semantics,threshold_fraction,support_width,family_size,rows,orientation_bins,low_rows,high_rows,estimable_low_high,medium_rows,mean_orientation_overlap
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.25,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.25,2,3,1935,high;medium,0,833,False,1102,0.2782589599127066
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.25,3,7,2142,high;medium,0,1264,False,878,0.2861519050736908
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.25,4,15,1980,high;medium,0,1770,False,210,0.2911578946992782
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.5,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.5,2,3,1935,high;medium,0,831,False,1104,0.2791883272245029
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.5,3,4,2142,high,0,2142,False,0,0.41049806232407715
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.5,4,11,1980,high,0,1980,False,0,0.3704079616268526
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.75,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.75,2,1,1935,low;medium,1143,0,False,792,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.75,3,1,2142,low;medium,1284,0,False,858,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,at_least_k,0.75,4,5,1980,high,0,1980,False,0,0.5050264312338674
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.25,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.25,2,3,1935,high;medium,0,1903,False,32,0.27979820160698715
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.25,3,4,2142,high;medium,0,805,False,1337,0.1792862404286464
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.25,4,5,1980,high;medium,0,89,False,1891,0.1344242821255615
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.5,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.5,2,3,1935,high;medium,0,1901,False,34,0.27812213339345115
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.5,3,4,2142,high,0,2142,False,0,0.4103795141475966
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.5,4,7,1980,high,0,1980,False,0,0.29387021676295405
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.75,1,1,4743,low;medium,2791,0,False,1952,0.0
