config_id,source,keying,mode,family_semantics,threshold_fraction,orientation_bins,estimable_joint_fraction,recommendation
outputs,v1_7_matched_graph_keyed_trials,incidence_role_signed,selector_stress,augmented_exact_k,0.25,high;low;medium,0.0,rebalance_width_family_bins_or_sampler
outputs,v1_7_matched_graph_keyed_trials,incidence_role_signed,selector_stress,augmented_exact_k,0.5,high;low;medium,0.0,rebalance_width_family_bins_or_sampler
outputs,v1_7_matched_graph_keyed_trials,incidence_role_signed,selector_stress,augmented_exact_k,0.75,high;low;medium,0.0,rebalance_width_family_bins_or_sampler
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,ledger_failure,at_least_k,0.25,high;low;medium,0.5,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,ledger_failure,at_least_k,0.5,high;low;medium,0.75,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,ledger_failure,at_least_k,0.75,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,ledger_failure,augmented_exact_k,0.25,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,ledger_failure,augmented_exact_k,0.5,high;low;medium,0.75,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,ledger_failure,augmented_exact_k,0.75,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,orientation_degradation,at_least_k,0.25,high;low;medium,0.5,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,orientation_degradation,at_least_k,0.5,high;low;medium,0.75,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,orientation_degradation,at_least_k,0.75,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,orientation_degradation,augmented_exact_k,0.25,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,orientation_degradation,augmented_exact_k,0.5,high;low;medium,0.75,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,orientation_degradation,augmented_exact_k,0.75,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,selector_stress,at_least_k,0.25,high;low;medium,0.5,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,selector_stress,at_least_k,0.5,high;low;medium,0.75,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,selector_stress,at_least_k,0.75,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,selector_stress,augmented_exact_k,0.25,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,selector_stress,augmented_exact_k,0.5,high;low;medium,0.75,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,member_indexed_edge_pair,selector_stress,augmented_exact_k,0.75,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,ledger_failure,at_least_k,0.25,high;low;medium,0.5,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,ledger_failure,at_least_k,0.5,high;low;medium,0.5,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,ledger_failure,at_least_k,0.75,high;low;medium,0.25,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,ledger_failure,augmented_exact_k,0.25,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,ledger_failure,augmented_exact_k,0.5,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,ledger_failure,augmented_exact_k,0.75,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
