native_certification_regime,mode,family_semantics,severity,threshold_fraction,native_overlap_bin,overlap_weight_profile,samples,support_width_count,mean_support_width,mean_family_size,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,strict_parent_loss_rate,comparison_valid_rate,metric_artifact_risk_rate,mean_apples_to_apples_loss_delta
native_overlap_induced,ledger_failure,at_least_k,1.0,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.0,0.0,1.0,1.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,at_least_k,1.0,1.0,high,balanced,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.0,0.25,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.0,0.25,low,balanced,896,2,3.491071,4.491071,0.250781,0.250781,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.0,0.25,medium,balanced,450,2,2.044444,3.044444,0.432663,0.432663,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.0,0.5,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.0,0.5,medium,balanced,1346,3,3.007429,4.661218,0.476695,0.476695,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.0,0.75,high,balanced,2004,4,1.755489,1.087824,0.992851,0.992851,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.0,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.0,1.0,high,balanced,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.25,0.25,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.837761,0.162239,0.162239,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.25,0.25,low,balanced,896,2,3.491071,4.491071,0.250781,0.250781,0.191964,0.940848,0.059152,0.251116,1.0,0.0,-0.191964
native_overlap_induced,ledger_failure,augmented_exact_k,0.25,0.25,medium,balanced,450,2,2.044444,3.044444,0.432663,0.432663,0.142222,0.906667,0.093333,0.235556,1.0,0.0,-0.142222
native_overlap_induced,ledger_failure,augmented_exact_k,0.25,0.5,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.837761,0.162239,0.162239,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.25,0.5,medium,balanced,1346,3,3.007429,4.661218,0.476695,0.476695,0.121842,0.889302,0.110698,0.232541,1.0,0.0,-0.121842
native_overlap_induced,ledger_failure,augmented_exact_k,0.25,0.75,high,balanced,2004,4,1.755489,1.087824,0.992851,0.992851,0.001996,0.780439,0.219561,0.221557,1.0,0.0,-0.001996
native_overlap_induced,ledger_failure,augmented_exact_k,0.25,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.073232,0.830808,0.169192,0.242424,1.0,0.0,-0.073232
native_overlap_induced,ledger_failure,augmented_exact_k,0.25,1.0,high,balanced,2400,4,2.125833,1.0,1.0,1.0,0.0,0.769583,0.230417,0.230417,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.5,0.25,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.287476,0.712524,0.712524,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.5,0.25,low,balanced,896,2,3.491071,4.491071,0.250781,0.250781,0.33817,0.845982,0.154018,0.492188,1.0,0.0,-0.33817
native_overlap_induced,ledger_failure,augmented_exact_k,0.5,0.25,medium,balanced,450,2,2.044444,3.044444,0.432663,0.432663,0.262222,0.742222,0.257778,0.52,1.0,0.0,-0.262222
native_overlap_induced,ledger_failure,augmented_exact_k,0.5,0.5,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.287476,0.712524,0.712524,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.5,0.5,medium,balanced,1346,3,3.007429,4.661218,0.476695,0.476695,0.238484,0.731798,0.268202,0.506686,1.0,0.0,-0.238484
native_overlap_induced,ledger_failure,augmented_exact_k,0.5,0.75,high,balanced,2004,4,1.755489,1.087824,0.992851,0.992851,0.003493,0.408184,0.591816,0.595309,1.0,0.0,-0.003493
native_overlap_induced,ledger_failure,augmented_exact_k,0.5,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.174242,0.669192,0.330808,0.505051,1.0,0.0,-0.174242
native_overlap_induced,ledger_failure,augmented_exact_k,0.5,1.0,high,balanced,2400,4,2.125833,1.0,1.0,1.0,0.0,0.423333,0.576667,0.576667,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.75,0.25,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.379507,0.620493,0.620493,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.75,0.25,low,balanced,896,2,3.491071,4.491071,0.250781,0.250781,0.342634,0.610491,0.389509,0.732143,1.0,0.0,-0.342634
native_overlap_induced,ledger_failure,augmented_exact_k,0.75,0.25,medium,balanced,450,2,2.044444,3.044444,0.432663,0.432663,0.171111,0.411111,0.588889,0.76,1.0,0.0,-0.171111
native_overlap_induced,ledger_failure,augmented_exact_k,0.75,0.5,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.379507,0.620493,0.620493,1.0,0.0,0.0
native_overlap_induced,ledger_failure,augmented_exact_k,0.75,0.5,medium,balanced,1346,3,3.007429,4.661218,0.476695,0.476695,0.22734,0.451709,0.548291,0.775632,1.0,0.0,-0.22734
native_overlap_induced,ledger_failure,augmented_exact_k,0.75,0.75,high,balanced,2004,4,1.755489,1.087824,0.992851,0.992851,0.003493,0.326347,0.673653,0.677146,1.0,0.0,-0.003493
native_overlap_induced,ledger_failure,augmented_exact_k,0.75,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.14899,0.401515,0.598485,0.747475,1.0,0.0,-0.14899
native_overlap_induced,ledger_failure,augmented_exact_k,0.75,1.0,high,balanced,2400,4,2.125833,1.0,1.0,1.0,0.0,0.29,0.71,0.71,1.0,0.0,0.0
