run_seed,evaluations,support_width_classes,overlap_bins,mean_induced_certificate_correlation,certification_rescue_rate,family_certification_resilience_rate
79,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.790882,0.017917,0.249792
80,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.788737,0.018958,0.244792
81,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.842934,0.014792,0.240417
82,4800,"[1, 2, 3]","[""high"", ""low"", ""medium""]",0.812173,0.017083,0.26125
83,4800,"[1, 3, 4]","[""high"", ""low"", ""medium""]",0.814886,0.01625,0.248542
84,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.82902,0.016875,0.254583
85,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.817276,0.015,0.244583
86,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.824054,0.01125,0.251667
87,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.81131,0.018958,0.247292
88,4800,"[1, 3, 4]","[""high"", ""low"", ""medium""]",0.857789,0.016042,0.253542
89,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.81884,0.015417,0.259792
90,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.809406,0.017292,0.2575
91,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.802256,0.018542,0.255625
92,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.819577,0.015833,0.250833
93,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.811664,0.016875,0.259375
94,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.833082,0.018958,0.247917
95,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.83556,0.022292,0.24625
96,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.823638,0.018542,0.244167
97,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.840866,0.014583,0.2275
98,4800,"[1, 3, 4]","[""high"", ""low"", ""medium""]",0.847512,0.015208,0.240208
99,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.828555,0.017083,0.255625
100,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.775798,0.020625,0.259583
101,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.818952,0.02,0.253333
102,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.8291,0.016042,0.247917
103,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.811366,0.015208,0.246042
104,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.821129,0.017917,0.257708
105,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.843674,0.0125,0.242708
106,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.79685,0.019583,0.252708
107,4800,"[1, 2, 3]","[""high"", ""low"", ""medium""]",0.906699,0.005,0.238125
108,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.805024,0.02,0.253542
109,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.860464,0.012292,0.248542
110,4800,"[1, 2, 3]","[""high"", ""low"", ""medium""]",0.909971,0.007083,0.236458
111,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.800281,0.022708,0.260625
112,4800,"[1, 3, 4]","[""high"", ""low"", ""medium""]",0.856653,0.012708,0.25125
113,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.845894,0.016667,0.239792
114,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.819894,0.016042,0.260625
115,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.839786,0.013542,0.235417
116,4800,"[1, 2, 3, 4]","[""high"", ""low"", ""medium""]",0.832132,0.013958,0.243333
