row_id,mode,family_semantics,severity,threshold_fraction,support_width,family_size,samples,support_overlap,frontier_overlap,legacy_orientation_overlap,support_frontier_overlap,per_graph_orientation_link_overlap,per_graph_orientation_link_bin,support_frontier_bin,certification_rescue_rate,per_graph_orientation_adjusted_rescue_rate,orientation_overlap_source
30,ledger_failure,at_least_k,0.25,1.0,3,10,476,1.0,1.0,1.0,1.0,0.19009065009065004,low,high,0.0,0.048594560994561,per_graph_member_witness_tokens
31,ledger_failure,at_least_k,0.25,1.0,4,10,440,1.0,1.0,1.0,1.0,0.19951159951159944,low,high,0.0,0.048029304029304026,per_graph_member_witness_tokens
32,ledger_failure,at_least_k,0.5,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.35846560846560843,medium,high,0.0,0.05132275132275133,per_graph_member_witness_tokens
33,ledger_failure,at_least_k,0.5,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.38359788359788355,medium,low,0.25814,0.04931216931216932,per_graph_member_witness_tokens
34,ledger_failure,at_least_k,0.5,0.25,3,10,476,0.333333,0.333333,0.333333,0.333333,0.21119929453262784,low,low,0.287815,0.06310405643738977,per_graph_member_witness_tokens
35,ledger_failure,at_least_k,0.5,0.25,4,10,440,0.333333,0.333333,0.333333,0.333333,0.1706349206349206,low,low,0.272727,0.06634920634920635,per_graph_member_witness_tokens
36,ledger_failure,at_least_k,0.5,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.37910052910052905,medium,high,0.0,0.04967195767195768,per_graph_member_witness_tokens
37,ledger_failure,at_least_k,0.5,0.5,2,10,430,0.333333,0.333333,0.333333,0.333333,0.35978835978835977,medium,low,0.25814,0.051216931216931216,per_graph_member_witness_tokens
38,ledger_failure,at_least_k,0.5,0.5,3,10,476,0.5,0.5,0.5,0.5,0.23501683501683499,low,medium,0.168067,0.061198653198653204,per_graph_member_witness_tokens
39,ledger_failure,at_least_k,0.5,0.5,4,10,440,0.436364,0.436364,0.436364,0.436364,0.1806060606060606,low,medium,0.243182,0.06555151515151515,per_graph_member_witness_tokens
40,ledger_failure,at_least_k,0.5,0.75,1,10,1054,1.0,1.0,1.0,1.0,0.3650793650793651,medium,high,0.0,0.050793650793650794,per_graph_member_witness_tokens
41,ledger_failure,at_least_k,0.5,0.75,2,10,430,1.0,1.0,1.0,1.0,0.38756613756613756,medium,high,0.0,0.048994708994708994,per_graph_member_witness_tokens
42,ledger_failure,at_least_k,0.5,0.75,3,10,476,1.0,1.0,1.0,1.0,0.22603643270309937,low,high,0.0,0.061917085383752055,per_graph_member_witness_tokens
43,ledger_failure,at_least_k,0.5,0.75,4,10,440,0.6,0.6,0.6,0.6,0.19821289821289814,low,medium,0.172727,0.06414296814296815,per_graph_member_witness_tokens
44,ledger_failure,at_least_k,0.5,1.0,1,10,1054,1.0,1.0,1.0,1.0,0.36772486772486773,medium,high,0.0,0.05058201058201059,per_graph_member_witness_tokens
45,ledger_failure,at_least_k,0.5,1.0,2,10,430,1.0,1.0,1.0,1.0,0.37962962962962976,medium,high,0.0,0.04962962962962962,per_graph_member_witness_tokens
46,ledger_failure,at_least_k,0.5,1.0,3,10,476,1.0,1.0,1.0,1.0,0.1979590779590779,low,high,0.0,0.06416327376327377,per_graph_member_witness_tokens
47,ledger_failure,at_least_k,0.5,1.0,4,10,440,1.0,1.0,1.0,1.0,0.20504680504680503,low,high,0.0,0.06359625559625559,per_graph_member_witness_tokens
48,ledger_failure,at_least_k,0.75,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.37645502645502654,medium,high,0.0,0.062354497354497336,per_graph_member_witness_tokens
49,ledger_failure,at_least_k,0.75,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.4113756613756614,medium,low,0.162791,0.058862433862433866,per_graph_member_witness_tokens
50,ledger_failure,at_least_k,0.75,0.25,3,10,476,0.333333,0.333333,0.333333,0.333333,0.20105820105820102,low,low,0.384454,0.07989417989417989,per_graph_member_witness_tokens
51,ledger_failure,at_least_k,0.75,0.25,4,10,440,0.333333,0.333333,0.333333,0.333333,0.18694885361552024,low,low,0.438636,0.08130511463844797,per_graph_member_witness_tokens
52,ledger_failure,at_least_k,0.75,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.3611111111111111,medium,high,0.0,0.06388888888888888,per_graph_member_witness_tokens
53,ledger_failure,at_least_k,0.75,0.5,2,10,430,0.333333,0.333333,0.333333,0.333333,0.36904761904761896,medium,low,0.162791,0.06309523809523811,per_graph_member_witness_tokens
54,ledger_failure,at_least_k,0.75,0.5,3,10,476,0.5,0.5,0.5,0.5,0.19589225589225592,low,medium,0.180672,0.0804107744107744,per_graph_member_witness_tokens
55,ledger_failure,at_least_k,0.75,0.5,4,10,440,0.436364,0.436364,0.436364,0.436364,0.18781144781144782,low,medium,0.397727,0.08121885521885522,per_graph_member_witness_tokens
56,ledger_failure,at_least_k,0.75,0.75,1,10,1054,1.0,1.0,1.0,1.0,0.36322751322751323,medium,high,0.0,0.06367724867724868,per_graph_member_witness_tokens
57,ledger_failure,at_least_k,0.75,0.75,2,10,430,1.0,1.0,1.0,1.0,0.37301587301587297,medium,high,0.0,0.0626984126984127,per_graph_member_witness_tokens
58,ledger_failure,at_least_k,0.75,0.75,3,10,476,1.0,1.0,1.0,1.0,0.185014245014245,low,high,0.0,0.0814985754985755,per_graph_member_witness_tokens
59,ledger_failure,at_least_k,0.75,0.75,4,10,440,0.6,0.6,0.6,0.6,0.1913597513597513,low,medium,0.15,0.08086402486402487,per_graph_member_witness_tokens
60,ledger_failure,at_least_k,0.75,1.0,1,10,1054,1.0,1.0,1.0,1.0,0.3703703703703703,medium,high,0.0,0.06296296296296298,per_graph_member_witness_tokens
61,ledger_failure,at_least_k,0.75,1.0,2,10,430,1.0,1.0,1.0,1.0,0.36507936507936506,medium,high,0.0,0.06349206349206349,per_graph_member_witness_tokens
62,ledger_failure,at_least_k,0.75,1.0,3,10,476,1.0,1.0,1.0,1.0,0.20507813174479841,low,high,0.0,0.07949218682552016,per_graph_member_witness_tokens
63,ledger_failure,at_least_k,0.75,1.0,4,10,440,1.0,1.0,1.0,1.0,0.18238502238502236,low,high,0.0,0.08176149776149777,per_graph_member_witness_tokens
64,ledger_failure,at_least_k,1.0,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.3822751322751322,medium,high,0.0,0.07412698412698414,per_graph_member_witness_tokens
65,ledger_failure,at_least_k,1.0,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.35978835978835977,medium,low,0.0,0.07682539682539682,per_graph_member_witness_tokens
66,ledger_failure,at_least_k,1.0,0.25,3,10,476,0.333333,0.333333,0.333333,0.333333,0.23456790123456786,low,low,0.0,0.09185185185185187,per_graph_member_witness_tokens
67,ledger_failure,at_least_k,1.0,0.25,4,10,440,0.333333,0.333333,0.333333,0.333333,0.2032627865961199,low,low,0.0,0.09560846560846561,per_graph_member_witness_tokens
68,ledger_failure,at_least_k,1.0,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.3518518518518519,medium,high,0.0,0.07777777777777778,per_graph_member_witness_tokens
69,ledger_failure,at_least_k,1.0,0.5,2,10,430,0.333333,0.333333,0.333333,0.333333,0.37301587301587297,medium,low,0.0,0.07523809523809524,per_graph_member_witness_tokens
70,ledger_failure,at_least_k,1.0,0.5,3,10,476,0.5,0.5,0.5,0.5,0.18383838383838386,low,medium,0.0,0.09793939393939394,per_graph_member_witness_tokens
71,ledger_failure,at_least_k,1.0,0.5,4,10,440,0.436364,0.436364,0.436364,0.436364,0.16983164983164983,low,medium,0.0,0.09962020202020201,per_graph_member_witness_tokens
72,ledger_failure,at_least_k,1.0,0.75,1,10,1054,1.0,1.0,1.0,1.0,0.38095238095238093,medium,high,0.0,0.07428571428571429,per_graph_member_witness_tokens
73,ledger_failure,at_least_k,1.0,0.75,2,10,430,1.0,1.0,1.0,1.0,0.3637566137566137,medium,high,0.0,0.07634920634920636,per_graph_member_witness_tokens
74,ledger_failure,at_least_k,1.0,0.75,3,10,476,1.0,1.0,1.0,1.0,0.1913960113960114,low,high,0.0,0.09703247863247864,per_graph_member_witness_tokens
75,ledger_failure,at_least_k,1.0,0.75,4,10,440,0.6,0.6,0.6,0.6,0.1735198135198135,low,medium,0.0,0.0991776223776224,per_graph_member_witness_tokens
76,ledger_failure,at_least_k,1.0,1.0,1,10,1054,1.0,1.0,1.0,1.0,0.38492063492063494,medium,high,0.0,0.07380952380952382,per_graph_member_witness_tokens
77,ledger_failure,at_least_k,1.0,1.0,2,10,430,1.0,1.0,1.0,1.0,0.39232804232804225,medium,high,0.0,0.07292063492063494,per_graph_member_witness_tokens
78,ledger_failure,at_least_k,1.0,1.0,3,10,476,1.0,1.0,1.0,1.0,0.19056203056203053,low,high,0.0,0.09713255633255634,per_graph_member_witness_tokens
