mode,family_semantics,severity,threshold_fraction,support_width,samples,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,primary_signal_semantics,guardrail_semantics,anchoring_status,support_overlap,frontier_overlap,orientation_overlap,ledger_overlap,causal_past_overlap,bdg_kernel_overlap,firewall_overlap,orientation_link_overlap,orientation_link_bin,support_frontier_overlap,support_frontier_bin,orientation_link_count_proxy,old_orientation_triplet_diff,orientation_surface_status,orientation_surface_adjusted_rescue_rate,orientation_specific_sensitivity_proxy,ledger_specific_sensitivity_proxy
ledger_failure,at_least_k,0.25,0.25,3,476,0.423733,0.423733,0.136555,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298,0.3384259959593111,medium,0.333333,low,1,0.0,distinct_orientation_link_surface,0.047621374999999994,0.09923610060610333,0.38097099999999995
ledger_failure,at_least_k,0.25,0.25,4,440,0.420024,0.420024,0.168182,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683,0.7194785600396139,high,0.333333,low,3,0.0,distinct_orientation_link_surface,0.048210249999999996,0.04207821599405792,0.38568199999999997
ledger_failure,at_least_k,0.25,0.5,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714978550928409,medium,1.0,high,6,0.0,distinct_orientation_link_surface,0.0,0.06427532173607386,0.0
ledger_failure,at_least_k,0.25,0.5,2,430,0.435563,0.435563,0.134884,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.23435777547088749,low,0.333333,low,2,0.0,distinct_orientation_link_surface,0.043772624999999996,0.11484633367936688,0.35018099999999996
ledger_failure,at_least_k,0.25,0.5,3,476,0.565849,0.565849,0.086134,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274,0.40753457966787243,medium,0.5,medium,6,0.0,distinct_orientation_link_surface,0.03541725,0.08886981304981913,0.283338
ledger_failure,at_least_k,0.25,0.5,4,440,0.508639,0.508639,0.104545,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466,0.6315364771656329,medium,0.436364,medium,2,0.0,distinct_orientation_link_surface,0.040193999999999994,0.05526952842515507,0.32155199999999995
ledger_failure,at_least_k,0.25,0.75,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6784380113967814,high,1.0,high,2,0.0,distinct_orientation_link_surface,0.0,0.04823429829048279,0.0
ledger_failure,at_least_k,0.25,0.75,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7054719140530343,high,1.0,high,6,0.0,distinct_orientation_link_surface,0.0,0.04417921289204485,0.0
ledger_failure,at_least_k,0.25,0.75,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45653442881253176,medium,1.0,high,6,0.0,distinct_orientation_link_surface,0.0,0.08151983567812024,0.0
ledger_failure,at_least_k,0.25,0.75,4,440,0.649869,0.649869,0.075,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005,0.36795545289149023,medium,0.6,medium,5,0.0,distinct_orientation_link_surface,0.028002750000000007,0.09480668206627646,0.22402200000000005
ledger_failure,at_least_k,0.25,1.0,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.588487947193082,medium,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.061726807921037706,0.0
ledger_failure,at_least_k,0.25,1.0,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8187790164197413,high,1.0,high,2,0.0,distinct_orientation_link_surface,0.0,0.02718314753703881,0.0
ledger_failure,at_least_k,0.25,1.0,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3029336917943847,low,1.0,high,6,0.0,distinct_orientation_link_surface,0.0,0.10455994623084229,0.0
ledger_failure,at_least_k,0.25,1.0,4,440,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7080183546518868,high,1.0,high,4,0.0,distinct_orientation_link_surface,0.0,0.04379724680221698,0.0
ledger_failure,at_least_k,0.5,0.25,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19150556772023142,low,1.0,high,2,0.0,distinct_orientation_link_surface,0.0,0.12127416484196528,0.0
ledger_failure,at_least_k,0.5,0.25,2,430,0.435563,0.435563,0.25814,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.24890575845310864,low,0.333333,low,7,0.0,distinct_orientation_link_surface,0.08054162999999999,0.1126641362320337,0.35018099999999996
ledger_failure,at_least_k,0.5,0.25,3,476,0.423733,0.423733,0.287815,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298,0.2320513498076503,low,0.333333,low,5,0.0,distinct_orientation_link_surface,0.08762332999999999,0.11519229752885245,0.38097099999999995
ledger_failure,at_least_k,0.5,0.25,4,440,0.420024,0.420024,0.272727,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683,0.6643562333569852,medium,0.333333,low,7,0.0,distinct_orientation_link_surface,0.08870685999999998,0.050346564996452216,0.38568199999999997
ledger_failure,at_least_k,0.5,0.5,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3536587539393866,medium,1.0,high,3,0.0,distinct_orientation_link_surface,0.0,0.096951186909092,0.0
ledger_failure,at_least_k,0.5,0.5,2,430,0.435563,0.435563,0.25814,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.5349642484604764,medium,0.333333,low,4,0.0,distinct_orientation_link_surface,0.08054162999999999,0.06975536273092854,0.35018099999999996
ledger_failure,at_least_k,0.5,0.5,3,476,0.565849,0.565849,0.168067,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274,0.26373122267734195,low,0.5,medium,3,0.0,distinct_orientation_link_surface,0.06516773999999999,0.1104403165983987,0.283338
ledger_failure,at_least_k,0.5,0.5,4,440,0.508639,0.508639,0.243182,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466,0.530734160903342,medium,0.436364,medium,5,0.0,distinct_orientation_link_surface,0.07395695999999999,0.0703898758644987,0.32155199999999995
ledger_failure,at_least_k,0.5,0.75,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26733949307258525,low,1.0,high,7,0.0,distinct_orientation_link_surface,0.0,0.10989907603911221,0.0
ledger_failure,at_least_k,0.5,0.75,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.798331071203221,high,1.0,high,6,0.0,distinct_orientation_link_surface,0.0,0.030250339319516848,0.0
ledger_failure,at_least_k,0.5,0.75,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6971926467007341,high,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.045421102994889884,0.0
ledger_failure,at_least_k,0.5,0.75,4,440,0.649869,0.649869,0.172727,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005,0.45927102090197686,medium,0.6,medium,7,0.0,distinct_orientation_link_surface,0.05152506000000001,0.08110934686470347,0.22402200000000005
ledger_failure,at_least_k,0.5,1.0,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78622000802958,high,1.0,high,7,0.0,distinct_orientation_link_surface,0.0,0.032066998795563,0.0
ledger_failure,at_least_k,0.5,1.0,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.520004452692626,medium,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.07199933209610611,0.0
ledger_failure,at_least_k,0.5,1.0,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8259335779528358,high,1.0,high,6,0.0,distinct_orientation_link_surface,0.0,0.026109963307074623,0.0
