motif,site,mode,severity,seed,support_width,before_supported,before_ready,before_strict_commits,before_selected_commits,after_supported,after_ready,after_strict_commits,after_selected_commits,lost_support,lost_readiness,lost_strict_commit,lost_selected_commit,finality_depth_before,finality_depth_after,finality_depth_shift,recovery_length,intervention_detail,run_seed,nodes,edges,motifs,target_count
renewal_6,6,frontier_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,5,5,0,0,dropped_support_vertices=[],34,17,24,29,12
renewal_5,5,frontier_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,4,4,0,0,dropped_support_vertices=[],34,17,24,29,12
renewal_4,4,frontier_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,3,3,0,0,dropped_support_vertices=[],34,17,24,29,12
renewal_3,3,frontier_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,2,2,0,0,dropped_support_vertices=[],34,17,24,29,12
renewal_2,2,frontier_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,1,1,0,0,dropped_support_vertices=[],34,17,24,29,12
renewal_1,1,frontier_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,0,0,0,0,dropped_support_vertices=[],34,17,24,29,12
renewal_12,12,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,11,,,0,"removed_edges=[(6, 7), (0, 5), (1, 2), (0, 3), (11, 12), (2, 9), (1, 4), (2, 3), (5, 10), (0, 1), (4, 5), (5, 6), (10, 11), (8, 9), (9, 10), (3, 4), (7, 8)]",34,17,24,29,12
renewal_11,11,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,10,,,0,"removed_edges=[(1, 2), (5, 6), (0, 5), (9, 10), (3, 4), (2, 9), (4, 5), (5, 10), (7, 8), (0, 1), (0, 3), (6, 7), (1, 4), (10, 11), (2, 3), (8, 9)]",34,17,24,29,12
renewal_10,10,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,9,,,0,"removed_edges=[(0, 1), (0, 3), (7, 8), (6, 7), (2, 9), (1, 4), (0, 5), (2, 3), (5, 10), (5, 6), (4, 5), (3, 4), (1, 2), (8, 9), (9, 10)]",34,17,24,29,12
renewal_9,9,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,8,,,0,"removed_edges=[(7, 8), (6, 7), (0, 1), (0, 3), (8, 9), (3, 4), (1, 2), (1, 4), (0, 5), (2, 9), (2, 3), (5, 6), (4, 5)]",34,17,24,29,12
renewal_8,8,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,7,,,0,"removed_edges=[(2, 3), (6, 7), (3, 4), (0, 1), (1, 4), (1, 2), (4, 5), (5, 6), (7, 8), (0, 3), (0, 5)]",34,17,24,29,12
renewal_7,7,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,6,,,0,"removed_edges=[(0, 1), (6, 7), (0, 5), (1, 2), (2, 3), (5, 6), (4, 5), (1, 4), (3, 4), (0, 3)]",34,17,24,29,12
renewal_6,6,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,5,4,-1,0,"removed_edges=[(2, 3), (5, 6), (0, 3), (0, 1), (0, 5), (1, 2), (4, 5), (1, 4), (3, 4)]",34,17,24,29,12
renewal_5,5,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,4,,,0,"removed_edges=[(1, 2), (0, 3), (1, 4), (0, 5), (4, 5), (0, 1), (2, 3), (3, 4)]",34,17,24,29,12
renewal_4,4,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,3,,,0,"removed_edges=[(1, 4), (1, 2), (2, 3), (3, 4), (0, 1), (0, 3)]",34,17,24,29,12
renewal_3,3,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,2,6,4,0,"removed_edges=[(1, 2), (0, 1), (2, 3), (0, 3)]",34,17,24,29,12
renewal_2,2,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,1,2,1,0,"removed_edges=[(1, 2), (0, 1)]",34,17,24,29,12
renewal_1,1,edge_dropout,1.0,101,1,True,True,True,True,False,False,False,False,True,True,True,True,0,2,2,0,"removed_edges=[(0, 1)]",34,17,24,29,12
renewal_12,12,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,11,,,0,"removed_edges=[(7, 8), (11, 12), (5, 6), (9, 10), (10, 11), (2, 3), (2, 9), (5, 10), (6, 7), (0, 5), (0, 3), (0, 1), (3, 4)]",34,17,24,29,12
renewal_11,11,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,10,,,0,"removed_edges=[(1, 2), (2, 3), (0, 5), (9, 10), (1, 4), (5, 6), (6, 7), (3, 4), (5, 10), (7, 8), (10, 11), (8, 9)]",34,17,24,29,12
renewal_10,10,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,9,,,0,"removed_edges=[(1, 4), (5, 6), (8, 9), (7, 8), (3, 4), (1, 2), (9, 10), (5, 10), (0, 5), (2, 9), (2, 3)]",34,17,24,29,12
renewal_9,9,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,8,2,-6,0,"removed_edges=[(6, 7), (7, 8), (0, 3), (5, 6), (0, 5), (1, 2), (2, 3), (4, 5), (3, 4), (0, 1)]",34,17,24,29,12
renewal_8,8,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,7,,,0,"removed_edges=[(5, 6), (7, 8), (6, 7), (3, 4), (0, 1), (0, 5), (1, 2), (2, 3)]",34,17,24,29,12
renewal_7,7,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,6,2,-4,0,"removed_edges=[(0, 5), (2, 3), (3, 4), (1, 4), (0, 3), (5, 6), (4, 5), (0, 1)]",34,17,24,29,12
renewal_6,6,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,5,4,-1,0,"removed_edges=[(2, 3), (0, 1), (0, 5), (4, 5), (1, 2), (5, 6), (0, 3)]",34,17,24,29,12
renewal_5,5,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,4,2,-2,0,"removed_edges=[(1, 4), (0, 5), (0, 1), (3, 4), (0, 3), (1, 2)]",34,17,24,29,12
renewal_4,4,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,3,,,,"removed_edges=[(1, 2), (3, 4), (2, 3), (0, 3)]",34,17,24,29,12
renewal_3,3,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,2,7,5,6,"removed_edges=[(1, 2), (2, 3), (0, 1)]",34,17,24,29,12
renewal_2,2,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,1,2,1,0,"removed_edges=[(0, 1), (1, 2)]",34,17,24,29,12
renewal_1,1,edge_dropout,0.75,101,1,True,True,True,True,False,False,False,False,True,True,True,True,0,2,2,0,"removed_edges=[(0, 1)]",34,17,24,29,12
renewal_12,12,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,11,,,0,"removed_edges=[(2, 3), (8, 9), (10, 11), (0, 3), (11, 12), (7, 8), (1, 4), (2, 9)]",34,17,24,29,12
renewal_11,11,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,10,,,3,"removed_edges=[(0, 3), (2, 3), (0, 5), (9, 10), (0, 1), (8, 9), (10, 11), (5, 6)]",34,17,24,29,12
renewal_10,10,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,9,5,-4,0,"removed_edges=[(0, 5), (3, 4), (7, 8), (2, 9), (1, 2), (8, 9), (2, 3), (0, 1)]",34,17,24,29,12
renewal_9,9,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,8,2,-6,0,"removed_edges=[(2, 3), (0, 1), (3, 4), (1, 2), (5, 6), (1, 4)]",34,17,24,29,12
renewal_8,8,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,7,,,1,"removed_edges=[(5, 6), (1, 4), (4, 5), (0, 5), (7, 8), (3, 4)]",34,17,24,29,12
renewal_7,7,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,6,,,2,"removed_edges=[(6, 7), (2, 3), (4, 5), (0, 1), (1, 2)]",34,17,24,29,12
renewal_6,6,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,5,4,-1,1,"removed_edges=[(3, 4), (2, 3), (1, 4), (5, 6)]",34,17,24,29,12
renewal_5,5,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,4,,,0,"removed_edges=[(4, 5), (2, 3), (0, 3), (1, 4)]",34,17,24,29,12
renewal_4,4,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,3,2,-1,0,"removed_edges=[(0, 3), (0, 1), (2, 3)]",34,17,24,29,12
renewal_3,3,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,2,7,5,0,"removed_edges=[(0, 1), (2, 3)]",34,17,24,29,12
renewal_2,2,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,1,2,1,1,"removed_edges=[(1, 2)]",34,17,24,29,12
renewal_1,1,edge_dropout,0.5,101,1,True,True,True,True,False,False,False,False,True,True,True,True,0,2,2,0,"removed_edges=[(0, 1)]",34,17,24,29,12
renewal_12,12,edge_dropout,0.25,101,1,True,True,True,True,False,False,False,False,True,True,True,True,11,,,0,"removed_edges=[(4, 5), (9, 10), (11, 12), (10, 11)]",34,17,24,29,12
renewal_11,11,edge_dropout,0.25,101,1,True,True,True,True,False,False,False,False,True,True,True,True,10,8,-2,8,"removed_edges=[(0, 3), (10, 11), (0, 5), (2, 3)]",34,17,24,29,12
renewal_10,10,edge_dropout,0.25,101,1,True,True,True,True,False,False,False,False,True,True,True,True,9,4,-5,0,"removed_edges=[(5, 10), (1, 2), (7, 8), (4, 5)]",34,17,24,29,12
renewal_9,9,edge_dropout,0.25,101,1,True,True,True,True,False,False,False,False,True,True,True,True,8,,,0,"removed_edges=[(8, 9), (4, 5), (0, 5)]",34,17,24,29,12
renewal_8,8,edge_dropout,0.25,101,1,True,True,True,True,False,False,False,False,True,True,True,True,7,5,-2,0,"removed_edges=[(1, 2), (2, 3), (6, 7)]",34,17,24,29,12
renewal_7,7,edge_dropout,0.25,101,1,True,True,True,True,False,False,False,False,True,True,True,True,6,4,-2,0,"removed_edges=[(1, 2), (2, 3)]",34,17,24,29,12
