mode,severity,threshold_fraction,samples,mean_support_width,support_width_count,mean_family_size,strict_readiness_loss_rate,family_readiness_loss_rate,strict_survival_rate,family_survival_rate,family_rescue_rate,mean_family_recovery_length,mean_strict_recovery_length,mean_uncertified_cut_count,mean_unavailable_support_count
ledger_failure,0.25,0.5,2400,2.125833,4,2.4925,0.439167,0.439167,0.560833,0.560833,0.0,0.0,0.0,1.183333,0.0
ledger_failure,0.25,0.75,2400,2.125833,4,1.55,0.816667,0.816667,0.183333,0.183333,0.0,0.0,0.0,1.0,0.0
ledger_failure,0.25,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
ledger_failure,0.5,0.25,2400,2.125833,4,2.125833,0.439167,0.439167,0.560833,0.560833,0.0,0.0,0.0,1.381667,0.0
ledger_failure,0.5,0.5,2400,2.125833,4,2.4925,0.439167,0.439167,0.560833,0.560833,0.0,0.0,0.0,1.565,0.0
ledger_failure,0.5,0.75,2400,2.125833,4,1.55,0.816667,0.816667,0.183333,0.183333,0.0,0.0,0.0,1.183333,0.0
ledger_failure,0.5,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
ledger_failure,0.75,0.25,2400,2.125833,4,2.125833,0.439167,0.816667,0.560833,0.183333,0.0,0.0,0.0,1.9425,0.0
ledger_failure,0.75,0.5,2400,2.125833,4,2.4925,0.439167,0.816667,0.560833,0.183333,0.0,0.0,0.0,2.309167,0.0
ledger_failure,0.75,0.75,2400,2.125833,4,1.55,0.816667,0.816667,0.183333,0.183333,0.0,0.0,0.0,1.366667,0.0
ledger_failure,0.75,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
ledger_failure,1.0,0.25,2400,2.125833,4,2.125833,0.439167,1.0,0.560833,0.0,0.0,,0.0,2.125833,0.0
ledger_failure,1.0,0.5,2400,2.125833,4,2.4925,0.439167,1.0,0.560833,0.0,0.0,,0.0,2.4925,0.0
ledger_failure,1.0,0.75,2400,2.125833,4,1.55,0.816667,1.0,0.183333,0.0,0.0,,0.0,1.55,0.0
ledger_failure,1.0,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
orientation_degradation,0.0,0.25,2400,2.125833,4,2.125833,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.0,0.5,2400,2.125833,4,2.4925,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.0,0.75,2400,2.125833,4,1.55,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.0,1.0,2400,2.125833,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.25,0.25,2400,2.125833,4,2.125833,0.439167,0.439167,0.560833,0.560833,0.0,0.0,0.0,1.0,0.0
orientation_degradation,0.25,0.5,2400,2.125833,4,2.4925,0.439167,0.439167,0.560833,0.560833,0.0,0.0,0.0,1.183333,0.0
orientation_degradation,0.25,0.75,2400,2.125833,4,1.55,0.816667,0.816667,0.183333,0.183333,0.0,0.0,0.0,1.0,0.0
orientation_degradation,0.25,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
orientation_degradation,0.5,0.25,2400,2.125833,4,2.125833,0.439167,0.439167,0.560833,0.560833,0.0,0.0,0.0,1.381667,0.0
orientation_degradation,0.5,0.5,2400,2.125833,4,2.4925,0.439167,0.439167,0.560833,0.560833,0.0,0.0,0.0,1.565,0.0
orientation_degradation,0.5,0.75,2400,2.125833,4,1.55,0.816667,0.816667,0.183333,0.183333,0.0,0.0,0.0,1.183333,0.0
orientation_degradation,0.5,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
orientation_degradation,0.75,0.25,2400,2.125833,4,2.125833,0.439167,0.816667,0.560833,0.183333,0.0,0.0,0.0,1.9425,0.0
orientation_degradation,0.75,0.5,2400,2.125833,4,2.4925,0.439167,0.816667,0.560833,0.183333,0.0,0.0,0.0,2.309167,0.0
orientation_degradation,0.75,0.75,2400,2.125833,4,1.55,0.816667,0.816667,0.183333,0.183333,0.0,0.0,0.0,1.366667,0.0
orientation_degradation,0.75,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
orientation_degradation,1.0,0.25,2400,2.125833,4,2.125833,0.439167,1.0,0.560833,0.0,0.0,,0.0,2.125833,0.0
orientation_degradation,1.0,0.5,2400,2.125833,4,2.4925,0.439167,1.0,0.560833,0.0,0.0,,0.0,2.4925,0.0
orientation_degradation,1.0,0.75,2400,2.125833,4,1.55,0.816667,1.0,0.183333,0.0,0.0,,0.0,1.55,0.0
orientation_degradation,1.0,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
selector_stress,0.0,0.25,2400,2.125833,4,2.125833,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.0,0.5,2400,2.125833,4,2.4925,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.0,0.75,2400,2.125833,4,1.55,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.0,1.0,2400,2.125833,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.25,0.25,2400,2.125833,4,2.125833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.25,0.5,2400,2.125833,4,2.4925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.25,0.75,2400,2.125833,4,1.55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.25,1.0,2400,2.125833,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.5,0.25,2400,2.125833,4,2.125833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.5,0.5,2400,2.125833,4,2.4925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.5,0.75,2400,2.125833,4,1.55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.5,1.0,2400,2.125833,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.75,0.25,2400,2.125833,4,2.125833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.75,0.5,2400,2.125833,4,2.4925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.75,0.75,2400,2.125833,4,1.55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.75,1.0,2400,2.125833,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,1.0,0.25,2400,2.125833,4,2.125833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,1.0,0.5,2400,2.125833,4,2.4925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,1.0,0.75,2400,2.125833,4,1.55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
selector_stress,1.0,1.0,2400,2.125833,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.0,0.25,2400,2.125833,4,2.125833,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.0,0.5,2400,2.125833,4,2.4925,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.0,0.75,2400,2.125833,4,1.55,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.0,1.0,2400,2.125833,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.25,0.25,2400,2.125833,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,1.0
support_delay,0.25,0.5,2400,2.125833,4,2.4925,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,1.0
support_delay,0.25,0.75,2400,2.125833,4,1.55,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,1.0
support_delay,0.25,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,1.0
support_delay,0.5,0.25,2400,2.125833,4,2.125833,1.0,1.0,0.0,0.0,0.0,2.0,,0.0,1.381667
support_delay,0.5,0.5,2400,2.125833,4,2.4925,1.0,1.0,0.0,0.0,0.0,2.0,,0.0,1.381667
support_delay,0.5,0.75,2400,2.125833,4,1.55,1.0,1.0,0.0,0.0,0.0,,,0.0,1.381667
support_delay,0.5,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,1.381667
support_delay,0.75,0.25,2400,2.125833,4,2.125833,1.0,1.0,0.0,0.0,0.0,4.0,,0.0,1.9425
support_delay,0.75,0.5,2400,2.125833,4,2.4925,1.0,1.0,0.0,0.0,0.0,,,0.0,1.9425
support_delay,0.75,0.75,2400,2.125833,4,1.55,1.0,1.0,0.0,0.0,0.0,,,0.0,1.9425
support_delay,0.75,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,1.9425
support_delay,1.0,0.25,2400,2.125833,4,2.125833,1.0,1.0,0.0,0.0,0.0,,,0.0,2.125833
support_delay,1.0,0.5,2400,2.125833,4,2.4925,1.0,1.0,0.0,0.0,0.0,,,0.0,2.125833
support_delay,1.0,0.75,2400,2.125833,4,1.55,1.0,1.0,0.0,0.0,0.0,,,0.0,2.125833
support_delay,1.0,1.0,2400,2.125833,4,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,2.125833
