mode,severity,threshold_fraction,support_width,samples,strict_readiness_loss_rate,family_readiness_loss_rate,family_rescue_rate,mean_family_size,mean_family_recovery_length
edge_dropout,1.0,1.0,1,1054,1.0,1.0,0.0,1.0,0.0
edge_dropout,1.0,1.0,2,430,1.0,1.0,0.0,1.0,3.0
edge_dropout,1.0,1.0,3,476,1.0,1.0,0.0,1.0,4.0
edge_dropout,1.0,1.0,4,440,1.0,1.0,0.0,1.0,
frontier_dropout,0.0,0.25,1,1054,0.0,0.0,0.0,1.0,0.0
frontier_dropout,0.0,0.25,2,430,0.0,0.0,0.0,2.0,0.0
frontier_dropout,0.0,0.25,3,476,0.0,0.0,0.0,3.0,0.0
frontier_dropout,0.0,0.25,4,440,0.0,0.0,0.0,4.0,0.0
frontier_dropout,0.0,0.5,1,1054,0.0,0.0,0.0,1.0,0.0
frontier_dropout,0.0,0.5,2,430,0.0,0.0,0.0,2.0,0.0
frontier_dropout,0.0,0.5,3,476,0.0,0.0,0.0,3.0,0.0
frontier_dropout,0.0,0.5,4,440,0.0,0.0,0.0,6.0,0.0
frontier_dropout,0.0,0.75,1,1054,0.0,0.0,0.0,1.0,0.0
frontier_dropout,0.0,0.75,2,430,0.0,0.0,0.0,1.0,0.0
frontier_dropout,0.0,0.75,3,476,0.0,0.0,0.0,1.0,0.0
frontier_dropout,0.0,0.75,4,440,0.0,0.0,0.0,4.0,0.0
frontier_dropout,0.0,1.0,1,1054,0.0,0.0,0.0,1.0,0.0
frontier_dropout,0.0,1.0,2,430,0.0,0.0,0.0,1.0,0.0
frontier_dropout,0.0,1.0,3,476,0.0,0.0,0.0,1.0,0.0
frontier_dropout,0.0,1.0,4,440,0.0,0.0,0.0,1.0,0.0
frontier_dropout,0.25,0.25,1,1054,1.0,1.0,0.0,1.0,
frontier_dropout,0.25,0.25,2,430,1.0,0.0,1.0,2.0,0.0
frontier_dropout,0.25,0.25,3,476,1.0,0.0,1.0,3.0,0.0
frontier_dropout,0.25,0.25,4,440,1.0,0.0,1.0,4.0,0.0
frontier_dropout,0.25,0.5,1,1054,1.0,1.0,0.0,1.0,
frontier_dropout,0.25,0.5,2,430,1.0,0.0,1.0,2.0,0.0
frontier_dropout,0.25,0.5,3,476,1.0,0.0,1.0,3.0,0.0
frontier_dropout,0.25,0.5,4,440,1.0,0.0,1.0,6.0,0.0
frontier_dropout,0.25,0.75,1,1054,1.0,1.0,0.0,1.0,
frontier_dropout,0.25,0.75,2,430,1.0,1.0,0.0,1.0,
frontier_dropout,0.25,0.75,3,476,1.0,1.0,0.0,1.0,
frontier_dropout,0.25,0.75,4,440,1.0,0.0,1.0,4.0,0.0
frontier_dropout,0.25,1.0,1,1054,1.0,1.0,0.0,1.0,
frontier_dropout,0.25,1.0,2,430,1.0,1.0,0.0,1.0,
frontier_dropout,0.25,1.0,3,476,1.0,1.0,0.0,1.0,
frontier_dropout,0.25,1.0,4,440,1.0,1.0,0.0,1.0,
frontier_dropout,0.5,0.25,1,1054,1.0,1.0,0.0,1.0,
frontier_dropout,0.5,0.25,2,430,1.0,0.0,1.0,2.0,0.0
frontier_dropout,0.5,0.25,3,476,1.0,0.0,1.0,3.0,0.0
frontier_dropout,0.5,0.25,4,440,1.0,0.0,1.0,4.0,0.0
frontier_dropout,0.5,0.5,1,1054,1.0,1.0,0.0,1.0,
frontier_dropout,0.5,0.5,2,430,1.0,0.0,1.0,2.0,0.0
frontier_dropout,0.5,0.5,3,476,1.0,1.0,0.0,3.0,
frontier_dropout,0.5,0.5,4,440,1.0,0.0,1.0,6.0,0.0
frontier_dropout,0.5,0.75,1,1054,1.0,1.0,0.0,1.0,
frontier_dropout,0.5,0.75,2,430,1.0,1.0,0.0,1.0,
frontier_dropout,0.5,0.75,3,476,1.0,1.0,0.0,1.0,
frontier_dropout,0.5,0.75,4,440,1.0,1.0,0.0,4.0,
frontier_dropout,0.5,1.0,1,1054,1.0,1.0,0.0,1.0,
frontier_dropout,0.5,1.0,2,430,1.0,1.0,0.0,1.0,
frontier_dropout,0.5,1.0,3,476,1.0,1.0,0.0,1.0,
frontier_dropout,0.5,1.0,4,440,1.0,1.0,0.0,1.0,
frontier_dropout,0.75,0.25,1,1054,1.0,1.0,0.0,1.0,
frontier_dropout,0.75,0.25,2,430,1.0,1.0,0.0,2.0,
frontier_dropout,0.75,0.25,3,476,1.0,1.0,0.0,3.0,
frontier_dropout,0.75,0.25,4,440,1.0,0.0,1.0,4.0,0.0
frontier_dropout,0.75,0.5,1,1054,1.0,1.0,0.0,1.0,
frontier_dropout,0.75,0.5,2,430,1.0,1.0,0.0,2.0,
