mode,severity,threshold_fraction,strict_readiness_loss_rate,family_readiness_loss_rate,loss_reduction_vs_strict,family_rescue_rate,mean_family_size
selector_stress,0.0,1.0,0.0,0.0,0.0,0.0,1.0
selector_stress,0.25,0.25,0.0,0.0,0.0,0.0,2.125833
selector_stress,0.25,0.5,0.0,0.0,0.0,0.0,2.4925
selector_stress,0.25,0.75,0.0,0.0,0.0,0.0,1.55
selector_stress,0.25,1.0,0.0,0.0,0.0,0.0,1.0
selector_stress,0.5,0.25,0.0,0.0,0.0,0.0,2.125833
selector_stress,0.5,0.5,0.0,0.0,0.0,0.0,2.4925
selector_stress,0.5,0.75,0.0,0.0,0.0,0.0,1.55
selector_stress,0.5,1.0,0.0,0.0,0.0,0.0,1.0
selector_stress,0.75,0.25,0.0,0.0,0.0,0.0,2.125833
selector_stress,0.75,0.5,0.0,0.0,0.0,0.0,2.4925
selector_stress,0.75,0.75,0.0,0.0,0.0,0.0,1.55
selector_stress,0.75,1.0,0.0,0.0,0.0,0.0,1.0
selector_stress,1.0,0.25,0.0,0.0,0.0,0.0,2.125833
selector_stress,1.0,0.5,0.0,0.0,0.0,0.0,2.4925
selector_stress,1.0,0.75,0.0,0.0,0.0,0.0,1.55
selector_stress,1.0,1.0,0.0,0.0,0.0,0.0,1.0
support_delay,0.0,0.25,0.0,0.0,0.0,0.0,2.125833
support_delay,0.0,0.5,0.0,0.0,0.0,0.0,2.4925
support_delay,0.0,0.75,0.0,0.0,0.0,0.0,1.55
support_delay,0.0,1.0,0.0,0.0,0.0,0.0,1.0
support_delay,0.25,0.25,1.0,1.0,0.0,0.0,2.125833
support_delay,0.25,0.5,1.0,1.0,0.0,0.0,2.4925
support_delay,0.25,0.75,1.0,1.0,0.0,0.0,1.55
support_delay,0.25,1.0,1.0,1.0,0.0,0.0,1.0
support_delay,0.5,0.25,1.0,1.0,0.0,0.0,2.125833
support_delay,0.5,0.5,1.0,1.0,0.0,0.0,2.4925
support_delay,0.5,0.75,1.0,1.0,0.0,0.0,1.55
support_delay,0.5,1.0,1.0,1.0,0.0,0.0,1.0
support_delay,0.75,0.25,1.0,1.0,0.0,0.0,2.125833
support_delay,0.75,0.5,1.0,1.0,0.0,0.0,2.4925
support_delay,0.75,0.75,1.0,1.0,0.0,0.0,1.55
support_delay,0.75,1.0,1.0,1.0,0.0,0.0,1.0
support_delay,1.0,0.25,1.0,1.0,0.0,0.0,2.125833
support_delay,1.0,0.5,1.0,1.0,0.0,0.0,2.4925
support_delay,1.0,0.75,1.0,1.0,0.0,0.0,1.55
support_delay,1.0,1.0,1.0,1.0,0.0,0.0,1.0
