run_seed,evaluations,support_width_classes,threshold_fractions,family_rescue_rate,strict_readiness_loss_rate,family_readiness_loss_rate
74,2880,"[1, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.032986,0.565278,0.561458
75,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.044792,0.551389,0.548264
76,2880,"[1, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.036458,0.570833,0.563542
77,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.032986,0.577778,0.575347
78,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.038194,0.561111,0.559028
79,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.047222,0.55,0.543056
80,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.046528,0.55,0.54375
81,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.034722,0.573611,0.569444
82,2880,"[1, 2, 3]","[0.25, 0.5, 0.75, 1.0]",0.034375,0.5625,0.572569
83,2880,"[1, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.039236,0.554167,0.541319
84,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.032292,0.568056,0.573264
85,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.035764,0.5625,0.562847
86,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.0375,0.5625,0.561111
87,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.038542,0.561111,0.565625
88,2880,"[1, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.026736,0.573611,0.578819
89,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.039931,0.569444,0.565625
90,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.037847,0.559722,0.556597
91,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.042361,0.559722,0.560417
92,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.034028,0.556944,0.559028
93,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.040972,0.558333,0.552083
94,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.034722,0.566667,0.561111
95,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.036111,0.569444,0.5625
96,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.036806,0.566667,0.565972
97,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.030903,0.570833,0.570486
98,2880,"[1, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.029514,0.573611,0.574653
99,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.040625,0.573611,0.570486
100,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.047917,0.543056,0.534028
101,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.035417,0.565278,0.565972
102,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.033681,0.561111,0.564931
103,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.039583,0.555556,0.550694
104,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.035764,0.558333,0.558681
105,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.031597,0.573611,0.572569
106,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.041667,0.548611,0.548611
107,2880,"[1, 2, 3]","[0.25, 0.5, 0.75, 1.0]",0.015972,0.609722,0.615972
108,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.039931,0.55,0.543403
109,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.026736,0.586111,0.584375
110,2880,"[1, 2, 3]","[0.25, 0.5, 0.75, 1.0]",0.018056,0.608333,0.6125
111,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.043056,0.555556,0.545833
112,2880,"[1, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.028472,0.586111,0.589583
113,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.037847,0.579167,0.571875
114,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.041319,0.566667,0.561458
115,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.030208,0.573611,0.573958
116,2880,"[1, 2, 3, 4]","[0.25, 0.5, 0.75, 1.0]",0.036111,0.569444,0.5625
