family_semantics,certification_regime,mode,severity,threshold_fraction,support_width,samples,family_size_mean,parent_in_family_rate,strict_parent_loss_rate,family_internal_loss_rate,strict_rescue_rate,family_internal_survival_rate,family_internal_resilience_rate,comparison_valid_rate,metric_artifact_risk_rate,mean_apples_to_apples_loss_delta
at_least_k,cut_level,edge_dropout,0.5,0.75,2,430,1.0,1.0,0.834884,0.834884,0.0,0.165116,0.165116,1.0,0.0,0.0
at_least_k,cut_level,edge_dropout,0.5,0.75,3,476,1.0,1.0,0.905462,0.905462,0.0,0.094538,0.094538,1.0,0.0,0.0
at_least_k,cut_level,edge_dropout,0.5,0.75,4,440,5.0,1.0,0.965909,0.720455,0.245455,0.279545,0.279545,1.0,0.0,-0.245455
at_least_k,cut_level,edge_dropout,0.5,1.0,1,1054,1.0,1.0,0.702087,0.702087,0.0,0.297913,0.297913,1.0,0.0,0.0
at_least_k,cut_level,edge_dropout,0.5,1.0,2,430,1.0,1.0,0.834884,0.834884,0.0,0.165116,0.165116,1.0,0.0,0.0
at_least_k,cut_level,edge_dropout,0.5,1.0,3,476,1.0,1.0,0.905462,0.905462,0.0,0.094538,0.094538,1.0,0.0,0.0
at_least_k,cut_level,edge_dropout,0.5,1.0,4,440,1.0,1.0,0.965909,0.965909,0.0,0.034091,0.034091,1.0,0.0,0.0
at_least_k,cut_level,edge_dropout,0.75,0.25,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,edge_dropout,0.75,0.25,2,430,3.0,1.0,0.974419,0.595349,0.37907,0.404651,0.404651,1.0,0.0,-0.37907
at_least_k,cut_level,edge_dropout,0.75,0.25,3,476,7.0,1.0,0.993697,0.42437,0.569328,0.57563,0.57563,1.0,0.0,-0.569328
at_least_k,cut_level,edge_dropout,0.75,0.25,4,440,15.0,1.0,1.0,0.304545,0.695455,0.695455,0.695455,1.0,0.0,-0.695455
at_least_k,cut_level,edge_dropout,0.75,0.5,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,edge_dropout,0.75,0.5,2,430,3.0,1.0,0.974419,0.595349,0.37907,0.404651,0.404651,1.0,0.0,-0.37907
