mode,family_semantics,certification_regime,severity,threshold_fraction,support_width,parent_cut_in_family,samples,family_size_mean,certified_family_member_count_mean,uncertified_member_fraction_mean,strict_parent_loss_rate,family_internal_loss_rate,family_internal_survival_rate,family_internal_resilience_rate,metric_artifact_risk_rate
ledger_failure,at_least_k,parent_shared,0.5,1.0,2,True,430,1.0,0.34186,0.65814,0.65814,0.65814,0.34186,0.34186,0.0
ledger_failure,at_least_k,parent_shared,0.5,1.0,3,True,476,1.0,0.640756,0.359244,0.359244,0.359244,0.640756,0.640756,0.0
ledger_failure,at_least_k,parent_shared,0.5,1.0,4,True,440,1.0,0.547727,0.452273,0.452273,0.452273,0.547727,0.547727,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.25,1,True,1054,1.0,0.374763,0.625237,0.625237,0.625237,0.374763,0.374763,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.25,2,True,430,3.0,0.662791,0.77907,0.77907,0.77907,0.22093,0.22093,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.25,3,True,476,7.0,1.985294,0.716387,0.716387,0.716387,0.283613,0.283613,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.25,4,True,440,15.0,3.204545,0.786364,0.786364,0.786364,0.213636,0.213636,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.5,1,True,1054,1.0,0.374763,0.625237,0.625237,0.625237,0.374763,0.374763,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.5,2,True,430,3.0,0.662791,0.77907,0.77907,0.77907,0.22093,0.22093,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.5,3,True,476,4.0,1.134454,0.716387,0.716387,0.716387,0.283613,0.283613,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.5,4,True,440,11.0,2.35,0.786364,0.786364,0.786364,0.213636,0.213636,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.75,1,True,1054,1.0,0.374763,0.625237,0.625237,0.625237,0.374763,0.374763,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.75,2,True,430,1.0,0.22093,0.77907,0.77907,0.77907,0.22093,0.22093,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.75,3,True,476,1.0,0.283613,0.716387,0.716387,0.716387,0.283613,0.283613,0.0
ledger_failure,at_least_k,parent_shared,0.75,0.75,4,True,440,5.0,1.068182,0.786364,0.786364,0.786364,0.213636,0.213636,0.0
ledger_failure,at_least_k,parent_shared,0.75,1.0,1,True,1054,1.0,0.374763,0.625237,0.625237,0.625237,0.374763,0.374763,0.0
ledger_failure,at_least_k,parent_shared,0.75,1.0,2,True,430,1.0,0.22093,0.77907,0.77907,0.77907,0.22093,0.22093,0.0
ledger_failure,at_least_k,parent_shared,0.75,1.0,3,True,476,1.0,0.283613,0.716387,0.716387,0.716387,0.283613,0.283613,0.0
ledger_failure,at_least_k,parent_shared,0.75,1.0,4,True,440,1.0,0.213636,0.786364,0.786364,0.786364,0.213636,0.213636,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.25,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.25,2,True,430,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.25,3,True,476,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.25,4,True,440,15.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.5,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.5,2,True,430,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.5,3,True,476,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.5,4,True,440,11.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.75,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.75,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.75,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,0.75,4,True,440,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,1.0,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,1.0,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,1.0,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,1.0,1.0,4,True,440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.25,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.25,2,True,430,3.0,2.0,0.333333,0.423256,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.25,3,True,476,4.0,3.0,0.25,0.285714,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.25,4,True,440,5.0,3.0,0.4,0.486364,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.5,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.5,2,True,430,3.0,2.0,0.333333,0.423256,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.5,3,True,476,4.0,3.0,0.25,0.285714,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.5,4,True,440,7.0,5.0,0.285714,0.352273,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.75,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.75,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.75,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,0.75,4,True,440,5.0,3.0,0.4,0.486364,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,1.0,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,1.0,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,1.0,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.25,1.0,4,True,440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.25,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.25,2,True,430,3.0,1.0,0.666667,0.588372,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.25,3,True,476,4.0,2.0,0.5,0.512605,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.25,4,True,440,5.0,2.0,0.6,0.620455,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.5,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.5,2,True,430,3.0,1.0,0.666667,0.588372,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.5,3,True,476,4.0,2.0,0.5,0.512605,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.5,4,True,440,7.0,3.0,0.571429,0.552273,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.75,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.75,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.75,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,0.75,4,True,440,5.0,2.0,0.6,0.620455,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,1.0,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,1.0,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,1.0,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.5,1.0,4,True,440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.25,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.25,2,True,430,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.25,3,True,476,4.0,1.0,0.75,0.785714,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.25,4,True,440,5.0,1.0,0.8,0.697727,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.5,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.5,2,True,430,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.5,3,True,476,4.0,1.0,0.75,0.785714,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.5,4,True,440,7.0,1.0,0.857143,0.813636,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.75,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.75,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.75,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,0.75,4,True,440,5.0,1.0,0.8,0.697727,0.0,1.0,1.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,1.0,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,1.0,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,0.75,1.0,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
