family_semantics,certification_regime,mode,severity,threshold_fraction,samples,support_width_count,mean_support_width,mean_family_size,strict_loss_rate,family_loss_rate,family_rescue_rate,no_worse_violation_rate,mean_loss_reduction_vs_strict,strict_cut_inclusion_rate,mean_uncertified_cut_count,mean_unavailable_support_count,mean_family_recovery_length
at_least_k,cut_level,frontier_dropout,1.0,0.75,2400,4,2.125833,1.733333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.125833,
at_least_k,cut_level,frontier_dropout,1.0,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.125833,
at_least_k,cut_level,ledger_failure,0.0,0.25,2400,4,2.125833,5.115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.5,2400,4,2.125833,3.786667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.75,2400,4,2.125833,1.733333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,1.0,2400,4,2.125833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.25,0.25,2400,4,2.125833,5.115,0.637917,0.439167,0.19875,0.0,0.19875,1.0,1.748333,0.0,0.0
at_least_k,cut_level,ledger_failure,0.25,0.5,2400,4,2.125833,3.786667,0.637917,0.439167,0.19875,0.0,0.19875,1.0,1.366667,0.0,0.0
at_least_k,cut_level,ledger_failure,0.25,0.75,2400,4,2.125833,1.733333,0.905833,0.816667,0.089167,0.0,0.089167,1.0,1.183333,0.0,0.0
at_least_k,cut_level,ledger_failure,0.25,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
at_least_k,cut_level,ledger_failure,0.5,0.25,2400,4,2.125833,5.115,0.740417,0.439167,0.30125,0.0,0.30125,1.0,3.0575,0.0,0.0
at_least_k,cut_level,ledger_failure,0.5,0.5,2400,4,2.125833,3.786667,0.751667,0.439167,0.3125,0.0,0.3125,1.0,2.294167,0.0,0.0
at_least_k,cut_level,ledger_failure,0.5,0.75,2400,4,2.125833,1.733333,0.930417,0.816667,0.11375,0.0,0.11375,1.0,1.366667,0.0,0.0
at_least_k,cut_level,ledger_failure,0.5,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
at_least_k,cut_level,ledger_failure,0.75,0.25,2400,4,2.125833,5.115,0.939167,0.618333,0.320833,0.0,0.320833,1.0,4.366667,0.0,0.0
at_least_k,cut_level,ledger_failure,0.75,0.5,2400,4,2.125833,3.786667,0.912083,0.618333,0.29375,0.0,0.29375,1.0,3.221667,0.0,0.0
at_least_k,cut_level,ledger_failure,0.75,0.75,2400,4,2.125833,1.733333,0.944583,0.816667,0.127917,0.0,0.127917,1.0,1.55,0.0,0.0
at_least_k,cut_level,ledger_failure,0.75,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
at_least_k,cut_level,ledger_failure,1.0,0.25,2400,4,2.125833,5.115,1.0,1.0,0.0,0.0,0.0,1.0,5.115,0.0,
