family_semantics,certification_regime,mode,severity,threshold_fraction,support_width,samples,strict_loss_rate,family_loss_rate,family_rescue_rate,no_worse_violation_rate,mean_family_size
at_least_k,cut_level,frontier_dropout,1.0,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,frontier_dropout,1.0,1.0,2,430,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,frontier_dropout,1.0,1.0,3,476,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,frontier_dropout,1.0,1.0,4,440,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.0,0.25,1,1054,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.0,0.25,2,430,0.0,0.0,0.0,0.0,3.0
at_least_k,cut_level,ledger_failure,0.0,0.25,3,476,0.0,0.0,0.0,0.0,7.0
at_least_k,cut_level,ledger_failure,0.0,0.25,4,440,0.0,0.0,0.0,0.0,15.0
at_least_k,cut_level,ledger_failure,0.0,0.5,1,1054,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.0,0.5,2,430,0.0,0.0,0.0,0.0,3.0
at_least_k,cut_level,ledger_failure,0.0,0.5,3,476,0.0,0.0,0.0,0.0,4.0
at_least_k,cut_level,ledger_failure,0.0,0.5,4,440,0.0,0.0,0.0,0.0,11.0
at_least_k,cut_level,ledger_failure,0.0,0.75,1,1054,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.0,0.75,2,430,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.0,0.75,3,476,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.0,0.75,4,440,0.0,0.0,0.0,0.0,5.0
at_least_k,cut_level,ledger_failure,0.0,1.0,1,1054,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.0,1.0,2,430,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.0,1.0,3,476,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.0,1.0,4,440,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,0.25,2,430,0.423256,0.0,0.423256,0.0,3.0
at_least_k,cut_level,ledger_failure,0.25,0.25,3,476,0.258403,0.0,0.258403,0.0,7.0
at_least_k,cut_level,ledger_failure,0.25,0.25,4,440,0.390909,0.0,0.390909,0.0,15.0
at_least_k,cut_level,ledger_failure,0.25,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,0.5,2,430,0.423256,0.0,0.423256,0.0,3.0
at_least_k,cut_level,ledger_failure,0.25,0.5,3,476,0.285714,0.0,0.285714,0.0,4.0
at_least_k,cut_level,ledger_failure,0.25,0.5,4,440,0.361364,0.0,0.361364,0.0,11.0
at_least_k,cut_level,ledger_failure,0.25,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,0.75,2,430,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,0.75,3,476,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,0.75,4,440,0.486364,0.0,0.486364,0.0,5.0
at_least_k,cut_level,ledger_failure,0.25,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,1.0,2,430,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,1.0,3,476,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,1.0,4,440,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,0.25,2,430,0.588372,0.0,0.588372,0.0,3.0
at_least_k,cut_level,ledger_failure,0.5,0.25,3,476,0.462185,0.0,0.462185,0.0,7.0
at_least_k,cut_level,ledger_failure,0.5,0.25,4,440,0.568182,0.0,0.568182,0.0,15.0
at_least_k,cut_level,ledger_failure,0.5,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,0.5,2,430,0.588372,0.0,0.588372,0.0,3.0
at_least_k,cut_level,ledger_failure,0.5,0.5,3,476,0.512605,0.0,0.512605,0.0,4.0
at_least_k,cut_level,ledger_failure,0.5,0.5,4,440,0.575,0.0,0.575,0.0,11.0
at_least_k,cut_level,ledger_failure,0.5,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,0.75,2,430,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,0.75,3,476,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,0.75,4,440,0.620455,0.0,0.620455,0.0,5.0
at_least_k,cut_level,ledger_failure,0.5,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,1.0,2,430,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,1.0,3,476,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,1.0,4,440,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,0.25,2,430,1.0,1.0,0.0,0.0,3.0
at_least_k,cut_level,ledger_failure,0.75,0.25,3,476,0.878151,0.0,0.878151,0.0,7.0
at_least_k,cut_level,ledger_failure,0.75,0.25,4,440,0.8,0.0,0.8,0.0,15.0
at_least_k,cut_level,ledger_failure,0.75,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,0.5,2,430,1.0,1.0,0.0,0.0,3.0
at_least_k,cut_level,ledger_failure,0.75,0.5,3,476,0.785714,0.0,0.785714,0.0,4.0
at_least_k,cut_level,ledger_failure,0.75,0.5,4,440,0.752273,0.0,0.752273,0.0,11.0
at_least_k,cut_level,ledger_failure,0.75,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,0.75,2,430,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,0.75,3,476,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,0.75,4,440,0.697727,0.0,0.697727,0.0,5.0
at_least_k,cut_level,ledger_failure,0.75,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,1.0,2,430,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,1.0,3,476,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,1.0,4,440,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.25,2,430,1.0,1.0,0.0,0.0,3.0
at_least_k,cut_level,ledger_failure,1.0,0.25,3,476,1.0,1.0,0.0,0.0,7.0
at_least_k,cut_level,ledger_failure,1.0,0.25,4,440,1.0,1.0,0.0,0.0,15.0
at_least_k,cut_level,ledger_failure,1.0,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.5,2,430,1.0,1.0,0.0,0.0,3.0
at_least_k,cut_level,ledger_failure,1.0,0.5,3,476,1.0,1.0,0.0,0.0,4.0
at_least_k,cut_level,ledger_failure,1.0,0.5,4,440,1.0,1.0,0.0,0.0,11.0
at_least_k,cut_level,ledger_failure,1.0,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.75,2,430,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.75,3,476,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.75,4,440,1.0,1.0,0.0,0.0,5.0
at_least_k,cut_level,ledger_failure,1.0,1.0,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,1.0,2,430,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,1.0,3,476,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,1.0,4,440,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.0,0.25,1,1054,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.0,0.25,2,430,0.0,0.0,0.0,0.0,3.0
at_least_k,cut_level,orientation_degradation,0.0,0.25,3,476,0.0,0.0,0.0,0.0,7.0
at_least_k,cut_level,orientation_degradation,0.0,0.25,4,440,0.0,0.0,0.0,0.0,15.0
at_least_k,cut_level,orientation_degradation,0.0,0.5,1,1054,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.0,0.5,2,430,0.0,0.0,0.0,0.0,3.0
at_least_k,cut_level,orientation_degradation,0.0,0.5,3,476,0.0,0.0,0.0,0.0,4.0
at_least_k,cut_level,orientation_degradation,0.0,0.5,4,440,0.0,0.0,0.0,0.0,11.0
at_least_k,cut_level,orientation_degradation,0.0,0.75,1,1054,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.0,0.75,2,430,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.0,0.75,3,476,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.0,0.75,4,440,0.0,0.0,0.0,0.0,5.0
at_least_k,cut_level,orientation_degradation,0.0,1.0,1,1054,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.0,1.0,2,430,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.0,1.0,3,476,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.0,1.0,4,440,0.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.25,0.25,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.25,0.25,2,430,0.406977,0.0,0.406977,0.0,3.0
at_least_k,cut_level,orientation_degradation,0.25,0.25,3,476,0.292017,0.0,0.292017,0.0,7.0
at_least_k,cut_level,orientation_degradation,0.25,0.25,4,440,0.386364,0.0,0.386364,0.0,15.0
at_least_k,cut_level,orientation_degradation,0.25,0.5,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.25,0.5,2,430,0.406977,0.0,0.406977,0.0,3.0
at_least_k,cut_level,orientation_degradation,0.25,0.5,3,476,0.315126,0.0,0.315126,0.0,4.0
at_least_k,cut_level,orientation_degradation,0.25,0.5,4,440,0.440909,0.0,0.440909,0.0,11.0
at_least_k,cut_level,orientation_degradation,0.25,0.75,1,1054,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.25,0.75,2,430,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.25,0.75,3,476,1.0,1.0,0.0,0.0,1.0
at_least_k,cut_level,orientation_degradation,0.25,0.75,4,440,0.468182,0.0,0.468182,0.0,5.0
