mode,severity,support_width,samples,support_certification_loss_rate,causal_reachability_loss_rate,support_availability_loss_rate,strict_commit_loss_rate,selected_commit_loss_rate,mean_finality_depth_shift,mean_recovery_length
orientation_degradation,0.0,2,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.0,3,476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.0,4,440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orientation_degradation,0.25,1,1054,0.029412,0.0,0.0,0.029412,0.029412,0.0,0.0
orientation_degradation,0.25,2,430,0.311628,0.0,0.0,0.311628,0.311628,0.0,0.0
orientation_degradation,0.25,3,476,0.210084,0.0,0.0,0.210084,0.210084,0.0,0.0
orientation_degradation,0.25,4,440,0.163636,0.0,0.0,0.163636,0.163636,0.0,0.0
orientation_degradation,0.5,1,1054,0.551233,0.0,0.0,0.551233,0.551233,0.0,0.0
orientation_degradation,0.5,2,430,0.446512,0.0,0.0,0.446512,0.446512,0.0,0.0
orientation_degradation,0.5,3,476,0.548319,0.0,0.0,0.548319,0.548319,0.0,0.0
orientation_degradation,0.5,4,440,0.445455,0.0,0.0,0.445455,0.445455,0.0,0.0
orientation_degradation,0.75,1,1054,0.50759,0.0,0.0,0.50759,0.50759,0.0,0.0
orientation_degradation,0.75,2,430,0.755814,0.0,0.0,0.755814,0.755814,0.0,0.0
orientation_degradation,0.75,3,476,0.739496,0.0,0.0,0.739496,0.739496,0.0,0.0
orientation_degradation,0.75,4,440,0.761364,0.0,0.0,0.761364,0.761364,0.0,0.0
orientation_degradation,1.0,1,1054,0.956357,0.0,0.0,0.956357,0.956357,0.0,0.0
orientation_degradation,1.0,2,430,0.948837,0.0,0.0,0.948837,0.948837,0.0,0.0
orientation_degradation,1.0,3,476,0.978992,0.0,0.0,0.978992,0.978992,0.0,0.0
orientation_degradation,1.0,4,440,0.959091,0.0,0.0,0.959091,0.959091,0.0,0.0
selector_stress,0.0,1,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.0,2,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.0,3,476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.0,4,440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selector_stress,0.25,1,1054,0.0,0.0,0.0,0.956357,0.0,0.0,0.0
selector_stress,0.25,2,430,0.0,0.0,0.0,0.948837,0.0,0.0,0.0
selector_stress,0.25,3,476,0.0,0.0,0.0,0.978992,0.0,0.0,0.0
