run_seed,motif,threshold_fraction,family_semantics,same_cut_graph_tokens_stable,same_cut_member_indexed_tokens_stable,graph_surface_uses_member_index,bad_control_uses_member_index
19,renewal_1,0.25,augmented_exact_k,True,False,False,True
19,renewal_7,1.0,at_least_k,True,False,False,True
19,renewal_7,1.0,augmented_exact_k,True,False,False,True
19,renewal_7,0.75,at_least_k,True,False,False,True
19,renewal_7,0.75,augmented_exact_k,True,False,False,True
19,renewal_7,0.5,at_least_k,True,False,False,True
19,renewal_7,0.5,augmented_exact_k,True,False,False,True
19,renewal_7,0.25,at_least_k,True,False,False,True
19,renewal_7,0.25,augmented_exact_k,True,False,False,True
19,renewal_15,1.0,at_least_k,True,False,False,True
19,renewal_15,1.0,augmented_exact_k,True,False,False,True
19,renewal_15,0.75,at_least_k,True,False,False,True
19,renewal_15,0.75,augmented_exact_k,True,False,False,True
19,renewal_15,0.5,at_least_k,True,False,False,True
19,renewal_15,0.5,augmented_exact_k,True,False,False,True
19,renewal_15,0.25,at_least_k,True,False,False,True
19,renewal_15,0.25,augmented_exact_k,True,False,False,True
19,renewal_30,1.0,at_least_k,True,False,False,True
19,renewal_30,1.0,augmented_exact_k,True,False,False,True
19,renewal_30,0.75,at_least_k,True,False,False,True
19,renewal_30,0.75,augmented_exact_k,True,False,False,True
19,renewal_30,0.5,at_least_k,True,False,False,True
19,renewal_30,0.5,augmented_exact_k,True,False,False,True
19,renewal_30,0.25,at_least_k,True,False,False,True
19,renewal_30,0.25,augmented_exact_k,True,False,False,True
19,renewal_2,1.0,at_least_k,True,False,False,True
19,renewal_2,1.0,augmented_exact_k,True,False,False,True
19,renewal_2,0.75,at_least_k,True,False,False,True
19,renewal_2,0.75,augmented_exact_k,True,False,False,True
19,renewal_2,0.5,at_least_k,True,False,False,True
19,renewal_2,0.5,augmented_exact_k,True,False,False,True
19,renewal_2,0.25,at_least_k,True,False,False,True
19,renewal_2,0.25,augmented_exact_k,True,False,False,True
19,renewal_20,1.0,at_least_k,True,False,False,True
19,renewal_20,1.0,augmented_exact_k,True,False,False,True
19,renewal_20,0.75,at_least_k,True,False,False,True
19,renewal_20,0.75,augmented_exact_k,True,False,False,True
19,renewal_20,0.5,at_least_k,True,False,False,True
19,renewal_20,0.5,augmented_exact_k,True,False,False,True
19,renewal_20,0.25,at_least_k,True,False,False,True
19,renewal_20,0.25,augmented_exact_k,True,False,False,True
19,renewal_21,1.0,at_least_k,True,False,False,True
19,renewal_21,1.0,augmented_exact_k,True,False,False,True
19,renewal_21,0.75,at_least_k,True,False,False,True
19,renewal_21,0.75,augmented_exact_k,True,False,False,True
19,renewal_21,0.5,at_least_k,True,False,False,True
19,renewal_21,0.5,augmented_exact_k,True,False,False,True
19,renewal_21,0.25,at_least_k,True,False,False,True
19,renewal_21,0.25,augmented_exact_k,True,False,False,True
19,renewal_3,1.0,at_least_k,True,False,False,True
19,renewal_3,1.0,augmented_exact_k,True,False,False,True
19,renewal_3,0.75,at_least_k,True,False,False,True
19,renewal_3,0.75,augmented_exact_k,True,False,False,True
19,renewal_3,0.5,at_least_k,True,False,False,True
19,renewal_3,0.5,augmented_exact_k,True,False,False,True
19,renewal_3,0.25,at_least_k,True,False,False,True
19,renewal_3,0.25,augmented_exact_k,True,False,False,True
19,renewal_24,1.0,at_least_k,True,False,False,True
19,renewal_24,1.0,augmented_exact_k,True,False,False,True
19,renewal_24,0.75,at_least_k,True,False,False,True
19,renewal_24,0.75,augmented_exact_k,True,False,False,True
19,renewal_24,0.5,at_least_k,True,False,False,True
19,renewal_24,0.5,augmented_exact_k,True,False,False,True
19,renewal_24,0.25,at_least_k,True,False,False,True
19,renewal_24,0.25,augmented_exact_k,True,False,False,True
19,renewal_22,1.0,at_least_k,True,False,False,True
19,renewal_22,1.0,augmented_exact_k,True,False,False,True
19,renewal_22,0.75,at_least_k,True,False,False,True
19,renewal_22,0.75,augmented_exact_k,True,False,False,True
19,renewal_22,0.5,at_least_k,True,False,False,True
19,renewal_22,0.5,augmented_exact_k,True,False,False,True
19,renewal_22,0.25,at_least_k,True,False,False,True
19,renewal_22,0.25,augmented_exact_k,True,False,False,True
19,renewal_4,1.0,at_least_k,True,False,False,True
19,renewal_4,1.0,augmented_exact_k,True,False,False,True
19,renewal_4,0.75,at_least_k,True,False,False,True
19,renewal_4,0.75,augmented_exact_k,True,False,False,True
19,renewal_4,0.5,at_least_k,True,False,False,True
19,renewal_4,0.5,augmented_exact_k,True,False,False,True
19,renewal_4,0.25,at_least_k,True,False,False,True
19,renewal_4,0.25,augmented_exact_k,True,False,False,True
19,renewal_27,1.0,at_least_k,True,False,False,True
19,renewal_27,1.0,augmented_exact_k,True,False,False,True
19,renewal_27,0.75,at_least_k,True,False,False,True
19,renewal_27,0.75,augmented_exact_k,True,False,False,True
19,renewal_27,0.5,at_least_k,True,False,False,True
19,renewal_27,0.5,augmented_exact_k,True,False,False,True
19,renewal_27,0.25,at_least_k,True,False,False,True
19,renewal_27,0.25,augmented_exact_k,True,False,False,True
20,renewal_1,1.0,at_least_k,True,False,False,True
20,renewal_1,1.0,augmented_exact_k,True,False,False,True
20,renewal_1,0.75,at_least_k,True,False,False,True
20,renewal_1,0.75,augmented_exact_k,True,False,False,True
20,renewal_1,0.5,at_least_k,True,False,False,True
