mode,family_semantics,severity,threshold_fraction,native_overlap_bin,native_certification_rescue_rate,parent_shared_certification_rescue_rate,rescue_delta_native_minus_parent,native_family_certification_resilience_rate,parent_shared_family_certification_resilience_rate,resilience_delta_native_minus_parent,cert_rescue_parent_zero
ledger_failure,augmented_exact_k,0.75,0.25,high,0.0,0.0,0.0,0.535714,0.0,0.535714,True
ledger_failure,augmented_exact_k,0.75,0.25,low,0.5,0.0,0.5,0.833333,0.25,0.583333,True
ledger_failure,augmented_exact_k,0.75,0.25,medium,0.125,0.0,0.125,0.25,0.25,0.0,True
ledger_failure,augmented_exact_k,0.75,0.5,high,0.0,0.0,0.0,0.535714,0.0,0.535714,True
ledger_failure,augmented_exact_k,0.75,0.5,medium,0.2,0.0,0.2,0.5,0.25,0.25,True
ledger_failure,augmented_exact_k,0.75,0.75,high,0.0,0.0,0.0,0.475,0.05,0.425,True
ledger_failure,augmented_exact_k,0.75,0.75,medium,0.125,0.0,0.125,0.25,0.375,-0.125,True
ledger_failure,augmented_exact_k,0.75,1.0,high,0.0,0.0,0.0,0.375,0.104167,0.270833,True
ledger_failure,augmented_exact_k,1.0,0.25,high,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,augmented_exact_k,1.0,0.25,low,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,augmented_exact_k,1.0,0.25,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,augmented_exact_k,1.0,0.5,high,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,augmented_exact_k,1.0,0.5,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,augmented_exact_k,1.0,0.75,high,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,augmented_exact_k,1.0,0.75,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
ledger_failure,augmented_exact_k,1.0,1.0,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,0.0,0.25,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,0.0,0.25,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,0.0,0.5,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,0.0,0.5,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,0.0,0.75,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,0.0,0.75,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
