keying,mode,family_semantics,rows,orientation_bin_support_width_corr,orientation_bin_family_size_corr,orientation_bin_rescue_corr,low_bin_width1_fraction,high_bin_width1_fraction
catalog_augmented_edge_pair,ledger_failure,at_least_k,32400,0.7129589487267134,0.6591093604684833,0.29251189425315066,0.7752777777777777,0.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,32400,0.5888771385201651,0.7292804073799485,0.26178526670409835,0.7752777777777777,0.0
catalog_augmented_edge_pair,orientation_degradation,at_least_k,32400,0.7151671568120429,0.6629976885493707,0.2973504790251675,0.7752777777777777,0.0
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,32400,0.5881302446089506,0.728822179013066,0.2644439240887214,0.7752777777777777,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,32400,0.7155893142401208,0.6633374453719728,,0.7752777777777777,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,32400,0.5889745594651065,0.7293401762973675,,0.7752777777777777,0.0
edge_direction_only,ledger_failure,at_least_k,32400,0.6726916248177577,0.5882889383350393,0.2820413733442248,0.7752777777777777,0.0
edge_direction_only,ledger_failure,augmented_exact_k,32400,0.5838437230315456,0.7261923466466094,0.2625663266743741,0.7752777777777777,0.0
edge_direction_only,orientation_degradation,at_least_k,32400,0.6726916248177577,0.5882889383350393,0.282449989388873,0.7752777777777777,0.0
edge_direction_only,orientation_degradation,augmented_exact_k,32400,0.5838437230315456,0.7261923466466094,0.2654865812561486,0.7752777777777777,0.0
edge_direction_only,selector_stress,at_least_k,32400,0.6726916248177577,0.5882889383350393,,0.7752777777777777,0.0
edge_direction_only,selector_stress,augmented_exact_k,32400,0.5838437230315456,0.7261923466466094,,0.7752777777777777,0.0
edge_pair_signed_no_member,ledger_failure,at_least_k,32400,0.6726916248177577,0.5882889383350393,0.2820413733442248,0.7752777777777777,0.0
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,32400,0.5838437230315456,0.7261923466466094,0.2625663266743741,0.7752777777777777,0.0
edge_pair_signed_no_member,orientation_degradation,at_least_k,32400,0.6726916248177577,0.5882889383350393,0.282449989388873,0.7752777777777777,0.0
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,32400,0.5838437230315456,0.7261923466466094,0.2654865812561486,0.7752777777777777,0.0
edge_pair_signed_no_member,selector_stress,at_least_k,32400,0.6726916248177577,0.5882889383350393,,0.7752777777777777,0.0
edge_pair_signed_no_member,selector_stress,augmented_exact_k,32400,0.5838437230315456,0.7261923466466094,,0.7752777777777777,0.0
incidence_role_signed,ledger_failure,at_least_k,32400,0.6726916248177577,0.5882889383350393,0.2820413733442248,0.7752777777777777,0.0
incidence_role_signed,ledger_failure,augmented_exact_k,32400,0.5838437230315456,0.7261923466466094,0.2625663266743741,0.7752777777777777,0.0
incidence_role_signed,orientation_degradation,at_least_k,32400,0.6726916248177577,0.5882889383350393,0.282449989388873,0.7752777777777777,0.0
incidence_role_signed,orientation_degradation,augmented_exact_k,32400,0.5838437230315456,0.7261923466466094,0.2654865812561486,0.7752777777777777,0.0
incidence_role_signed,selector_stress,at_least_k,32400,0.6726916248177577,0.5882889383350393,,0.7752777777777777,0.0
incidence_role_signed,selector_stress,augmented_exact_k,32400,0.5838437230315456,0.7261923466466094,,0.7752777777777777,0.0
member_indexed_edge_pair,ledger_failure,at_least_k,32400,0.3622110732907202,0.5182424067419644,0.16792594926087098,0.5405555555555556,0.24675925925925926
member_indexed_edge_pair,ledger_failure,augmented_exact_k,32400,0.11661287109440341,0.18074120627648899,0.04673342155483399,0.4648148148148148,0.3987962962962963
member_indexed_edge_pair,orientation_degradation,at_least_k,32400,0.3622110732907202,0.5182424067419644,0.17221273862832281,0.5405555555555556,0.24675925925925926
member_indexed_edge_pair,orientation_degradation,augmented_exact_k,32400,0.11661287109440341,0.18074120627648899,0.04131529025930249,0.4648148148148148,0.3987962962962963
member_indexed_edge_pair,selector_stress,at_least_k,32400,0.3622110732907202,0.5182424067419644,,0.5405555555555556,0.24675925925925926
member_indexed_edge_pair,selector_stress,augmented_exact_k,32400,0.11661287109440341,0.18074120627648899,,0.4648148148148148,0.3987962962962963
shuffled_overlap_control,ledger_failure,at_least_k,32400,0.6986705434686974,0.6723126881023705,0.26481140222827154,0.6613888888888889,0.0
shuffled_overlap_control,ledger_failure,augmented_exact_k,32400,0.587383350697736,0.6456636919101051,0.21895714500064314,0.6222222222222222,0.0724074074074074
shuffled_overlap_control,orientation_degradation,at_least_k,32400,0.6953907049890161,0.6711046638442304,0.2749338132006535,0.6625925925925926,0.0
shuffled_overlap_control,orientation_degradation,augmented_exact_k,32400,0.5885524020370283,0.6482536783316151,0.21661202653299902,0.6249074074074074,0.07027777777777777
shuffled_overlap_control,selector_stress,at_least_k,32400,0.6957803887687802,0.6716048613886164,,0.6622222222222223,0.0
shuffled_overlap_control,selector_stress,augmented_exact_k,32400,0.5851426689640927,0.6443686986993498,,0.6226851851851852,0.07296296296296297
