keying,mode,family_semantics,orientation_bin,rows,rescue_rate,mean_orientation_overlap,mean_support_width,support_width_min,support_width_max,support_width_counts,width1_fraction
edge_direction_only,selector_stress,augmented_exact_k,high,10800,0.0,0.4024999999999999,3.0083333333333333,2,4,2:3870;3:2970;4:3960,0.0
edge_direction_only,selector_stress,augmented_exact_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
edge_direction_only,selector_stress,augmented_exact_k,medium,10800,0.0,0.0386111111111111,2.0255555555555556,1,4,1:5856;2:792;3:2172;4:1980,0.5422222222222223
edge_pair_signed_no_member,ledger_failure,at_least_k,high,10800,0.19703703703703704,0.4341666666666666,3.2616666666666667,2,4,2:2268;3:3438;4:5094,0.0
edge_pair_signed_no_member,ledger_failure,at_least_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
edge_pair_signed_no_member,ledger_failure,at_least_k,medium,10800,0.07092592592592592,0.10166666666666664,1.7722222222222221,1,4,1:5856;2:2394;3:1704;4:846,0.5422222222222223
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,high,10800,0.18675925925925926,0.4024999999999999,3.0083333333333333,2,4,2:3870;3:2970;4:3960,0.0
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,medium,10800,0.09212962962962963,0.0386111111111111,2.0255555555555556,1,4,1:5856;2:792;3:2172;4:1980,0.5422222222222223
edge_pair_signed_no_member,orientation_degradation,at_least_k,high,10800,0.19833333333333333,0.4341666666666666,3.2616666666666667,2,4,2:2268;3:3438;4:5094,0.0
edge_pair_signed_no_member,orientation_degradation,at_least_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
edge_pair_signed_no_member,orientation_degradation,at_least_k,medium,10800,0.07268518518518519,0.10166666666666664,1.7722222222222221,1,4,1:5856;2:2394;3:1704;4:846,0.5422222222222223
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,high,10800,0.18861111111111112,0.4024999999999999,3.0083333333333333,2,4,2:3870;3:2970;4:3960,0.0
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,medium,10800,0.08953703703703704,0.0386111111111111,2.0255555555555556,1,4,1:5856;2:792;3:2172;4:1980,0.5422222222222223
edge_pair_signed_no_member,selector_stress,at_least_k,high,10800,0.0,0.4341666666666666,3.2616666666666667,2,4,2:2268;3:3438;4:5094,0.0
edge_pair_signed_no_member,selector_stress,at_least_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
edge_pair_signed_no_member,selector_stress,at_least_k,medium,10800,0.0,0.10166666666666664,1.7722222222222221,1,4,1:5856;2:2394;3:1704;4:846,0.5422222222222223
edge_pair_signed_no_member,selector_stress,augmented_exact_k,high,10800,0.0,0.4024999999999999,3.0083333333333333,2,4,2:3870;3:2970;4:3960,0.0
edge_pair_signed_no_member,selector_stress,augmented_exact_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
edge_pair_signed_no_member,selector_stress,augmented_exact_k,medium,10800,0.0,0.0386111111111111,2.0255555555555556,1,4,1:5856;2:792;3:2172;4:1980,0.5422222222222223
incidence_role_signed,ledger_failure,at_least_k,high,10800,0.19703703703703704,0.4341666666666666,3.2616666666666667,2,4,2:2268;3:3438;4:5094,0.0
incidence_role_signed,ledger_failure,at_least_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
incidence_role_signed,ledger_failure,at_least_k,medium,10800,0.07092592592592592,0.10166666666666664,1.7722222222222221,1,4,1:5856;2:2394;3:1704;4:846,0.5422222222222223
incidence_role_signed,ledger_failure,augmented_exact_k,high,10800,0.18675925925925926,0.4024999999999999,3.0083333333333333,2,4,2:3870;3:2970;4:3960,0.0
incidence_role_signed,ledger_failure,augmented_exact_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
incidence_role_signed,ledger_failure,augmented_exact_k,medium,10800,0.09212962962962963,0.0386111111111111,2.0255555555555556,1,4,1:5856;2:792;3:2172;4:1980,0.5422222222222223
incidence_role_signed,orientation_degradation,at_least_k,high,10800,0.19833333333333333,0.4341666666666666,3.2616666666666667,2,4,2:2268;3:3438;4:5094,0.0
incidence_role_signed,orientation_degradation,at_least_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
incidence_role_signed,orientation_degradation,at_least_k,medium,10800,0.07268518518518519,0.10166666666666664,1.7722222222222221,1,4,1:5856;2:2394;3:1704;4:846,0.5422222222222223
incidence_role_signed,orientation_degradation,augmented_exact_k,high,10800,0.18861111111111112,0.4024999999999999,3.0083333333333333,2,4,2:3870;3:2970;4:3960,0.0
incidence_role_signed,orientation_degradation,augmented_exact_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
incidence_role_signed,orientation_degradation,augmented_exact_k,medium,10800,0.08953703703703704,0.0386111111111111,2.0255555555555556,1,4,1:5856;2:792;3:2172;4:1980,0.5422222222222223
incidence_role_signed,selector_stress,at_least_k,high,10800,0.0,0.4341666666666666,3.2616666666666667,2,4,2:2268;3:3438;4:5094,0.0
incidence_role_signed,selector_stress,at_least_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
incidence_role_signed,selector_stress,at_least_k,medium,10800,0.0,0.10166666666666664,1.7722222222222221,1,4,1:5856;2:2394;3:1704;4:846,0.5422222222222223
incidence_role_signed,selector_stress,augmented_exact_k,high,10800,0.0,0.4024999999999999,3.0083333333333333,2,4,2:3870;3:2970;4:3960,0.0
incidence_role_signed,selector_stress,augmented_exact_k,low,10800,0.0,0.0,1.343611111111111,1,3,1:8373;2:1143;3:1284,0.7752777777777777
incidence_role_signed,selector_stress,augmented_exact_k,medium,10800,0.0,0.0386111111111111,2.0255555555555556,1,4,1:5856;2:792;3:2172;4:1980,0.5422222222222223
member_indexed_edge_pair,ledger_failure,at_least_k,high,10800,0.16944444444444445,0.021533409635610554,2.8069444444444445,1,4,1:2665;2:1044;3:2802;4:4289,0.24675925925925926
member_indexed_edge_pair,ledger_failure,at_least_k,low,10800,0.05212962962962963,0.0,1.7741666666666667,1,4,1:5838;2:2409;3:1707;4:846,0.5405555555555556
member_indexed_edge_pair,ledger_failure,at_least_k,medium,10800,0.04638888888888889,0.0,1.7963888888888888,1,4,1:5726;2:2352;3:1917;4:805,0.5301851851851852
member_indexed_edge_pair,ledger_failure,augmented_exact_k,high,10800,0.11564814814814815,0.004480353602202335,2.334722222222222,1,4,1:4307;2:1647;3:1770;4:3076,0.3987962962962963
member_indexed_edge_pair,ledger_failure,augmented_exact_k,low,10800,0.0824074074074074,0.0,2.002222222222222,1,4,1:5020;2:2130;3:2256;4:1394,0.4648148148148148
member_indexed_edge_pair,ledger_failure,augmented_exact_k,medium,10800,0.08083333333333333,0.0,2.0405555555555557,1,4,1:4902;2:2028;3:2400;4:1470,0.4538888888888889
member_indexed_edge_pair,orientation_degradation,at_least_k,high,10800,0.17148148148148148,0.021533409635610554,2.8069444444444445,1,4,1:2665;2:1044;3:2802;4:4289,0.24675925925925926
member_indexed_edge_pair,orientation_degradation,at_least_k,low,10800,0.050555555555555555,0.0,1.7741666666666667,1,4,1:5838;2:2409;3:1707;4:846,0.5405555555555556
member_indexed_edge_pair,orientation_degradation,at_least_k,medium,10800,0.04898148148148148,0.0,1.7963888888888888,1,4,1:5726;2:2352;3:1917;4:805,0.5301851851851852
member_indexed_edge_pair,orientation_degradation,augmented_exact_k,high,10800,0.1112962962962963,0.004480353602202335,2.334722222222222,1,4,1:4307;2:1647;3:1770;4:3076,0.3987962962962963
member_indexed_edge_pair,orientation_degradation,augmented_exact_k,low,10800,0.08194444444444444,0.0,2.002222222222222,1,4,1:5020;2:2130;3:2256;4:1394,0.4648148148148148
member_indexed_edge_pair,orientation_degradation,augmented_exact_k,medium,10800,0.0849074074074074,0.0,2.0405555555555557,1,4,1:4902;2:2028;3:2400;4:1470,0.4538888888888889
member_indexed_edge_pair,selector_stress,at_least_k,high,10800,0.0,0.021533409635610554,2.8069444444444445,1,4,1:2665;2:1044;3:2802;4:4289,0.24675925925925926
member_indexed_edge_pair,selector_stress,at_least_k,low,10800,0.0,0.0,1.7741666666666667,1,4,1:5838;2:2409;3:1707;4:846,0.5405555555555556
member_indexed_edge_pair,selector_stress,at_least_k,medium,10800,0.0,0.0,1.7963888888888888,1,4,1:5726;2:2352;3:1917;4:805,0.5301851851851852
member_indexed_edge_pair,selector_stress,augmented_exact_k,high,10800,0.0,0.004480353602202335,2.334722222222222,1,4,1:4307;2:1647;3:1770;4:3076,0.3987962962962963
member_indexed_edge_pair,selector_stress,augmented_exact_k,low,10800,0.0,0.0,2.002222222222222,1,4,1:5020;2:2130;3:2256;4:1394,0.4648148148148148
member_indexed_edge_pair,selector_stress,augmented_exact_k,medium,10800,0.0,0.0,2.0405555555555557,1,4,1:4902;2:2028;3:2400;4:1470,0.4538888888888889
shuffled_overlap_control,ledger_failure,at_least_k,high,10800,0.21175925925925926,0.036755362737886384,3.4483333333333333,2,4,2:1093;3:3772;4:5935,0.0
shuffled_overlap_control,ledger_failure,at_least_k,low,10800,0.02675925925925926,0.0,1.4562037037037037,1,4,1:7143;2:2390;3:1264;4:3,0.6613888888888889
shuffled_overlap_control,ledger_failure,at_least_k,medium,10800,0.029444444444444443,7.879588696971105e-05,1.472962962962963,1,4,1:7086;2:2322;3:1390;4:2,0.6561111111111111
shuffled_overlap_control,ledger_failure,augmented_exact_k,high,10800,0.19675925925925927,0.03432943121307832,3.2428703703703703,1,4,1:782;2:1294;3:3243;4:5481,0.0724074074074074
shuffled_overlap_control,ledger_failure,augmented_exact_k,low,10800,0.04101851851851852,0.0,1.5680555555555555,1,4,1:6720;2:2252;3:1601;4:227,0.6222222222222222
shuffled_overlap_control,ledger_failure,augmented_exact_k,medium,10800,0.04111111111111111,0.0,1.5665740740740741,1,4,1:6727;2:2259;3:1582;4:232,0.6228703703703704
shuffled_overlap_control,orientation_degradation,at_least_k,high,10800,0.21925925925925926,0.03772392905224484,3.4392592592592592,2,4,2:1164;3:3728;4:5908,0.0
shuffled_overlap_control,orientation_degradation,at_least_k,low,10800,0.026203703703703705,0.0,1.4564814814814815,1,4,1:7156;2:2359;3:1284;4:1,0.6625925925925926
shuffled_overlap_control,orientation_degradation,at_least_k,medium,10800,0.025555555555555557,0.00012143354330854205,1.4817592592592592,1,4,1:7073;2:2282;3:1414;4:31,0.6549074074074074
shuffled_overlap_control,orientation_degradation,augmented_exact_k,high,10800,0.19546296296296295,0.03424695609897364,3.244074074074074,1,4,1:759;2:1348;3:3191;4:5502,0.07027777777777777
shuffled_overlap_control,orientation_degradation,augmented_exact_k,low,10800,0.041574074074074076,0.0,1.565925925925926,1,4,1:6749;2:2206;3:1629;4:216,0.6249074074074074
shuffled_overlap_control,orientation_degradation,augmented_exact_k,medium,10800,0.04111111111111111,0.0,1.5675,1,4,1:6721;2:2251;3:1606;4:222,0.6223148148148148
shuffled_overlap_control,selector_stress,at_least_k,high,10800,0.0,0.03734469647366826,3.4412037037037035,2,4,2:1150;3:3735;4:5915,0.0
shuffled_overlap_control,selector_stress,at_least_k,low,10800,0.0,0.0,1.4573148148148147,1,4,1:7152;2:2363;3:1279;4:6,0.6622222222222223
shuffled_overlap_control,selector_stress,at_least_k,medium,10800,0.0,9.558712679724858e-05,1.4789814814814815,1,4,1:7077;2:2292;3:1412;4:19,0.6552777777777777
shuffled_overlap_control,selector_stress,augmented_exact_k,high,10800,0.0,0.03421833431103889,3.2382407407407405,1,4,1:788;2:1336;3:3191;4:5485,0.07296296296296297
shuffled_overlap_control,selector_stress,augmented_exact_k,low,10800,0.0,0.0,1.5698148148148148,1,4,1:6725;2:2230;3:1611;4:234,0.6226851851851852
shuffled_overlap_control,selector_stress,augmented_exact_k,medium,10800,0.0,0.0,1.5694444444444444,1,4,1:6716;2:2239;3:1624;4:221,0.6218518518518519
