graph_keying,mode,family_semantics,threshold_fraction,severity,support_width,family_size,graph_gap,shuffled_gap,delta_graph_minus_shuffled
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.5,4,5,-0.018181818181818188,0.018181818181818188,-0.036363636363636376
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.75,0.75,4,5,0.004545454545454547,-0.018181818181818188,0.022727272727272735
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,2,3,0.018604651162790697,0.023255813953488358,-0.0046511627906976605
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,3,7,-0.0546218487394958,-0.02941176470588236,-0.02521008403361344
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.25,4,15,0.040909090909090895,0.018181818181818188,0.022727272727272707
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,2,3,0.037209302325581395,0.06046511627906975,-0.023255813953488358
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,3,7,0.008403361344537785,0.012605042016806733,-0.004201680672268948
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.5,4,15,0.009090909090909094,-0.036363636363636376,0.04545454545454547
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,2,3,0.023255813953488358,0.027906976744186046,-0.004651162790697688
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,3,7,-0.046218487394957986,-0.08823529411764708,0.04201680672268909
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.25,0.75,4,15,-0.03181818181818186,0.04999999999999999,-0.08181818181818185
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.25,2,3,0.0744186046511628,-0.05581395348837209,0.13023255813953488
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.25,3,4,-0.02521008403361344,-0.04621848739495797,0.021008403361344533
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.25,4,11,-0.03636363636363635,-0.009090909090909094,-0.027272727272727254
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.5,2,3,0.027906976744186046,0.09767441860465115,-0.0697674418604651
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.5,3,4,-0.008403361344537813,-0.012605042016806706,0.004201680672268893
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.5,4,11,0.009090909090909066,0.036363636363636376,-0.02727272727272731
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.75,2,3,0.009302325581395349,0.023255813953488358,-0.01395348837209301
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.75,3,4,0.07563025210084034,0.0,0.07563025210084034
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.5,0.75,4,11,0.036363636363636376,-0.06818181818181818,0.10454545454545455
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.25,4,5,0.004545454545454547,-0.018181818181818174,0.02272727272727272
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.5,4,5,0.018181818181818188,-0.022727272727272735,0.04090909090909092
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.75,4,5,0.018181818181818188,0.013636363636363641,0.004545454545454547
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.25,2,3,0.032558139534883734,0.0,0.032558139534883734
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.25,3,4,0.008403361344537813,-0.012605042016806706,0.02100840336134452
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.25,4,5,0.03181818181818183,0.0,0.03181818181818183
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.5,2,3,-0.051162790697674404,0.05581395348837209,-0.1069767441860465
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.5,3,4,-0.012605042016806733,0.13865546218487393,-0.15126050420168066
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.5,4,5,0.022727272727272707,0.009090909090909094,0.013636363636363613
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.75,2,3,0.0,-0.009302325581395349,0.009302325581395349
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.75,3,4,-0.03361344537815125,-0.0378151260504202,0.004201680672268948
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.75,4,5,0.0,0.0,0.0
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.25,2,3,0.06511627906976745,0.018604651162790697,0.04651162790697676
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.25,3,4,-0.02941176470588236,0.016806722689075626,-0.046218487394957986
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.25,4,7,-0.02272727272727272,0.0,-0.02272727272727272
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,2,3,-0.009302325581395349,0.03255813953488371,-0.041860465116279055
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,3,4,-0.00420168067226892,-0.05882352941176469,0.05462184873949577
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.5,4,7,0.036363636363636376,0.009090909090909094,0.027272727272727282
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,2,3,0.09302325581395349,0.027906976744186046,0.06511627906976744
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,3,4,0.0,0.008403361344537813,-0.008403361344537813
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.5,0.75,4,7,0.04999999999999999,0.07272727272727275,-0.022727272727272763
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.25,4,5,0.05454545454545454,-0.009090909090909094,0.06363636363636363
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.5,4,5,-0.09090909090909091,-0.05,-0.04090909090909091
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.75,0.75,4,5,-0.06818181818181818,-0.06363636363636363,-0.004545454545454547
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,3,7,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.25,4,15,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,3,7,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.5,4,15,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,3,7,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.25,0.75,4,15,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,3,4,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.25,4,11,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,3,4,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.5,4,11,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,3,4,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.5,0.75,4,11,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.25,4,5,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.5,4,5,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,0.75,0.75,4,5,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,3,4,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.25,4,5,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,3,4,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.5,4,5,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,3,4,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,4,5,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,3,4,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,4,7,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,3,4,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,4,7,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,2,3,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,3,4,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,4,7,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,4,5,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,4,5,0.0,0.0,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.75,4,5,0.0,0.0,0.0
