mode,family_semantics,severity,threshold_fraction,samples,parent_shared_certification_rescue_rate,parent_shared_family_certification_resilience_rate,parent_shared_family_loss_rate,cut_level_certification_rescue_rate,cut_level_family_certification_resilience_rate,cut_level_family_loss_rate,independent_member_certification_rescue_rate,independent_member_family_certification_resilience_rate,independent_member_family_loss_rate,independent_minus_parent_rescue,independent_minus_cut_level_resilience
orientation_degradation,at_least_k,0.25,0.75,36000,0.0,0.729417,0.270583,0.0695,0.183333,0.816667,0.020667,0.748667,0.251333,0.020667,0.565334
orientation_degradation,at_least_k,0.25,1.0,36000,0.0,0.729417,0.270583,0.0,0.0,1.0,0.0,0.7265,0.2735,0.0,0.7265
orientation_degradation,at_least_k,0.5,0.25,36000,0.0,0.489,0.511,0.32975,0.560833,0.439167,0.12025,0.59675,0.40325,0.12025,0.035917
orientation_degradation,at_least_k,0.5,0.5,36000,0.0,0.489,0.511,0.32475,0.560833,0.439167,0.117917,0.588167,0.411833,0.117917,0.027334
orientation_degradation,at_least_k,0.5,0.75,36000,0.0,0.489,0.511,0.108083,0.183333,0.816667,0.043833,0.507167,0.492833,0.043833,0.323834
orientation_degradation,at_least_k,0.5,1.0,36000,0.0,0.489,0.511,0.0,0.0,1.0,0.0,0.456417,0.543583,0.0,0.456417
orientation_degradation,at_least_k,0.75,0.25,36000,0.0,0.253333,0.746667,0.309167,0.381667,0.618333,0.172583,0.439583,0.560417,0.172583,0.057916
orientation_degradation,at_least_k,0.75,0.5,36000,0.0,0.253333,0.746667,0.301167,0.381667,0.618333,0.142333,0.4175,0.5825,0.142333,0.035833
orientation_degradation,at_least_k,0.75,0.75,36000,0.0,0.253333,0.746667,0.140333,0.183333,0.816667,0.045417,0.324083,0.675917,0.045417,0.14075
orientation_degradation,at_least_k,0.75,1.0,36000,0.0,0.253333,0.746667,0.0,0.0,1.0,0.0,0.27775,0.72225,0.0,0.27775
orientation_degradation,at_least_k,1.0,0.25,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.5,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
orientation_degradation,at_least_k,1.0,0.75,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
orientation_degradation,at_least_k,1.0,1.0,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
orientation_degradation,augmented_exact_k,0.25,0.25,36000,0.0,0.729417,0.270583,0.18475,0.560833,0.439167,0.058333,0.800917,0.199083,0.058333,0.240084
orientation_degradation,augmented_exact_k,0.25,0.5,36000,0.0,0.729417,0.270583,0.168167,0.560833,0.439167,0.05675,0.800917,0.199083,0.05675,0.240084
orientation_degradation,augmented_exact_k,0.25,0.75,36000,0.0,0.729417,0.270583,0.0695,0.183333,0.816667,0.020667,0.748667,0.251333,0.020667,0.565334
orientation_degradation,augmented_exact_k,0.25,1.0,36000,0.0,0.729417,0.270583,0.0,0.0,1.0,0.0,0.7265,0.2735,0.0,0.7265
orientation_degradation,augmented_exact_k,0.5,0.25,36000,0.0,0.489,0.511,0.332,0.560833,0.439167,0.117583,0.58775,0.41225,0.117583,0.026917
orientation_degradation,augmented_exact_k,0.5,0.5,36000,0.0,0.489,0.511,0.325,0.560833,0.439167,0.116583,0.588167,0.411833,0.116583,0.027334
orientation_degradation,augmented_exact_k,0.5,0.75,36000,0.0,0.489,0.511,0.108083,0.183333,0.816667,0.043833,0.507167,0.492833,0.043833,0.323834
orientation_degradation,augmented_exact_k,0.5,1.0,36000,0.0,0.489,0.511,0.0,0.0,1.0,0.0,0.456417,0.543583,0.0,0.456417
orientation_degradation,augmented_exact_k,0.75,0.25,36000,0.0,0.253333,0.746667,0.299583,0.381667,0.618333,0.123333,0.39675,0.60325,0.123333,0.015083
orientation_degradation,augmented_exact_k,0.75,0.5,36000,0.0,0.253333,0.746667,0.313167,0.381667,0.618333,0.13675,0.407833,0.592167,0.13675,0.026166
orientation_degradation,augmented_exact_k,0.75,0.75,36000,0.0,0.253333,0.746667,0.140333,0.183333,0.816667,0.045417,0.324083,0.675917,0.045417,0.14075
orientation_degradation,augmented_exact_k,0.75,1.0,36000,0.0,0.253333,0.746667,0.0,0.0,1.0,0.0,0.27775,0.72225,0.0,0.27775
orientation_degradation,augmented_exact_k,1.0,0.25,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
orientation_degradation,augmented_exact_k,1.0,0.5,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
orientation_degradation,augmented_exact_k,1.0,0.75,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
orientation_degradation,augmented_exact_k,1.0,1.0,36000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
