family_semantics,certification_regime,mode,severity,threshold_fraction,certificate_correlation,samples,support_width_count,mean_support_width,mean_family_size,parent_in_family_rate,strict_parent_loss_rate,family_internal_loss_rate,strict_rescue_rate,family_internal_survival_rate,strict_parent_cert_failure_rate,certification_rescue_rate,family_certification_resilience_rate,comparison_valid_rate,metric_artifact_risk_rate,mean_apples_to_apples_loss_delta,mean_certified_family_member_count,mean_uncertified_family_member_fraction
at_least_k,cut_level,frontier_dropout,0.5,0.5,0.0,2400,4,2.125833,3.786667,1.0,1.0,0.6375,0.3625,0.3625,0.0,0.0,0.0,1.0,0.0,-0.3625,3.786667,0.0
at_least_k,cut_level,frontier_dropout,0.5,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,cut_level,frontier_dropout,0.5,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.25,0.0,2400,4,2.125833,5.115,1.0,1.0,0.816667,0.183333,0.183333,0.0,0.0,0.0,1.0,0.0,-0.183333,5.115,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.5,0.0,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,cut_level,frontier_dropout,0.75,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.25,0.0,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.5,0.0,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,cut_level,frontier_dropout,1.0,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.25,0.0,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,cut_level,ledger_failure,0.0,0.25,0.25,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,cut_level,ledger_failure,0.0,0.25,0.5,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,cut_level,ledger_failure,0.0,0.25,0.75,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,cut_level,ledger_failure,0.0,0.25,1.0,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,cut_level,ledger_failure,0.0,0.5,0.0,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,cut_level,ledger_failure,0.0,0.5,0.25,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,cut_level,ledger_failure,0.0,0.5,0.5,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,cut_level,ledger_failure,0.0,0.5,0.75,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,cut_level,ledger_failure,0.0,0.5,1.0,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,cut_level,ledger_failure,0.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,cut_level,ledger_failure,0.0,0.75,0.25,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,cut_level,ledger_failure,0.0,0.75,0.5,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,cut_level,ledger_failure,0.0,0.75,0.75,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,cut_level,ledger_failure,0.0,0.75,1.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,cut_level,ledger_failure,0.0,1.0,0.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,cut_level,ledger_failure,0.0,1.0,0.25,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
