mode,family_semantics,certification_regime,severity,threshold_fraction,certificate_correlation,samples,family_size_mean,strict_parent_cert_failure_rate,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,family_internal_survival_rate,mean_certified_family_member_count,metric_artifact_risk_rate
ledger_failure,at_least_k,cut_level,0.75,0.25,1.0,2400,5.115,0.914583,0.29625,0.381667,0.618333,0.381667,0.748333,0.0
ledger_failure,at_least_k,cut_level,0.75,0.5,0.0,2400,3.786667,0.89625,0.277917,0.381667,0.618333,0.381667,0.565,0.0
ledger_failure,at_least_k,cut_level,0.75,0.5,0.25,2400,3.786667,0.9375,0.319167,0.381667,0.618333,0.381667,0.565,0.0
ledger_failure,at_least_k,cut_level,0.75,0.5,0.5,2400,3.786667,0.902917,0.284583,0.381667,0.618333,0.381667,0.565,0.0
ledger_failure,at_least_k,cut_level,0.75,0.5,0.75,2400,3.786667,0.918333,0.3,0.381667,0.618333,0.381667,0.565,0.0
ledger_failure,at_least_k,cut_level,0.75,0.5,1.0,2400,3.786667,0.922083,0.30375,0.381667,0.618333,0.381667,0.565,0.0
ledger_failure,at_least_k,cut_level,0.75,0.75,0.0,2400,1.733333,0.95,0.133333,0.183333,0.816667,0.183333,0.183333,0.0
ledger_failure,at_least_k,cut_level,0.75,0.75,0.25,2400,1.733333,0.97,0.153333,0.183333,0.816667,0.183333,0.183333,0.0
ledger_failure,at_least_k,cut_level,0.75,0.75,0.5,2400,1.733333,0.962083,0.145417,0.183333,0.816667,0.183333,0.183333,0.0
ledger_failure,at_least_k,cut_level,0.75,0.75,0.75,2400,1.733333,0.95375,0.137083,0.183333,0.816667,0.183333,0.183333,0.0
ledger_failure,at_least_k,cut_level,0.75,0.75,1.0,2400,1.733333,0.970833,0.154167,0.183333,0.816667,0.183333,0.183333,0.0
ledger_failure,at_least_k,cut_level,0.75,1.0,0.0,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,1.0,0.25,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,1.0,0.5,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,1.0,0.75,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,0.75,1.0,1.0,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,0.0,2400,5.115,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,0.25,2400,5.115,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,0.5,2400,5.115,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,0.75,2400,5.115,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,1.0,2400,5.115,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.5,0.0,2400,3.786667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.5,0.25,2400,3.786667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.5,0.5,2400,3.786667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.5,0.75,2400,3.786667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.5,1.0,2400,3.786667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.75,0.0,2400,1.733333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.75,0.25,2400,1.733333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.75,0.5,2400,1.733333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.75,0.75,2400,1.733333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.75,1.0,2400,1.733333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,1.0,0.0,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,1.0,0.25,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,1.0,0.5,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,1.0,0.75,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,1.0,1.0,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,0.25,0.25,0.0,2400,5.115,0.338333,0.160417,0.822083,0.177917,0.822083,3.737083,0.0
ledger_failure,at_least_k,independent_member,0.25,0.25,0.25,2400,5.115,0.38125,0.116667,0.735417,0.264583,0.735417,3.823333,0.0
ledger_failure,at_least_k,independent_member,0.25,0.25,0.5,2400,5.115,0.205417,0.062917,0.8575,0.1425,0.8575,3.927917,0.0
ledger_failure,at_least_k,independent_member,0.25,0.25,0.75,2400,5.115,0.231667,0.0325,0.800833,0.199167,0.800833,3.98625,0.0
ledger_failure,at_least_k,independent_member,0.25,0.25,1.0,2400,5.115,0.230417,0.0,0.769583,0.230417,0.769583,3.742917,0.0
ledger_failure,at_least_k,independent_member,0.25,0.5,0.0,2400,3.786667,0.335833,0.157917,0.822083,0.177917,0.822083,2.745833,0.0
ledger_failure,at_least_k,independent_member,0.25,0.5,0.25,2400,3.786667,0.356667,0.092083,0.735417,0.264583,0.735417,2.854167,0.0
ledger_failure,at_least_k,independent_member,0.25,0.5,0.5,2400,3.786667,0.194583,0.052083,0.8575,0.1425,0.8575,2.954167,0.0
ledger_failure,at_least_k,independent_member,0.25,0.5,0.75,2400,3.786667,0.2275,0.028333,0.800833,0.199167,0.800833,2.97625,0.0
ledger_failure,at_least_k,independent_member,0.25,0.5,1.0,2400,3.786667,0.230417,0.0,0.769583,0.230417,0.769583,2.78,0.0
ledger_failure,at_least_k,independent_member,0.25,0.75,0.0,2400,1.733333,0.329583,0.055,0.725417,0.274583,0.725417,1.239167,0.0
ledger_failure,at_least_k,independent_member,0.25,0.75,0.25,2400,1.733333,0.335833,0.029583,0.69375,0.30625,0.69375,1.224167,0.0
ledger_failure,at_least_k,independent_member,0.25,0.75,0.5,2400,1.733333,0.23125,0.02,0.78875,0.21125,0.78875,1.349167,0.0
ledger_failure,at_least_k,independent_member,0.25,0.75,0.75,2400,1.733333,0.228333,0.010417,0.782083,0.217917,0.782083,1.389167,0.0
ledger_failure,at_least_k,independent_member,0.25,0.75,1.0,2400,1.733333,0.230417,0.0,0.769583,0.230417,0.769583,1.30125,0.0
ledger_failure,at_least_k,independent_member,0.25,1.0,0.0,2400,1.0,0.305417,0.0,0.694583,0.305417,0.694583,0.694583,0.0
ledger_failure,at_least_k,independent_member,0.25,1.0,0.25,2400,1.0,0.332917,0.0,0.667083,0.332917,0.667083,0.667083,0.0
ledger_failure,at_least_k,independent_member,0.25,1.0,0.5,2400,1.0,0.225833,0.0,0.774167,0.225833,0.774167,0.774167,0.0
ledger_failure,at_least_k,independent_member,0.25,1.0,0.75,2400,1.0,0.231667,0.0,0.768333,0.231667,0.768333,0.768333,0.0
ledger_failure,at_least_k,independent_member,0.25,1.0,1.0,2400,1.0,0.230417,0.0,0.769583,0.230417,0.769583,0.769583,0.0
ledger_failure,at_least_k,independent_member,0.5,0.25,0.0,2400,5.115,0.405417,0.220833,0.815417,0.184583,0.815417,2.770417,0.0
ledger_failure,at_least_k,independent_member,0.5,0.25,0.25,2400,5.115,0.500833,0.175833,0.675,0.325,0.675,2.606667,0.0
ledger_failure,at_least_k,independent_member,0.5,0.25,0.5,2400,5.115,0.539583,0.120833,0.58125,0.41875,0.58125,2.306667,0.0
ledger_failure,at_least_k,independent_member,0.5,0.25,0.75,2400,5.115,0.524583,0.09125,0.566667,0.433333,0.566667,2.54125,0.0
ledger_failure,at_least_k,independent_member,0.5,0.25,1.0,2400,5.115,0.576667,0.0,0.423333,0.576667,0.423333,2.610833,0.0
ledger_failure,at_least_k,independent_member,0.5,0.5,0.0,2400,3.786667,0.411667,0.2075,0.795833,0.204167,0.795833,2.116667,0.0
ledger_failure,at_least_k,independent_member,0.5,0.5,0.25,2400,3.786667,0.49875,0.159167,0.660417,0.339583,0.660417,1.922083,0.0
ledger_failure,at_least_k,independent_member,0.5,0.5,0.5,2400,3.786667,0.534167,0.106667,0.5725,0.4275,0.5725,1.700417,0.0
ledger_failure,at_least_k,independent_member,0.5,0.5,0.75,2400,3.786667,0.532917,0.099583,0.566667,0.433333,0.566667,1.875417,0.0
ledger_failure,at_least_k,independent_member,0.5,0.5,1.0,2400,3.786667,0.576667,0.0,0.423333,0.576667,0.423333,1.892917,0.0
ledger_failure,at_least_k,independent_member,0.5,0.75,0.0,2400,1.733333,0.4375,0.073333,0.635833,0.364167,0.635833,0.9725,0.0
ledger_failure,at_least_k,independent_member,0.5,0.75,0.25,2400,1.733333,0.514583,0.0675,0.552917,0.447083,0.552917,0.887083,0.0
ledger_failure,at_least_k,independent_member,0.5,0.75,0.5,2400,1.733333,0.561667,0.045,0.483333,0.516667,0.483333,0.7575,0.0
ledger_failure,at_least_k,independent_member,0.5,0.75,0.75,2400,1.733333,0.50375,0.03125,0.5275,0.4725,0.5275,0.87625,0.0
ledger_failure,at_least_k,independent_member,0.5,0.75,1.0,2400,1.733333,0.576667,0.0,0.423333,0.576667,0.423333,0.805,0.0
ledger_failure,at_least_k,independent_member,0.5,1.0,0.0,2400,1.0,0.442083,0.0,0.557917,0.442083,0.557917,0.557917,0.0
ledger_failure,at_least_k,independent_member,0.5,1.0,0.25,2400,1.0,0.49125,0.0,0.50875,0.49125,0.50875,0.50875,0.0
ledger_failure,at_least_k,independent_member,0.5,1.0,0.5,2400,1.0,0.5875,0.0,0.4125,0.5875,0.4125,0.4125,0.0
ledger_failure,at_least_k,independent_member,0.5,1.0,0.75,2400,1.0,0.50375,0.0,0.49625,0.50375,0.49625,0.49625,0.0
ledger_failure,at_least_k,independent_member,0.5,1.0,1.0,2400,1.0,0.576667,0.0,0.423333,0.576667,0.423333,0.423333,0.0
ledger_failure,at_least_k,independent_member,0.75,0.25,0.0,2400,5.115,0.72,0.312917,0.592917,0.407083,0.592917,1.324167,0.0
ledger_failure,at_least_k,independent_member,0.75,0.25,0.25,2400,5.115,0.76125,0.242083,0.480833,0.519167,0.480833,1.3175,0.0
ledger_failure,at_least_k,independent_member,0.75,0.25,0.5,2400,5.115,0.7175,0.169583,0.452083,0.547917,0.452083,1.515,0.0
ledger_failure,at_least_k,independent_member,0.75,0.25,0.75,2400,5.115,0.7475,0.078333,0.330833,0.669167,0.330833,1.412917,0.0
ledger_failure,at_least_k,independent_member,0.75,0.25,1.0,2400,5.115,0.71,0.0,0.29,0.71,0.29,1.033333,0.0
ledger_failure,at_least_k,independent_member,0.75,0.5,0.0,2400,3.786667,0.715833,0.252917,0.537083,0.462917,0.537083,0.998333,0.0
ledger_failure,at_least_k,independent_member,0.75,0.5,0.25,2400,3.786667,0.748333,0.207083,0.45875,0.54125,0.45875,1.000417,0.0
ledger_failure,at_least_k,independent_member,0.75,0.5,0.5,2400,3.786667,0.717083,0.15,0.432917,0.567083,0.432917,1.127083,0.0
ledger_failure,at_least_k,independent_member,0.75,0.5,0.75,2400,3.786667,0.734583,0.058333,0.32375,0.67625,0.32375,1.037917,0.0
ledger_failure,at_least_k,independent_member,0.75,0.5,1.0,2400,3.786667,0.71,0.0,0.29,0.71,0.29,0.781667,0.0
ledger_failure,at_least_k,independent_member,0.75,0.75,0.0,2400,1.733333,0.752917,0.109167,0.35625,0.64375,0.35625,0.445417,0.0
ledger_failure,at_least_k,independent_member,0.75,0.75,0.25,2400,1.733333,0.740417,0.067917,0.3275,0.6725,0.3275,0.42875,0.0
ledger_failure,at_least_k,independent_member,0.75,0.75,0.5,2400,1.733333,0.702083,0.054167,0.352083,0.647917,0.352083,0.547083,0.0
ledger_failure,at_least_k,independent_member,0.75,0.75,0.75,2400,1.733333,0.74375,0.0225,0.27875,0.72125,0.27875,0.493333,0.0
ledger_failure,at_least_k,independent_member,0.75,0.75,1.0,2400,1.733333,0.71,0.0,0.29,0.71,0.29,0.386667,0.0
ledger_failure,at_least_k,independent_member,0.75,1.0,0.0,2400,1.0,0.749167,0.0,0.250833,0.749167,0.250833,0.250833,0.0
ledger_failure,at_least_k,independent_member,0.75,1.0,0.25,2400,1.0,0.775417,0.0,0.224583,0.775417,0.224583,0.224583,0.0
ledger_failure,at_least_k,independent_member,0.75,1.0,0.5,2400,1.0,0.7125,0.0,0.2875,0.7125,0.2875,0.2875,0.0
ledger_failure,at_least_k,independent_member,0.75,1.0,0.75,2400,1.0,0.748333,0.0,0.251667,0.748333,0.251667,0.251667,0.0
ledger_failure,at_least_k,independent_member,0.75,1.0,1.0,2400,1.0,0.71,0.0,0.29,0.71,0.29,0.29,0.0
ledger_failure,at_least_k,independent_member,1.0,0.25,0.0,2400,5.115,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.25,0.25,2400,5.115,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.25,0.5,2400,5.115,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.25,0.75,2400,5.115,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.25,1.0,2400,5.115,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.5,0.0,2400,3.786667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.5,0.25,2400,3.786667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.5,0.5,2400,3.786667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.5,0.75,2400,3.786667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.5,1.0,2400,3.786667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.75,0.0,2400,1.733333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.75,0.25,2400,1.733333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.75,0.5,2400,1.733333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.75,0.75,2400,1.733333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,0.75,1.0,2400,1.733333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,1.0,0.0,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,1.0,0.25,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,1.0,0.5,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,1.0,0.75,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,independent_member,1.0,1.0,1.0,2400,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.25,0.0,2400,5.115,0.202917,0.0,0.797083,0.202917,0.797083,3.977083,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.25,0.25,2400,5.115,0.29875,0.0,0.70125,0.29875,0.70125,3.449583,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.25,0.5,2400,5.115,0.204583,0.0,0.795417,0.204583,0.795417,3.66875,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.25,0.75,2400,5.115,0.22375,0.0,0.77625,0.22375,0.77625,3.835417,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.25,1.0,2400,5.115,0.26625,0.0,0.73375,0.26625,0.73375,3.452917,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.5,0.0,2400,3.786667,0.202917,0.0,0.797083,0.202917,0.797083,2.952917,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.5,0.25,2400,3.786667,0.29875,0.0,0.70125,0.29875,0.70125,2.560833,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.5,0.5,2400,3.786667,0.204583,0.0,0.795417,0.204583,0.795417,2.746667,0.0
