config_id,keying,family_semantics,threshold_fraction,support_width,family_size,rows,high_rows,low_rows,medium_rows,high_overlap_deficit,low_high_deficit
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.25,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.25,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.25,3,7,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.25,4,15,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.5,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.5,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.5,3,4,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.5,4,11,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.75,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.75,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.75,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.75,4,5,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,1.0,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,1.0,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,1.0,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,1.0,4,1,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.25,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.25,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.25,3,4,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.25,4,5,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.5,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.5,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.5,3,4,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.5,4,7,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.75,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.75,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.75,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.75,4,5,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,1.0,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,1.0,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,1.0,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,1.0,4,1,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.25,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.25,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.25,3,7,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.25,4,15,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.5,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.5,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.5,3,4,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.5,4,11,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.75,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.75,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.75,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.75,4,5,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,1.0,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,1.0,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,1.0,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,1.0,4,1,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.25,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.25,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.25,3,4,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.25,4,5,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.5,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.5,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.5,3,4,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.5,4,7,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.75,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.75,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.75,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.75,4,5,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,1.0,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,1.0,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,1.0,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,1.0,4,1,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.25,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.25,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.25,3,7,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.25,4,15,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.5,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.5,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.5,3,4,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.5,4,11,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.75,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.75,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.75,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.75,4,5,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,1.0,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,1.0,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,1.0,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,1.0,4,1,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.25,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.25,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.25,3,4,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.25,4,5,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.5,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.5,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.5,3,4,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.5,4,7,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.75,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.75,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.75,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.75,4,5,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,1.0,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,1.0,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,1.0,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,1.0,4,1,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.25,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.25,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.25,3,7,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.25,4,15,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.5,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.5,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.5,3,4,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.5,4,11,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.75,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.75,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.75,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.75,4,5,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,1.0,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,1.0,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,1.0,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,1.0,4,1,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.25,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.25,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.25,3,4,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.25,4,5,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.5,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.5,2,3,190,0,0,190,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.5,3,4,216,0,0,216,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.5,4,7,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.75,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.75,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.75,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.75,4,5,201,0,0,201,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,1.0,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,1.0,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,1.0,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,1.0,4,1,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.25,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.25,2,3,190,72,0,118,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.25,3,7,216,111,0,105,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.25,4,15,201,109,0,92,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.5,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.5,2,3,190,72,0,118,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.5,3,4,216,175,0,41,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.5,4,11,201,149,0,52,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.75,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.75,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.75,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.75,4,5,201,196,0,5,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,1.0,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,1.0,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,1.0,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,1.0,4,1,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.25,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.25,2,3,190,72,0,118,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.25,3,4,216,68,0,148,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.25,4,5,201,62,11,128,0,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.5,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.5,2,3,190,72,0,118,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.5,3,4,216,175,0,41,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.5,4,7,201,109,0,92,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.75,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.75,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.75,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.75,4,5,201,196,0,5,0,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,1.0,1,1,593,0,593,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,1.0,2,1,190,0,190,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,1.0,3,1,216,0,216,0,1,1
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,1.0,4,1,201,0,201,0,1,1
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.25,1,1,505,0,505,0,1,1
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.25,2,3,210,0,0,210,1,1
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.25,3,7,251,0,0,251,1,1
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.25,4,15,234,0,0,234,1,1
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.5,1,1,505,0,505,0,1,1
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.5,2,3,210,0,0,210,1,1
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.5,3,4,251,0,0,251,1,1
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.5,4,11,234,0,0,234,1,1
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.75,1,1,505,0,505,0,1,1
