config_id,keying,family_semantics,threshold_fraction,support_width,family_size,rows,high_rows,low_rows,medium_rows,high_overlap_deficit,low_high_deficit
steps48_targets24_bp0.55_wj0.85,graph_cut_member_index_free,augmented_exact_k,1.0,1,1,1243,0,1243,0,1,1
steps48_targets24_bp0.55_wj0.85,graph_cut_member_index_free,augmented_exact_k,1.0,2,1,396,0,396,0,1,1
steps48_targets24_bp0.55_wj0.85,graph_cut_member_index_free,augmented_exact_k,1.0,3,1,385,0,385,0,1,1
steps48_targets24_bp0.55_wj0.85,graph_cut_member_index_free,augmented_exact_k,1.0,4,1,376,0,376,0,1,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.25,1,1,1243,0,1243,0,1,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.25,2,3,396,199,0,197,0,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.25,3,7,385,199,0,186,0,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.25,4,15,376,212,0,164,0,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.5,1,1,1243,0,1243,0,1,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.5,2,3,396,199,0,197,0,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.5,3,4,385,330,0,55,0,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.5,4,11,376,281,0,95,0,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.75,1,1,1243,0,1243,0,1,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.75,2,1,396,0,396,0,1,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.75,3,1,385,0,385,0,1,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,0.75,4,5,376,371,0,5,0,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,1.0,1,1,1243,0,1243,0,1,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,1.0,2,1,396,0,396,0,1,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,1.0,3,1,385,0,385,0,1,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,at_least_k,1.0,4,1,376,0,376,0,1,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,augmented_exact_k,0.25,1,1,1243,0,1243,0,1,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,augmented_exact_k,0.25,2,3,396,199,0,197,0,1
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,augmented_exact_k,0.25,3,4,385,122,8,255,0,0
steps48_targets24_bp0.55_wj0.85,incidence_role_signed,augmented_exact_k,0.25,4,5,376,118,15,243,0,0
