mode,family_semantics,severity,threshold_fraction,support_width,correlation_points,start_rescue_rate,end_rescue_rate,rescue_decay,rescue_auc_normalized,resilience_auc_normalized,monotone_nonincreasing,mean_family_size,samples_total
ledger_failure,augmented_exact_k,0.5,1.0,1,5,0.0,0.0,0.0,0.0,0.46264225000000003,true,1.0,5270
ledger_failure,augmented_exact_k,0.5,1.0,2,5,0.0,0.0,0.0,0.0,0.517732625,true,1.0,2150
ledger_failure,augmented_exact_k,0.5,1.0,3,5,0.0,0.0,0.0,0.0,0.44826675,true,1.0,2380
ledger_failure,augmented_exact_k,0.5,1.0,4,5,0.0,0.0,0.0,0.0,0.502841,true,1.0,2200
ledger_failure,augmented_exact_k,0.75,0.25,1,5,0.0,0.0,0.0,0.0,0.286053125,true,1.0,5270
ledger_failure,augmented_exact_k,0.75,0.25,2,5,0.318605,0.0,0.318605,0.20959312499999996,0.438372,false,3.0,2150
ledger_failure,augmented_exact_k,0.75,0.25,3,5,0.363445,0.0,0.363445,0.200892875,0.44248925,true,4.0,2380
ledger_failure,augmented_exact_k,0.75,0.25,4,5,0.595455,0.0,0.595455,0.271591125,0.568465875,true,5.0,2200
ledger_failure,augmented_exact_k,0.75,0.5,1,5,0.0,0.0,0.0,0.0,0.286053125,true,1.0,5270
ledger_failure,augmented_exact_k,0.75,0.5,2,5,0.318605,0.0,0.318605,0.20959312499999996,0.438372,false,3.0,2150
ledger_failure,augmented_exact_k,0.75,0.5,3,5,0.363445,0.0,0.363445,0.200892875,0.44248925,true,4.0,2380
ledger_failure,augmented_exact_k,0.75,0.5,4,5,0.647727,0.0,0.647727,0.35482962500000004,0.6184658749999999,true,7.0,2200
ledger_failure,augmented_exact_k,0.75,0.75,1,5,0.0,0.0,0.0,0.0,0.286053125,true,1.0,5270
ledger_failure,augmented_exact_k,0.75,0.75,2,5,0.0,0.0,0.0,0.0,0.25813949999999997,true,1.0,2150
ledger_failure,augmented_exact_k,0.75,0.75,3,5,0.0,0.0,0.0,0.0,0.223214125,true,1.0,2380
ledger_failure,augmented_exact_k,0.75,0.75,4,5,0.595455,0.0,0.595455,0.271591125,0.568465875,true,5.0,2200
ledger_failure,augmented_exact_k,0.75,1.0,1,5,0.0,0.0,0.0,0.0,0.286053125,true,1.0,5270
ledger_failure,augmented_exact_k,0.75,1.0,2,5,0.0,0.0,0.0,0.0,0.25813949999999997,true,1.0,2150
ledger_failure,augmented_exact_k,0.75,1.0,3,5,0.0,0.0,0.0,0.0,0.223214125,true,1.0,2380
ledger_failure,augmented_exact_k,0.75,1.0,4,5,0.0,0.0,0.0,0.0,0.231249875,true,1.0,2200
ledger_failure,augmented_exact_k,1.0,0.25,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
ledger_failure,augmented_exact_k,1.0,0.25,2,5,0.0,0.0,0.0,0.0,0.0,true,3.0,2150
ledger_failure,augmented_exact_k,1.0,0.25,3,5,0.0,0.0,0.0,0.0,0.0,true,4.0,2380
ledger_failure,augmented_exact_k,1.0,0.25,4,5,0.0,0.0,0.0,0.0,0.0,true,5.0,2200
ledger_failure,augmented_exact_k,1.0,0.5,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
ledger_failure,augmented_exact_k,1.0,0.5,2,5,0.0,0.0,0.0,0.0,0.0,true,3.0,2150
ledger_failure,augmented_exact_k,1.0,0.5,3,5,0.0,0.0,0.0,0.0,0.0,true,4.0,2380
ledger_failure,augmented_exact_k,1.0,0.5,4,5,0.0,0.0,0.0,0.0,0.0,true,7.0,2200
ledger_failure,augmented_exact_k,1.0,0.75,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
ledger_failure,augmented_exact_k,1.0,0.75,2,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2150
ledger_failure,augmented_exact_k,1.0,0.75,3,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2380
ledger_failure,augmented_exact_k,1.0,0.75,4,5,0.0,0.0,0.0,0.0,0.0,true,5.0,2200
ledger_failure,augmented_exact_k,1.0,1.0,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
ledger_failure,augmented_exact_k,1.0,1.0,2,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2150
ledger_failure,augmented_exact_k,1.0,1.0,3,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2380
ledger_failure,augmented_exact_k,1.0,1.0,4,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2200
orientation_degradation,at_least_k,0.0,0.25,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
orientation_degradation,at_least_k,0.0,0.25,2,5,0.0,0.0,0.0,0.0,0.0,true,3.0,2150
orientation_degradation,at_least_k,0.0,0.25,3,5,0.0,0.0,0.0,0.0,0.0,true,7.0,2380
orientation_degradation,at_least_k,0.0,0.25,4,5,0.0,0.0,0.0,0.0,0.0,true,15.0,2200
orientation_degradation,at_least_k,0.0,0.5,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
orientation_degradation,at_least_k,0.0,0.5,2,5,0.0,0.0,0.0,0.0,0.0,true,3.0,2150
orientation_degradation,at_least_k,0.0,0.5,3,5,0.0,0.0,0.0,0.0,0.0,true,4.0,2380
orientation_degradation,at_least_k,0.0,0.5,4,5,0.0,0.0,0.0,0.0,0.0,true,11.0,2200
orientation_degradation,at_least_k,0.0,0.75,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
orientation_degradation,at_least_k,0.0,0.75,2,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2150
orientation_degradation,at_least_k,0.0,0.75,3,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2380
orientation_degradation,at_least_k,0.0,0.75,4,5,0.0,0.0,0.0,0.0,0.0,true,5.0,2200
orientation_degradation,at_least_k,0.0,1.0,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
orientation_degradation,at_least_k,0.0,1.0,2,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2150
orientation_degradation,at_least_k,0.0,1.0,3,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2380
orientation_degradation,at_least_k,0.0,1.0,4,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2200
orientation_degradation,at_least_k,0.25,0.25,1,5,0.0,0.0,0.0,0.0,0.700901375,true,1.0,5270
orientation_degradation,at_least_k,0.25,0.25,2,5,0.148837,0.0,0.148837,0.07848837499999999,0.873837,false,3.0,2150
orientation_degradation,at_least_k,0.25,0.25,3,5,0.256303,0.0,0.256303,0.079306875,0.83560925,false,7.0,2380
orientation_degradation,at_least_k,0.25,0.25,4,5,0.315909,0.0,0.315909,0.145738625,0.863068375,true,15.0,2200
orientation_degradation,at_least_k,0.25,0.5,1,5,0.0,0.0,0.0,0.0,0.700901375,true,1.0,5270
orientation_degradation,at_least_k,0.25,0.5,2,5,0.148837,0.0,0.148837,0.07848837499999999,0.873837,false,3.0,2150
orientation_degradation,at_least_k,0.25,0.5,3,5,0.277311,0.0,0.277311,0.115021125,0.83560925,true,4.0,2380
orientation_degradation,at_least_k,0.25,0.5,4,5,0.222727,0.0,0.222727,0.13749987500000002,0.863068375,false,11.0,2200
orientation_degradation,at_least_k,0.25,0.75,1,5,0.0,0.0,0.0,0.0,0.700901375,true,1.0,5270
orientation_degradation,at_least_k,0.25,0.75,2,5,0.0,0.0,0.0,0.0,0.736918375,true,1.0,2150
orientation_degradation,at_least_k,0.25,0.75,3,5,0.0,0.0,0.0,0.0,0.6901261249999999,true,1.0,2380
orientation_degradation,at_least_k,0.25,0.75,4,5,0.175,0.0,0.175,0.11903425000000001,0.863068375,true,5.0,2200
orientation_degradation,at_least_k,0.25,1.0,1,5,0.0,0.0,0.0,0.0,0.700901375,true,1.0,5270
orientation_degradation,at_least_k,0.25,1.0,2,5,0.0,0.0,0.0,0.0,0.736918375,true,1.0,2150
orientation_degradation,at_least_k,0.25,1.0,3,5,0.0,0.0,0.0,0.0,0.6901261249999999,true,1.0,2380
orientation_degradation,at_least_k,0.25,1.0,4,5,0.0,0.0,0.0,0.0,0.734375,true,1.0,2200
orientation_degradation,at_least_k,0.5,0.25,1,5,0.0,0.0,0.0,0.0,0.45149425,true,1.0,5270
orientation_degradation,at_least_k,0.5,0.25,2,5,0.434884,0.0,0.434884,0.20203500000000002,0.6895348750000001,false,3.0,2150
orientation_degradation,at_least_k,0.5,0.25,3,5,0.565126,0.0,0.565126,0.20561975000000002,0.72032575,true,7.0,2380
orientation_degradation,at_least_k,0.5,0.25,4,5,0.406818,0.0,0.406818,0.21960225,0.705113875,true,15.0,2200
orientation_degradation,at_least_k,0.5,0.5,1,5,0.0,0.0,0.0,0.0,0.45149425,true,1.0,5270
orientation_degradation,at_least_k,0.5,0.5,2,5,0.434884,0.0,0.434884,0.20203500000000002,0.6895348750000001,false,3.0,2150
orientation_degradation,at_least_k,0.5,0.5,3,5,0.422269,0.0,0.422269,0.180409625,0.6748949999999999,true,4.0,2380
orientation_degradation,at_least_k,0.5,0.5,4,5,0.45,0.0,0.45,0.24488625,0.705113875,false,11.0,2200
orientation_degradation,at_least_k,0.5,0.75,1,5,0.0,0.0,0.0,0.0,0.45149425,true,1.0,5270
orientation_degradation,at_least_k,0.5,0.75,2,5,0.0,0.0,0.0,0.0,0.48633724999999994,true,1.0,2150
orientation_degradation,at_least_k,0.5,0.75,3,5,0.0,0.0,0.0,0.0,0.45351912499999997,true,1.0,2380
orientation_degradation,at_least_k,0.5,0.75,4,5,0.545455,0.0,0.545455,0.230681625,0.703693375,false,5.0,2200
orientation_degradation,at_least_k,0.5,1.0,1,5,0.0,0.0,0.0,0.0,0.45149425,true,1.0,5270
orientation_degradation,at_least_k,0.5,1.0,2,5,0.0,0.0,0.0,0.0,0.48633724999999994,true,1.0,2150
orientation_degradation,at_least_k,0.5,1.0,3,5,0.0,0.0,0.0,0.0,0.45351912499999997,true,1.0,2380
orientation_degradation,at_least_k,0.5,1.0,4,5,0.0,0.0,0.0,0.0,0.4286935,true,1.0,2200
orientation_degradation,at_least_k,0.75,0.25,1,5,0.0,0.0,0.0,0.0,0.31048375000000006,true,1.0,5270
orientation_degradation,at_least_k,0.75,0.25,2,5,0.502326,0.0,0.502326,0.179651,0.427325625,true,3.0,2150
orientation_degradation,at_least_k,0.75,0.25,3,5,0.62395,0.0,0.62395,0.3321955,0.5853465,true,7.0,2380
orientation_degradation,at_least_k,0.75,0.25,4,5,0.575,0.0,0.575,0.42414775,0.678409125,false,15.0,2200
orientation_degradation,at_least_k,0.75,0.5,1,5,0.0,0.0,0.0,0.0,0.31048375000000006,true,1.0,5270
orientation_degradation,at_least_k,0.75,0.5,2,5,0.502326,0.0,0.502326,0.179651,0.427325625,true,3.0,2150
orientation_degradation,at_least_k,0.75,0.5,3,5,0.445378,0.0,0.445378,0.21638649999999998,0.493960125,true,4.0,2380
orientation_degradation,at_least_k,0.75,0.5,4,5,0.668182,0.0,0.668182,0.35568175,0.6505682500000001,true,11.0,2200
orientation_degradation,at_least_k,0.75,0.75,1,5,0.0,0.0,0.0,0.0,0.31048375000000006,true,1.0,5270
orientation_degradation,at_least_k,0.75,0.75,2,5,0.0,0.0,0.0,0.0,0.28284862499999996,true,1.0,2150
orientation_degradation,at_least_k,0.75,0.75,3,5,0.0,0.0,0.0,0.0,0.24789900000000004,true,1.0,2380
orientation_degradation,at_least_k,0.75,0.75,4,5,0.438636,0.0,0.438636,0.2548295,0.530966,true,5.0,2200
orientation_degradation,at_least_k,0.75,1.0,1,5,0.0,0.0,0.0,0.0,0.31048375000000006,true,1.0,5270
orientation_degradation,at_least_k,0.75,1.0,2,5,0.0,0.0,0.0,0.0,0.28284862499999996,true,1.0,2150
orientation_degradation,at_least_k,0.75,1.0,3,5,0.0,0.0,0.0,0.0,0.24789900000000004,true,1.0,2380
orientation_degradation,at_least_k,0.75,1.0,4,5,0.0,0.0,0.0,0.0,0.272443375,true,1.0,2200
orientation_degradation,at_least_k,1.0,0.25,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
orientation_degradation,at_least_k,1.0,0.25,2,5,0.0,0.0,0.0,0.0,0.0,true,3.0,2150
orientation_degradation,at_least_k,1.0,0.25,3,5,0.0,0.0,0.0,0.0,0.0,true,7.0,2380
orientation_degradation,at_least_k,1.0,0.25,4,5,0.0,0.0,0.0,0.0,0.0,true,15.0,2200
orientation_degradation,at_least_k,1.0,0.5,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
orientation_degradation,at_least_k,1.0,0.5,2,5,0.0,0.0,0.0,0.0,0.0,true,3.0,2150
orientation_degradation,at_least_k,1.0,0.5,3,5,0.0,0.0,0.0,0.0,0.0,true,4.0,2380
orientation_degradation,at_least_k,1.0,0.5,4,5,0.0,0.0,0.0,0.0,0.0,true,11.0,2200
orientation_degradation,at_least_k,1.0,0.75,1,5,0.0,0.0,0.0,0.0,0.0,true,1.0,5270
orientation_degradation,at_least_k,1.0,0.75,2,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2150
orientation_degradation,at_least_k,1.0,0.75,3,5,0.0,0.0,0.0,0.0,0.0,true,1.0,2380
