mode,family_semantics,severity,threshold_fraction,certificate_correlation,samples,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,family_internal_survival_rate,mean_certified_family_member_count,metric_artifact_risk_rate
ledger_failure,at_least_k,0.75,0.5,0.5,2400,0.15,0.432917,0.567083,0.432917,1.127083,0.0
ledger_failure,at_least_k,0.75,0.5,0.75,2400,0.058333,0.32375,0.67625,0.32375,1.037917,0.0
ledger_failure,at_least_k,0.75,0.5,1.0,2400,0.0,0.29,0.71,0.29,0.781667,0.0
ledger_failure,at_least_k,0.75,0.75,0.0,2400,0.10916700000000001,0.35625,0.64375,0.35625,0.445417,0.0
ledger_failure,at_least_k,0.75,0.75,0.25,2400,0.067917,0.3275,0.6725,0.3275,0.42875,0.0
ledger_failure,at_least_k,0.75,0.75,0.5,2400,0.054167,0.352083,0.647917,0.352083,0.547083,0.0
ledger_failure,at_least_k,0.75,0.75,0.75,2400,0.0225,0.27875,0.72125,0.27875,0.49333299999999997,0.0
ledger_failure,at_least_k,0.75,0.75,1.0,2400,0.0,0.29,0.71,0.29,0.386667,0.0
ledger_failure,at_least_k,0.75,1.0,0.0,2400,0.0,0.250833,0.749167,0.250833,0.250833,0.0
ledger_failure,at_least_k,0.75,1.0,0.25,2400,0.0,0.22458299999999998,0.775417,0.22458299999999998,0.22458299999999998,0.0
ledger_failure,at_least_k,0.75,1.0,0.5,2400,0.0,0.2875,0.7125,0.2875,0.2875,0.0
ledger_failure,at_least_k,0.75,1.0,0.75,2400,0.0,0.251667,0.748333,0.251667,0.251667,0.0
ledger_failure,at_least_k,0.75,1.0,1.0,2400,0.0,0.29,0.71,0.29,0.29,0.0
ledger_failure,at_least_k,1.0,0.25,0.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.25,0.25,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.25,0.5,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.25,0.75,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.25,1.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.5,0.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.5,0.25,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.5,0.5,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.5,0.75,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.5,1.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.75,0.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.75,0.25,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.75,0.5,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.75,0.75,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,0.75,1.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,1.0,0.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,1.0,0.25,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,1.0,0.5,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,1.0,0.75,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,1.0,1.0,1.0,2400,0.0,0.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,0.25,0.25,0.0,2400,0.158333,0.822083,0.177917,0.822083,1.916667,0.0
ledger_failure,augmented_exact_k,0.25,0.25,0.25,2400,0.08875,0.735417,0.264583,0.735417,2.00875,0.0
ledger_failure,augmented_exact_k,0.25,0.25,0.5,2400,0.054167,0.8575,0.1425,0.8575,2.115,0.0
ledger_failure,augmented_exact_k,0.25,0.25,0.75,2400,0.03125,0.800833,0.199167,0.800833,2.02125,0.0
ledger_failure,augmented_exact_k,0.25,0.25,1.0,2400,0.0,0.769583,0.230417,0.769583,1.9825,0.0
ledger_failure,augmented_exact_k,0.25,0.5,0.0,2400,0.155417,0.822083,0.177917,0.822083,2.199583,0.0
ledger_failure,augmented_exact_k,0.25,0.5,0.25,2400,0.084583,0.735417,0.264583,0.735417,2.29625,0.0
