mode,family_semantics,severity,threshold_fraction,correlation_points,start_correlation,end_correlation,start_rescue_rate,end_rescue_rate,rescue_decay,rescue_slope_over_unit_corr,rescue_auc_normalized,resilience_auc_normalized,monotone_nonincreasing,half_decay_correlation,max_step_increase,mean_samples_per_point
orientation_degradation,at_least_k,0.25,0.5,5,0.0,1.0,0.1225,0.0,0.1225,-0.1225,0.06208325,0.7883335,true,0.75,-0.025833999999999996,2400.0
orientation_degradation,at_least_k,0.25,0.75,5,0.0,1.0,0.032083,0.0,0.032083,-0.032083,0.021822875,0.7349481250000001,true,1.0,-0.0016660000000000008,2400.0
orientation_degradation,at_least_k,0.25,1.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.711354375,true,,0.0,2400.0
orientation_degradation,at_least_k,0.5,0.25,5,0.0,1.0,0.264583,0.0,0.264583,-0.264583,0.11723962500000001,0.5939583749999999,true,0.5,-0.03874999999999999,2400.0
orientation_degradation,at_least_k,0.5,0.5,5,0.0,1.0,0.24416700000000002,0.0,0.24416700000000002,-0.24416700000000002,0.116875125,0.584947875,true,0.5,-0.04,2400.0
orientation_degradation,at_least_k,0.5,0.75,5,0.0,1.0,0.1,0.0,0.1,-0.1,0.042291749999999996,0.504374875,false,0.5,0.009583000000000001,2400.0
orientation_degradation,at_least_k,0.5,1.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45395825,true,,0.0,2400.0
orientation_degradation,at_least_k,0.75,0.25,5,0.0,1.0,0.319167,0.0,0.319167,-0.319167,0.175833375,0.45338524999999996,true,0.75,-0.04124999999999995,2400.0
orientation_degradation,at_least_k,0.75,0.5,5,0.0,1.0,0.300833,0.0,0.300833,-0.300833,0.140312375,0.43015625,true,0.75,-0.04166600000000001,2400.0
orientation_degradation,at_least_k,0.75,0.75,5,0.0,1.0,0.080417,0.0,0.080417,-0.080417,0.046718875,0.33354174999999997,true,0.75,-0.008334000000000001,2400.0
orientation_degradation,at_least_k,0.75,1.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.286145625,true,,0.0,2400.0
orientation_degradation,at_least_k,1.0,0.25,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,,0.0,2400.0
orientation_degradation,at_least_k,1.0,0.5,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,,0.0,2400.0
orientation_degradation,at_least_k,1.0,0.75,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,,0.0,2400.0
orientation_degradation,at_least_k,1.0,1.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,,0.0,2400.0
orientation_degradation,augmented_exact_k,0.25,0.25,5,0.0,1.0,0.11375,0.0,0.11375,-0.11375,0.05869775,0.7883335,true,0.75,-0.007499999999999993,2400.0
orientation_degradation,augmented_exact_k,0.25,0.5,5,0.0,1.0,0.12458299999999999,0.0,0.12458299999999999,-0.12458299999999999,0.05536437499999999,0.7883335,true,0.5,-0.011250000000000003,2400.0
orientation_degradation,augmented_exact_k,0.25,0.75,5,0.0,1.0,0.032083,0.0,0.032083,-0.032083,0.021822875,0.7349481250000001,true,1.0,-0.0016660000000000008,2400.0
orientation_degradation,augmented_exact_k,0.25,1.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.711354375,true,,0.0,2400.0
orientation_degradation,augmented_exact_k,0.5,0.25,5,0.0,1.0,0.261667,0.0,0.261667,-0.261667,0.11427087500000001,0.5846875,true,0.5,-0.009166999999999995,2400.0
orientation_degradation,augmented_exact_k,0.5,0.5,5,0.0,1.0,0.246667,0.0,0.246667,-0.246667,0.11489587500000001,0.584947875,true,0.5,-0.041665999999999995,2400.0
orientation_degradation,augmented_exact_k,0.5,0.75,5,0.0,1.0,0.1,0.0,0.1,-0.1,0.042291749999999996,0.504374875,false,0.5,0.009583000000000001,2400.0
orientation_degradation,augmented_exact_k,0.5,1.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45395825,true,,0.0,2400.0
orientation_degradation,augmented_exact_k,0.75,0.25,5,0.0,1.0,0.25875,0.0,0.25875,-0.25875,0.12182275000000001,0.40822925,true,0.5,-0.04916699999999999,2400.0
orientation_degradation,augmented_exact_k,0.75,0.5,5,0.0,1.0,0.289167,0.0,0.289167,-0.289167,0.134791625,0.42052075,true,0.5,-0.058332999999999996,2400.0
orientation_degradation,augmented_exact_k,0.75,0.75,5,0.0,1.0,0.080417,0.0,0.080417,-0.080417,0.046718875,0.33354174999999997,true,0.75,-0.008334000000000001,2400.0
orientation_degradation,augmented_exact_k,0.75,1.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.286145625,true,,0.0,2400.0
orientation_degradation,augmented_exact_k,1.0,0.25,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,,0.0,2400.0
orientation_degradation,augmented_exact_k,1.0,0.5,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,,0.0,2400.0
orientation_degradation,augmented_exact_k,1.0,0.75,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,,0.0,2400.0
orientation_degradation,augmented_exact_k,1.0,1.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,true,,0.0,2400.0
