measure,seed,run_seed,step_idx,v,N1,N2,N3,N4,V4,S,parent_size,orig_parent_size,frontier_parent_size,n_admitted_parent_subsets,n_admitted_unique_closures,n_admitted_unique_profiles,mu_v4
parent_subset_uniform,asym_branch,3,9,13,1,3,1,0,5,11,3,3,1,215,21,17,1.8312368960
parent_subset_uniform,asym_branch,3,10,14,3,1,1,2,7,7,4,4,3,319,30,19,2.1488813703
parent_subset_uniform,asym_branch,3,11,15,2,1,1,3,7,16,4,4,2,697,34,22,2.1488813703
parent_subset_uniform,asym_branch,3,12,16,2,2,1,1,6,9,4,4,2,1052,39,23,2.0000000000
parent_subset_uniform,asym_branch,3,13,17,2,2,1,0,5,1,4,4,2,1158,43,24,1.8312368960
parent_subset_uniform,asym_branch,3,14,18,2,1,1,3,7,16,4,4,2,1370,47,28,2.1488813703
parent_subset_uniform,asym_branch,3,15,19,1,3,1,1,6,19,4,4,1,2059,66,30,2.0000000000
parent_subset_uniform,asym_branch,3,16,20,2,2,1,2,7,17,4,4,2,2454,82,33,2.1488813703
parent_subset_uniform,asym_branch,3,17,21,2,2,1,2,7,17,4,4,2,2917,92,36,2.1488813703
parent_subset_uniform,asym_branch,3,18,22,2,3,1,0,6,10,4,4,2,2917,92,36,2.0000000000
parent_subset_uniform,asym_branch,3,19,23,1,3,1,1,6,19,3,3,1,3283,99,38,2.0000000000
parent_subset_uniform,asym_branch,3,20,24,2,2,1,0,5,1,4,4,2,4066,139,39,1.8312368960
parent_subset_uniform,asym_branch,3,21,25,2,2,1,2,7,17,4,4,2,4871,182,49,2.1488813703
parent_subset_uniform,asym_branch,3,22,26,3,1,1,2,7,7,4,4,3,5147,185,49,2.1488813703
parent_subset_uniform,asym_branch,3,23,27,1,3,1,1,6,19,3,3,1,6913,223,61,2.0000000000
parent_subset_uniform,asym_branch,3,24,28,4,2,0,1,7,23,4,4,4,8064,323,65,2.1488813703
parent_subset_uniform,asym_branch,3,25,29,4,4,2,0,10,1,4,4,4,10312,458,79,2.5154334638
parent_subset_uniform,asym_branch,4,1,5,1,1,0,0,2,9,1,1,1,13,4,4,1.1041475573
parent_subset_uniform,asym_branch,4,2,6,1,1,0,0,2,9,2,2,1,13,4,4,1.1041475573
parent_subset_uniform,asym_branch,4,3,7,1,2,1,0,4,2,3,3,1,17,5,5,1.6354633478
parent_subset_uniform,asym_branch,4,4,8,3,1,0,1,5,15,4,4,3,17,5,5,1.8312368960
parent_subset_uniform,asym_branch,4,5,9,1,3,1,0,5,11,4,4,1,81,7,7,1.8312368960
parent_subset_uniform,asym_branch,4,6,10,3,1,0,1,5,15,4,4,3,81,7,7,1.8312368960
parent_subset_uniform,asym_branch,4,7,11,1,3,1,0,5,11,4,4,1,182,11,9,1.8312368960
parent_subset_uniform,asym_branch,4,8,12,2,1,0,3,6,32,3,3,2,248,14,10,2.0000000000
parent_subset_uniform,asym_branch,4,9,13,1,2,1,0,4,2,2,2,1,480,18,13,1.6354633478
parent_subset_uniform,asym_branch,4,10,14,1,2,1,0,4,2,4,4,1,480,18,13,1.6354633478
parent_subset_uniform,asym_branch,4,11,15,2,2,0,1,5,25,4,4,2,480,18,13,1.8312368960
parent_subset_uniform,asym_branch,4,12,16,1,2,1,0,4,2,3,3,1,651,24,16,1.6354633478
parent_subset_uniform,asym_branch,4,13,17,2,0,1,3,6,7,4,4,2,770,34,19,2.0000000000
parent_subset_uniform,asym_branch,4,14,18,2,2,1,1,6,9,3,3,2,1296,46,21,2.0000000000
parent_subset_uniform,asym_branch,4,15,19,2,0,1,3,6,7,4,4,2,1687,75,31,2.0000000000
parent_subset_uniform,asym_branch,4,16,20,1,2,1,0,4,2,3,3,1,2336,98,31,1.6354633478
parent_subset_uniform,asym_branch,4,17,21,2,3,0,0,5,26,4,4,2,2750,149,31,1.8312368960
parent_subset_uniform,asym_branch,4,18,22,2,2,1,1,6,9,4,4,2,3120,164,35,2.0000000000
parent_subset_uniform,asym_branch,4,19,23,3,3,1,1,8,17,4,4,3,4166,224,46,2.2824720047
parent_subset_uniform,asym_branch,4,20,24,3,4,1,1,9,26,4,4,3,5121,253,52,2.4039086666
parent_subset_uniform,asym_branch,4,21,25,2,2,0,1,5,25,3,3,2,5375,257,55,1.8312368960
parent_subset_uniform,asym_branch,4,22,26,2,3,1,1,7,18,4,4,2,6458,347,67,2.1488813703
parent_subset_uniform,asym_branch,4,23,27,3,2,1,2,8,16,4,4,3,7418,406,74,2.2824720047
parent_subset_uniform,asym_branch,4,24,28,2,3,2,1,8,2,4,4,2,9271,455,89,2.2824720047
parent_subset_uniform,asym_branch,4,25,29,3,3,1,1,8,17,4,4,3,9716,488,100,2.2824720047
parent_subset_uniform,asym_branch,5,1,5,2,1,0,0,3,8,3,3,2,13,4,4,1.4006773518
parent_subset_uniform,asym_branch,5,2,6,1,2,1,0,4,2,2,2,1,21,5,4,1.6354633478
parent_subset_uniform,asym_branch,5,3,7,2,1,0,2,5,24,3,3,2,32,6,5,1.8312368960
parent_subset_uniform,asym_branch,5,4,8,2,1,0,2,5,24,4,4,2,74,7,5,1.8312368960
parent_subset_uniform,asym_branch,5,5,9,1,2,1,0,4,2,1,1,1,116,8,5,1.6354633478
parent_subset_uniform,asym_branch,5,6,10,1,2,1,0,4,2,2,2,1,145,9,5,1.6354633478
parent_subset_uniform,asym_branch,5,7,11,1,2,1,0,4,2,4,4,1,174,10,5,1.6354633478
parent_subset_uniform,asym_branch,5,8,12,2,1,0,2,5,24,4,4,2,212,13,7,1.8312368960
parent_subset_uniform,asym_branch,5,9,13,2,2,0,1,5,25,4,4,2,444,17,9,1.8312368960
parent_subset_uniform,asym_branch,5,10,14,1,2,1,0,4,2,2,2,1,444,17,9,1.6354633478
parent_subset_uniform,asym_branch,5,11,15,2,2,0,0,4,17,3,3,2,664,24,13,1.6354633478
parent_subset_uniform,asym_branch,5,12,16,1,2,1,0,4,2,4,4,1,947,29,16,1.6354633478
parent_subset_uniform,asym_branch,5,13,17,2,1,1,2,6,8,2,2,2,1188,35,21,2.0000000000
parent_subset_uniform,asym_branch,5,14,18,1,2,1,1,5,10,4,4,1,1779,42,22,1.8312368960
parent_subset_uniform,asym_branch,5,15,19,2,4,1,0,7,19,4,4,2,1916,45,24,2.1488813703
parent_subset_uniform,asym_branch,5,16,20,2,3,2,1,8,2,4,4,2,2053,46,25,2.2824720047
parent_subset_uniform,asym_branch,5,17,21,1,2,1,0,4,2,4,4,1,2053,46,25,1.6354633478
parent_subset_uniform,asym_branch,5,18,22,2,1,1,2,6,8,4,4,2,2494,71,35,2.0000000000
parent_subset_uniform,asym_branch,5,19,23,2,2,0,1,5,25,2,2,2,3691,105,39,1.8312368960
parent_subset_uniform,asym_branch,5,20,24,3,3,1,1,8,17,4,4,3,4037,118,44,2.2824720047
parent_subset_uniform,asym_branch,5,21,25,2,3,1,0,6,10,3,3,2,4310,128,53,2.0000000000
parent_subset_uniform,asym_branch,5,22,26,2,1,1,3,7,16,4,4,2,5531,160,61,2.1488813703
parent_subset_uniform,asym_branch,5,23,27,2,2,1,1,6,9,4,4,2,8090,173,61,2.0000000000
parent_subset_uniform,asym_branch,5,24,28,3,3,1,0,7,9,4,4,3,9358,207,78,2.1488813703
parent_subset_uniform,asym_branch,5,25,29,2,1,1,2,6,8,4,4,2,9684,209,79,2.0000000000
parent_subset_uniform,asym_branch,6,1,5,1,2,1,0,4,2,3,3,1,13,4,4,1.6354633478
parent_subset_uniform,asym_branch,6,2,6,1,2,1,0,4,2,3,3,1,13,4,4,1.6354633478
parent_subset_uniform,asym_branch,6,3,7,0,0,0,0,0,1,0,0,0,13,4,4,0.0000000000
parent_subset_uniform,asym_branch,6,4,8,2,2,1,0,5,1,3,3,2,24,7,6,1.8312368960
parent_subset_uniform,asym_branch,6,5,9,2,1,1,2,6,8,4,4,2,62,10,8,2.0000000000
parent_subset_uniform,asym_branch,6,6,10,1,2,1,1,5,10,4,4,1,155,12,9,1.8312368960
parent_subset_uniform,asym_branch,6,7,11,2,1,1,2,6,8,4,4,2,155,12,9,2.0000000000
parent_subset_uniform,asym_branch,6,8,12,1,2,1,1,5,10,4,4,1,294,16,11,1.8312368960
parent_subset_uniform,asym_branch,6,9,13,2,1,1,2,6,8,4,4,2,396,20,13,2.0000000000
parent_subset_uniform,asym_branch,6,10,14,2,2,1,1,6,9,4,4,2,686,29,16,2.0000000000
parent_subset_uniform,asym_branch,6,11,15,2,2,1,0,5,1,4,4,2,809,31,17,1.8312368960
parent_subset_uniform,asym_branch,6,12,16,2,2,1,1,6,9,4,4,2,1001,36,19,2.0000000000
parent_subset_uniform,asym_branch,6,13,17,1,2,1,1,5,10,1,1,1,1185,38,21,1.8312368960
parent_subset_uniform,asym_branch,6,14,18,2,2,1,1,6,9,4,4,2,1622,54,26,2.0000000000
parent_subset_uniform,asym_branch,6,15,19,2,2,1,1,6,9,4,4,2,2004,68,29,2.0000000000
parent_subset_uniform,asym_branch,6,16,20,2,2,1,1,6,9,4,4,2,2408,94,32,2.0000000000
parent_subset_uniform,asym_branch,6,17,21,1,2,1,1,5,10,3,3,1,2750,122,35,1.8312368960
parent_subset_uniform,asym_branch,6,18,22,2,3,1,0,6,10,3,3,2,3229,169,35,2.0000000000
parent_subset_uniform,asym_branch,6,19,23,2,3,1,0,6,10,4,4,2,4037,231,41,2.0000000000
parent_subset_uniform,asym_branch,6,20,24,2,2,1,2,7,17,4,4,2,4861,295,41,2.1488813703
parent_subset_uniform,asym_branch,6,21,25,2,3,1,1,7,18,4,4,2,5558,355,47,2.1488813703
parent_subset_uniform,asym_branch,6,22,26,3,2,1,2,8,16,4,4,3,5558,355,47,2.2824720047
parent_subset_uniform,asym_branch,6,23,27,3,3,1,1,8,17,3,3,3,7647,393,52,2.2824720047
parent_subset_uniform,asym_branch,6,24,28,1,3,2,1,7,3,4,4,1,7647,393,52,2.1488813703
parent_subset_uniform,asym_branch,6,25,29,2,3,1,0,6,10,4,4,2,7999,412,56,2.0000000000
parent_subset_uniform,asym_branch,7,1,5,2,1,0,0,3,8,2,2,2,13,4,4,1.4006773518
parent_subset_uniform,asym_branch,7,2,6,1,2,1,0,4,2,2,2,1,21,5,4,1.6354633478
parent_subset_uniform,asym_branch,7,3,7,2,1,0,2,5,24,3,3,2,32,6,5,1.8312368960
parent_subset_uniform,asym_branch,7,4,8,1,2,1,0,4,2,2,2,1,74,7,5,1.6354633478
parent_subset_uniform,asym_branch,7,5,9,1,2,1,0,4,2,3,3,1,74,7,5,1.6354633478
parent_subset_uniform,asym_branch,7,6,10,2,1,0,2,5,24,4,4,2,74,7,5,1.8312368960
parent_subset_uniform,asym_branch,7,7,11,2,1,0,2,5,24,2,2,2,174,10,5,1.8312368960
parent_subset_uniform,asym_branch,7,8,12,1,2,1,0,4,2,3,3,1,350,12,6,1.6354633478
parent_subset_uniform,asym_branch,7,9,13,1,2,1,0,4,2,2,2,1,444,17,9,1.6354633478
parent_subset_uniform,asym_branch,7,10,14,2,2,0,1,5,25,4,4,2,567,28,10,1.8312368960
parent_subset_uniform,asym_branch,7,11,15,1,2,1,0,4,2,3,3,1,567,28,10,1.6354633478
parent_subset_uniform,asym_branch,7,12,16,1,2,1,0,4,2,4,4,1,659,32,13,1.6354633478
parent_subset_uniform,asym_branch,7,13,17,3,2,0,0,5,16,4,4,3,835,55,13,1.8312368960
parent_subset_uniform,asym_branch,7,14,18,2,2,0,1,5,25,4,4,2,1062,63,20,1.8312368960
parent_subset_uniform,asym_branch,7,15,19,3,0,0,1,4,6,4,4,3,1426,83,24,1.6354633478
parent_subset_uniform,asym_branch,7,16,20,2,2,1,2,7,17,4,4,2,2246,108,39,2.1488813703
parent_subset_uniform,asym_branch,7,17,21,2,2,1,2,7,17,4,4,2,2417,112,40,2.1488813703
parent_subset_uniform,asym_branch,7,18,22,1,3,0,0,4,27,4,4,1,2588,116,40,1.6354633478
parent_subset_uniform,asym_branch,7,19,23,2,3,1,2,8,26,4,4,2,3127,137,47,2.2824720047
parent_subset_uniform,asym_branch,7,20,24,3,3,1,2,9,25,4,4,3,3532,149,51,2.4039086666
parent_subset_uniform,asym_branch,7,21,25,3,4,0,1,8,42,4,4,3,3786,151,51,2.2824720047
parent_subset_uniform,asym_branch,7,22,26,1,3,0,0,4,27,4,4,1,4482,162,55,1.6354633478
parent_subset_uniform,asym_branch,7,23,27,2,3,2,1,8,2,4,4,2,5673,206,60,2.2824720047
parent_subset_uniform,asym_branch,7,24,28,3,4,2,2,11,18,4,4,3,6768,240,66,2.6187070833
parent_subset_uniform,asym_branch,7,25,29,2,3,2,1,8,2,4,4,2,7120,241,67,2.2824720047
parent_subset_uniform,asym_branch,8,1,5,2,1,0,0,3,8,3,3,2,13,4,4,1.4006773518
parent_subset_uniform,asym_branch,8,2,6,1,2,1,0,4,2,3,3,1,21,5,4,1.6354633478
parent_subset_uniform,asym_branch,8,3,7,1,1,0,0,2,9,1,1,1,32,6,5,1.1041475573
parent_subset_uniform,asym_branch,8,4,8,2,1,0,2,5,24,4,4,2,37,7,6,1.8312368960
parent_subset_uniform,asym_branch,8,5,9,2,2,1,0,5,1,3,3,2,101,9,7,1.8312368960
parent_subset_uniform,asym_branch,8,6,10,2,2,1,0,5,1,3,3,2,101,9,7,1.8312368960
parent_subset_uniform,asym_branch,8,7,11,1,2,1,0,4,2,3,3,1,101,9,7,1.6354633478
parent_subset_uniform,asym_branch,8,8,12,1,2,1,0,4,2,4,4,1,175,11,8,1.6354633478
parent_subset_uniform,asym_branch,8,9,13,2,1,1,2,6,8,4,4,2,267,15,8,2.0000000000
parent_subset_uniform,asym_branch,8,10,14,3,2,0,1,6,24,4,4,3,566,19,11,2.0000000000
parent_subset_uniform,asym_branch,8,11,15,2,1,1,2,6,8,4,4,2,566,19,11,2.0000000000
parent_subset_uniform,asym_branch,8,12,16,2,3,0,2,7,42,4,4,2,957,24,12,2.1488813703
parent_subset_uniform,asym_branch,8,13,17,1,2,1,1,5,10,4,4,1,957,24,12,1.8312368960
parent_subset_uniform,asym_branch,8,14,18,1,2,1,1,5,10,3,3,1,1155,29,15,1.8312368960
parent_subset_uniform,asym_branch,8,15,19,1,2,1,1,5,10,4,4,1,1368,35,16,1.8312368960
parent_subset_uniform,asym_branch,8,16,20,2,2,1,0,5,1,3,3,2,1612,47,19,1.8312368960
parent_subset_uniform,asym_branch,8,17,21,1,2,1,1,5,10,4,4,1,2147,60,26,1.8312368960
parent_subset_uniform,asym_branch,8,18,22,2,2,1,2,7,17,4,4,2,2806,87,33,2.1488813703
parent_subset_uniform,asym_branch,8,19,23,2,2,1,2,7,17,4,4,2,3380,100,34,2.1488813703
parent_subset_uniform,asym_branch,8,20,24,2,3,0,0,5,26,4,4,2,3954,113,34,1.8312368960
parent_subset_uniform,asym_branch,8,21,25,2,2,0,1,5,25,3,3,2,4413,136,42,1.8312368960
parent_subset_uniform,asym_branch,8,22,26,2,4,0,0,6,35,4,4,2,5779,196,52,2.0000000000
parent_subset_uniform,asym_branch,8,23,27,2,3,0,0,5,26,4,4,2,6489,241,58,1.8312368960
parent_subset_uniform,asym_branch,8,24,28,2,2,1,2,7,17,3,3,2,8112,309,70,2.1488813703
parent_subset_uniform,asym_branch,8,25,29,2,1,0,2,5,24,4,4,2,9042,347,76,1.8312368960
parent_subset_uniform,asym_branch,9,1,5,1,2,1,0,4,2,3,3,1,13,4,4,1.6354633478
parent_subset_uniform,asym_branch,9,2,6,1,1,0,0,2,9,1,1,1,13,4,4,1.1041475573
parent_subset_uniform,asym_branch,9,3,7,1,2,1,0,4,2,4,4,1,13,4,4,1.6354633478
parent_subset_uniform,asym_branch,9,4,8,1,1,0,0,2,9,2,2,1,13,4,4,1.1041475573
