keying,mode,family_semantics,severity,threshold_fraction,support_width,trials,certification_rescue_rate,orientation_overlap_all_pairs_mean,orientation_overlap_parent_anchored_mean,avg_witness_token_count,support_overlap_mean,frontier_overlap_mean,legacy_orientation_overlap_mean,ledger_overlap_mean
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.5,2,645,0.15503875968992248,0.2820541674805241,0.23553160018276295,5.239276485788114,0.333333,0.333333,0.333333,0.6498192093023256
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.5,3,714,0.1722689075630252,0.4110147304348994,0.376884028608446,7.698179271708684,0.5,0.5,0.5,0.7166617899159663
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.5,4,660,0.3712121212121212,0.37039012643494773,0.3217209075806036,8.418044077134986,0.4363639999999999,0.4363639999999999,0.4363639999999999,0.6784479409090909
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.75,1,1581,0.0,0.0,0.0,8.012650221378873,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.75,2,645,0.0,0.0,0.0,6.950387596899224,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.75,3,714,0.0,0.0,0.0,9.683473389355742,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.75,4,660,0.1621212121212121,0.5054583019215724,0.4842339474374902,10.123636363636365,0.6,0.6,0.6,0.7759782636363637
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.25,1,1581,0.0,0.0,0.0,8.015812776723592,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.25,2,645,0.13178294573643412,0.2802099522642158,0.23446023184395276,5.233074935400517,0.333333,0.333333,0.333333,0.6498192093023256
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.25,3,714,0.19467787114845939,0.17970504408504143,0.14399982132884892,5.7100840336134455,0.166667,0.166667,0.166667,0.5221920084033613
